"region","name","type","longitude","latitude","location"
"South Shore","1 and Only Riverside Accommodations","Accommodation","-65.03934","43.826116","(43.826116, -65.03934)"
"Cabot Trail","11827 Cabot Trail","Accommodation","-61.075365","46.49472","(46.49472, -61.075365)"
"Ceilidh Trail","12 Mine Road Golf Chalet","Accommodation","-61.30426","46.23447","(46.23447, -61.30426)"
"Cabot Trail","13791 Cabot Trail","Accommodation","-61.025454","46.568788","(46.568788, -61.025454)"
"Bras d'Or Lakes Scenic Drive","1A Cape Breton Cottage Bed & Breakfast","Accommodation","-61.046175","45.949781","(45.949781, -61.046175)"
"Cabot Trail","20 Acre Woods Bed & Breakfast","Accommodation","-60.388337","46.695233","(46.695233, -60.388337)"
"Eastern Shore","3 Moonlight Beach Suites","Accommodation","-63.33005","44.64372","(44.64372, -63.33005)"
"Cabot Trail","97 Cheticamp Island Road","Accommodation","-61.029663","46.594279","(46.594279, -61.029663)"
"Fleur-de-lis/Marconi/Metro CB","A B&B by the River","Accommodation","-61.229253","45.649283","(45.649283, -61.229253)"
"Fleur-de-lis/Marconi/Metro CB","A Boat to Sea Bed & Breakfast","Accommodation","-60.26033","46.197308","(46.197308, -60.26033)"
"Yarmouth & Acadian Shores","A la Maison d'Amitié B & B","Accommodation","-66.212954","44.098401","(44.098401, -66.212954)"
"Fundy Shore & Annapolis Valley","A Seafaring Maiden B&B","Accommodation","-65.526155","44.747707","(44.747707, -65.526155)"
"Bras d'Or Lakes Scenic Drive","Aberdeen Motel","Accommodation","-61.076668","45.963225","(45.963225, -61.076668)"
"Fundy Shore & Annapolis Valley","Abide Within Bed & Breakfast","Accommodation","-63.275218","45.358916","(45.358916, -63.275218)"
"Fundy Shore & Annapolis Valley","Acadia University","Accommodation","-64.366464","45.085408","(45.085408, -64.366464)"
"Cabot Trail","Acadian Motel","Accommodation","-61.013555","46.62873","(46.62873, -61.013555)"
"Fundy Shore & Annapolis Valley","Admiral Digby Inn","Accommodation","-65.7564","44.642719","(44.642719, -65.7564)"
"Cabot Trail","Adventures East Cottages","Accommodation","-60.858165","46.08851","(46.08851, -60.858165)"
"Fundy Shore & Annapolis Valley","Advocate Ocean View Vacation Home","Accommodation","-64.816233","45.346667","(45.346667, -64.816233)"
"Cabot Trail","Albert's Motel","Accommodation","-61.017872","46.623484","(46.623484, -61.017872)"
"South Shore","Alicion Bed & Breakfast","Accommodation","-64.322466","44.377776","(44.377776, -64.322466)"
"Halifax Metro","Alt Hotel Halifax Airport","Accommodation","-63.517869","44.88587","(44.88587, -63.517869)"
"Northumberland Shore","Amet View Chalets","Accommodation","-63.126059","45.752104","(45.752104, -63.126059)"
"Northumberland Shore","Amherst Shore Country Inn","Accommodation","-63.96344","45.988904","(45.988904, -63.96344)"
"Yarmouth & Acadian Shores","Anchor Inn B&B","Accommodation","-66.141676","44.204586","(44.204586, -66.141676)"
"South Shore","Anchorage House & Cottages","Accommodation","-64.05478600000001","44.640529","(44.640529, -64.05478600000001)"
"South Shore","Anchors Gate Bed and Breakfast","Accommodation","-63.79598","44.5342","(44.5342, -63.79598)"
"Fleur-de-lis/Marconi/Metro CB","Ann & Brian's Ocean View B&B","Accommodation","-60.09087","46.257223","(46.257223, -60.09087)"
"Fundy Shore & Annapolis Valley","Annapolis Basin Conference Centre","Accommodation","-65.628719","44.648704","(44.648704, -65.628719)"
"Fundy Shore & Annapolis Valley","Annapolis Royal Inn","Accommodation","-65.49547","44.764194","(44.764194, -65.49547)"
"Northumberland Shore","Antigonish Evergreen Inn","Accommodation","-62.0152","45.63222","(45.63222, -62.0152)"
"Northumberland Shore","Antigonish Victorian Inn","Accommodation","-61.98695","45.62318","(45.62318, -61.98695)"
"Ceilidh Trail","Archer's Edge Luxury Camping","Accommodation","-61.5071","45.913043","(45.913043, -61.5071)"
