"fiscal_year","file","id","location","location_address","quantity","description","condition"
"2014-2015","RC14","1","INTERNAL SERVICES","Surplus Warehouse, Dartmouth, NS","2","Couch","Broken"
"2014-2015","RC14","1","INTERNAL SERVICES","Surplus Warehouse, Dartmouth, NS","1","Printer Stand","Broken"
"2014-2015","RC14","1","INTERNAL SERVICES","Surplus Warehouse, Dartmouth, NS","1","Storage Cabinet","Broken"
"2014-2015","RC14","1","INTERNAL SERVICES","Surplus Warehouse, Dartmouth, NS","1","Board","Broken"
"2014-2015","RC14","1","INTERNAL SERVICES","Surplus Warehouse, Dartmouth, NS","1","Bookcase","Broken"
"2014-2015","RC14","1","INTERNAL SERVICES","Surplus Warehouse, Dartmouth, NS","1","Stool","Broken"
"2014-2015","RC14","1","INTERNAL SERVICES","Surplus Warehouse, Dartmouth, NS","3","Shelving Unit","Broken"
"2014-2015","RC14","1","INTERNAL SERVICES","Surplus Warehouse, Dartmouth, NS","1","Credenza","Broken"
"2014-2015","RC14","1","INTERNAL SERVICES","Surplus Warehouse, Dartmouth, NS","1","Cabinet","Broken"
"2014-2015","RC14","1","INTERNAL SERVICES","Surplus Warehouse, Dartmouth, NS","6","Desk","Broken"
"2014-2015","RC14","1","INTERNAL SERVICES","Surplus Warehouse, Dartmouth, NS","4","Table","Broken"
"2014-2015","RC14","1","INTERNAL SERVICES","Surplus Warehouse, Dartmouth, NS","47","Chair","Broken"
"2014-2015","RC14","2","INTERNAL SERVICES","Surplus Warehouse, Dartmouth, NS","1","Table","Water stained"
"2014-2015","RC14","2","INTERNAL SERVICES","Surplus Warehouse, Dartmouth, NS","1","Cabinet","Broken"
"2014-2015","RC14","2","INTERNAL SERVICES","Surplus Warehouse, Dartmouth, NS","1","File Cabinet","Broken"
"2014-2015","RC14","2","INTERNAL SERVICES","Surplus Warehouse, Dartmouth, NS","5","Desk","Broken"
"2014-2015","RC14","2","INTERNAL SERVICES","Surplus Warehouse, Dartmouth, NS","17","Chair","Broken"
"2014-2015","RC14","3","INTERNAL SERVICES","Surplus Warehouse, Dartmouth, NS","1","Board","Broken"
"2014-2015","RC14","3","INTERNAL SERVICES","Surplus Warehouse, Dartmouth, NS","1","Microwave Stand","Broken"
"2014-2015","RC14","3","INTERNAL SERVICES","Surplus Warehouse, Dartmouth, NS","1","Stool","Broken"
"2014-2015","RC14","3","INTERNAL SERVICES","Surplus Warehouse, Dartmouth, NS","10","Bookcase","Broken"
"2014-2015","RC14","3","INTERNAL SERVICES","Surplus Warehouse, Dartmouth, NS","2","Cabinet","Broken"
"2014-2015","RC14","3","INTERNAL SERVICES","Surplus Warehouse, Dartmouth, NS","15","Desk","Broken"
"2014-2015","RC14","3","INTERNAL SERVICES","Surplus Warehouse, Dartmouth, NS","2","Credenza","Broken"
"2014-2015","RC14","3","INTERNAL SERVICES","Surplus Warehouse, Dartmouth, NS","18","Chair","Broken"
"2014-2015","RC14","3","INTERNAL SERVICES","Surplus Warehouse, Dartmouth, NS","5","Table","Broken"
"2014-2015","RC14","4","HEALTH AND WELLNESS","EHS, Halifax, NS","2","Monitor","Unserviceable"
"2014-2015","RC14","5","JUSTICE","Court Services, Shelburne, NS","1","Printer","Unserviceable"
"2014-2015","RC14","6","COMMUNITY SERVICES","Eastern Region, Port Hawkesbury, NS","5","Printer","Unserviceable"
"2014-2015","RC14","7","SERVICE NOVA SCOTIA","Maritime Centre, Halifax, NS","3","Stand","Unserviceable"
"2014-2015","RC14","7","SERVICE NOVA SCOTIA","Maritime Centre, Halifax, NS","2","Monitor","Unserviceable"
"2014-2015","RC14","8","EDUCATION","2021 Brunswick Street, Halifax, NS","2","Monitor","Obsolete"
"2014-2015","RC14","8","EDUCATION","2021 Brunswick Street, Halifax, NS","6","Laptop","Obsolete"
"2014-2015","RC14","8","EDUCATION","2021 Brunswick Street, Halifax, NS","12","Desktop Computer","Obsolete"
"2014-2015","RC14","9","COMMUNITIES, CULTURE & HERITAGE","1741 Brunwick Street, Halifax, NS","1","Keyboard","Broken"
"2014-2015","RC14","9","COMMUNITIES, CULTURE & HERITAGE","1741 Brunwick Street, Halifax, NS","1","Stand","Broken"
"2014-2015","RC14","9","COMMUNITIES, CULTURE & HERITAGE","1741 Brunwick Street, Halifax, NS","2","Printer","Unserviceable"
"2014-2015","RC14","9","COMMUNITIES, CULTURE & HERITAGE","1741 Brunwick Street, Halifax, NS","2","Monitor","Unserviceable"
"2014-2015","RC14","10","EDUCATION/LABOUR & ADVANCED EDUCATION","2012 Brunswick Street, Halifax, NS","6","Stand","Obsolete"
"2014-2015","RC14","10","EDUCATION/LABOUR & ADVANCED EDUCATION","2012 Brunswick Street, Halifax, NS","9","Docking Station","Obsolete"
"2014-2015","RC14","11","AGRICULTURE","Northumberland Building, Bible Hill, NS","2","Display Unit","Broken"
"2014-2015","RC14","11","AGRICULTURE","Northumberland Building, Bible Hill, NS","7","Board","Broken"
"2014-2015","RC14","11","AGRICULTURE","Northumberland Building, Bible Hill, NS","12","Mat","Broken"
"2014-2015","RC14","11","AGRICULTURE","Northumberland Building, Bible Hill, NS","7","Bookcase","Broken"
"2014-2015","RC14","11","AGRICULTURE","Northumberland Building, Bible Hill, NS","38","Table","Broken"
"2014-2015","RC14","11","AGRICULTURE","Northumberland Building, Bible Hill, NS","1","Cabinet","Broken"
"2014-2015","RC14","11","AGRICULTURE","Northumberland Building, Bible Hill, NS","26","Desk","Broken"
"2014-2015","RC14","11","AGRICULTURE","Northumberland Building, Bible Hill, NS","82","Chair","Broken"
"2014-2015","RC14","12","INTERNAL SERVICES","Surplus Warehouse, Dartmouth, NS","2","Cabinet","Broken"
"2014-2015","RC14","12","INTERNAL SERVICES","Surplus Warehouse, Dartmouth, NS","2","Credenza","Broken"
"2014-2015","RC14","12","INTERNAL SERVICES","Surplus Warehouse, Dartmouth, NS","1","Desk","Broken"
"2014-2015","RC14","12","INTERNAL SERVICES","Surplus Warehouse, Dartmouth, NS","1","Storage Unit","Broken"
