"civic_addr","city","postal_cod","name","dsp_intake","cp_intake","esia_intake","phone","fax","hours","website","x_coordina","y_coordina","location"
"26 Prince Arthur St","Amherst","B4H 1V6","Amherst","No","Yes","Yes","(902) 667-3336","(902) 667-1594","Monday to Friday / 8:30 am to 4:30 pm","http://novascotia.ca/coms/","-64.21058363","45.83318558","POINT (-64.210583627 45.833185584)"
"229 Main St","Antigonish","B2G 2C1","Antigonish","No","Yes","Yes","(902) 863-3213","(902) 863-7549","Monday to Friday / 8:30 am to 4:30 pm","http://novascotia.ca/coms/","-61.98991756","45.62246579","POINT (-61.989917564 45.622465789)"
"521 Chebucto St","Baddeck","B0E 1B0","Baddeck","No","No","Yes","(902) 295-3815","(902) 295-3820","Monday to Friday / 8:30 am to 4:30 pm","http://novascotia.ca/coms/","-60.75882759","46.09997151","POINT (-60.758827594 46.099971512)"
"3640 Highway 3","Barrington Passage","B0W IG0","Barrington Passage","No","No","Yes","(902) 637-2335","(902) 637-2137","Monday to Friday / 8:30 am to 4:30 pm","http://novascotia.ca/coms/","-65.61328677","43.52359751","POINT (-65.6132867653017 43.523597511496)"
"99 High St","Bridgewater","B4V 1V8","Bridegwater","Yes","Yes","Yes","(902) 543-5527","(902) 543-0422","Monday to Friday / 8:30 am to 4:30 pm","http://novascotia.ca/coms/","-64.5289368","44.37194218","POINT (-64.528936795 44.371942178)"
"12615 Cabot Trail","St. Joseph du Moine","B0E 3A0","Cheticamp","No","No","Yes - (parent office is Port Hood)","(902) 224-4106","(902) 224-4107","Monday to Friday / 8:30 am to 4:30 pm","http://novascotia.ca/coms/","-61.06204312","46.52906262","POINT (-61.062043115 46.529062616)"
"51 Forest Hills Pky","Cole Harbour","B2W 6C6","Cole Harbour","No","No","Yes","(902) 435-7472","(902) 462-5527","Monday to Friday / 8:30 am to 4:30 pm","http://novascotia.ca/coms/","-63.48977204","44.68394482","POINT (-63.489772042 44.683944823)"
"90 Alderney Dr","Dartmouth","B2Y 4S8","Dartmouth Alderney","No","No","Yes","(902)-424-1600 (IA)/(902) 424-6200 (ESS)","(902) 424-1629 (IA)/(902) 424-6645 (ESS)","Monday to Friday / 8:30 am to 4:30 pm","http://novascotia.ca/coms/","-63.56816905","44.66397001","POINT (-63.568169055 44.663970006)"
"103 Garland Ave","Dartmouth","B3B 0K5","Dartmouth Garland","No","Yes","No","(902) 424-3298","(902) 424-0625","Monday to Friday / 8:30 am to 4:30 pm","http://novascotia.ca/coms/","-63.58132244","44.70595444","POINT (-63.581322439 44.705954443)"
"84 Warwick St","Digby","B0V 1A0","Digby","No","No","Yes","(902) 245-5811","(902) 245-4121","Monday to Friday / 8:30 am to 4:30 pm","http://novascotia.ca/coms/","-65.76342631","44.61766518","POINT (-65.763426307 44.617665176)"
"15 Commerce Crt","Elmsdale","B2S 3K5","Elmsdale","No","No","Yes - (parent office is Truro)","(902) 883-3539","(902) 883-3534","Monday to Friday / 8:30 am to 4:30 pm","http://novascotia.ca/coms/","-63.50996789","44.97827571","POINT (-63.509967887 44.978275714)"
"633 Main St","Glace Bay","B1A 6J3","Glace Bay","No","No","Yes","(902) 842-4000","(902) 842-4067","Monday to Friday / 8:30 am to 4:30 pm","http://novascotia.ca/coms/","-59.95774154","46.19666227","POINT (-59.957741543 46.196662268)"
"5495 Granville Rd","Granville Ferry","B0S 1K0","Granville","No","Yes","Yes","(902) 532-2337","(902) 532-5858","Monday to Friday / 8:30 am to 4:30 pm","http://novascotia.ca/coms/","-65.51813459","44.75524389","POINT (-65.518134593 44.75524389)"
"9996 Highway 16","Guysborough","B0H 1N0","Guysborough","No","Yes","Yes","(902) 533-4007","(902) 533-3822","Tuesday to Thursday / 8:30 to 4:30","http://novascotia.ca/coms/","-61.50295753","45.38370481","POINT (-61.502957532 45.383704811)"
"7071 Bayers Rd","Halifax","B3L 2C4","Halifax Bayers","No","Yes","Yes","(902) 424-4150","(902) 424-0578","Monday to Friday / 8:30 am to 4:30 pm","http://novascotia.ca/coms/","-63.62736092","44.65543205","POINT (-63.627360919 44.655432051)"
"2131 Gottingen St","Halifax","B3K 5Z7","Halifax Gottingen","Yes","Yes","Yes","(902) 425-5420","CW fax: (902) 422-9424/IA and DSP fax:  (902) 424-8240","Monday to Friday / 8:30 am to 4:30 pm","http://novascotia.ca/coms/","-63.58343094","44.65236998","POINT (-63.583430935 44.652369977)"
"5675 Spring Garden Rd","Halifax","B3J 1G9","Head Office","No (not an intake office)","No (not an intake office)","No (not an intake office)","1 877-424-1177","N/A","Monday to Friday / 8:30 am to 4:30 pm","http://novascotia.ca/coms/","-63.5791126","44.64265235","POINT (-63.5791126 44.642652349)"
"36243 Cabot Trail","Ingonish","B0C 1K0","Ingonish","No","No","Yes - (parent office is Baddeck)","(902) 285-2652","(902) 285-2215","Two days a week (no set day of week, based on need) / 8:30 am to 4:30 pm","http://novascotia.ca/coms/","-60.38138499","46.69028559","POINT (-60.38138499 46.690285594)"
"470 Main St","Kentville","B4N 1L2","Kentville Main","Yes","No","No","(902) 679-5146","(902) 678-3072","Monday to Friday / 8:30 am to 4:30 pm","http://novascotia.ca/coms/","-64.49957789","45.07736432","POINT (-64.499577892 45.077364317)"
"76 River St","Kentville","B4N 1G9","Kentville River","No","Yes","Yes","(902) 678-6176","(902) 679-6242","Monday to Friday / 8:30 am to 4:30 pm","http://novascotia.ca/coms/","-64.49748195","45.07960412","POINT (-64.497481949 45.079604124)"
"123 Henry Hensey Dr","Liverpool","B0T 1K0","Liverpool","No","Yes","Yes","(902) 354-2771","(902) 354-7460","Monday to Friday / 8:30 am to 4:30 pm","http://novascotia.ca/coms/","-64.72042755","44.0377472","POINT (-64.720427545 44.037747199)"
"291 Peter Dugas Rd","Meteghan","B0W 2J0","Metehgan","No","No","Yes - (parent office is Digby)","(902) 245-7106","(902) 245-4121","Tuesday / 8:30 am to 4:30 pm","http://novascotia.ca/coms/","-66.15416737","44.18307899","POINT (-66.154167367 44.183078985)"
"101 Magee Dr","Middleton","B0S 1P0","Middleton","No","No","Yes","(902) 825-3481","(902) 825-6560","Monday to Friday / 8:30 am to 4:30 pm","http://novascotia.ca/coms/","-65.06874881","44.93950436","POINT (-65.068748807 44.939504358)"
"161 Terra Cotta Dr","New Glasgow","B2H 6B6","New Glasgow","Yes","Yes","Yes","(902) 755-7363 (NGDO I)/(902) 755-5950 (NGDO II)","(902) 755-3631 (NGDO I)/(902)-755-7367 (NGDO II)","Monday to Friday / 8:30 am to 4:30 pm","http://novascotia.ca/coms/","-62.63862536","45.57105536","POINT (-62.638625362 45.571055357)"
"184 Commercial St","North Sydney","B2A 1B6","North Sydney","No","No","Yes","(902) 794-5110","(902) 794-5171","Monday to Friday / 8:30 am to 4:30 pm","http://novascotia.ca/coms/","-60.25174732","46.20714653","POINT (-60.251747317 46.207146531)"
"218 MacSween St","Port Hawkesbury","B9A 2J9","Port Hawkesbury","No","Yes","Yes","(902) 625-0660","(902) 625-4021","Monday to Friday / 8:30 am to 4:30 pm","http://novascotia.ca/coms/","-61.35491285","45.61882234","POINT (-61.354912851 45.618822338)"
"86 High Rd","Port Hood","B0E 2W0","Port Hood","No","No","Yes","(902) 787-4000","(902) 787-4010","Monday to Friday / 8:30 am to 4:30 pm","http://novascotia.ca/coms/","-61.52858764","46.01349325","POINT (-61.528587644 46.013493248)"
"40 Freer Lane","Lower Sackville","B4C 0A2","Sackville","No","Yes","Yes","(902) 869-3600","(902) 864-4669","Monday to Friday / 8:30 am to 4:30 pm","http://novascotia.ca/coms/","-63.65860093","44.75691667","POINT (-63.658600934 44.756916675)"
"9999 Grenville St","St. Peter's","B0E 3B0","St. Peter's","No","No","Yes","(902) 535-3000","(902) 535-2556","Monday to Friday / 8:30 am to 4:30 pm","http://novascotia.ca/coms/","-60.87413518","45.65666338","POINT (-60.874135183 45.656663375)"
"360 Prince St","Sydney","B1P 5L1","Sydney","Yes","Yes","Yes","(902) 563-3300","(902) 563-0516","Monday to Friday / 8:30 am to 4:30 pm","http://novascotia.ca/coms/","-60.18191882","46.13950334","POINT (-60.181918818 46.139503342)"
"60 Lorne St","Truro","B2N 3K3","Truro","Yes","Yes","Yes","(902) 893-5950","(902) 893-5609","Monday to Friday / 8:30 am to 4:30 pm","http://novascotia.ca/coms/","-63.28110989","45.36806197","POINT (-63.281109887 45.368061973)"
"50 Empire Lane","Windsor","B0N 2T0","Windsor","No","Yes","Yes","(902) 798-8319","(902) 798-6605","Monday to Friday / 8:30 am to 4:30 pm","http://novascotia.ca/coms/","-64.1275794","44.99377765","POINT (-64.127579403 44.99377765)"
"10 Starrs Rd","Yarmouth","B5A 2T1","Yarmouth","Yes","Yes","Yes","(902) 742-0741","(902) 742-0747","Monday to Friday / 8:30 am to 4:30 pm","http://novascotia.ca/coms/","-66.1140765","43.84711515","POINT (-66.1140765 43.847115147)"
