"absence_date","absence_type_category","absence_type","absence_hours","employee_type","gender","age_cohort_on_absence_date"
"2014-04-01T00:00:00.000","Medical Appointment","Medical Appointment","1.50","Non-Union","Male","50 - 54"
"2014-04-01T00:00:00.000","Short Term Illness","Short Term Illness","8.00","Union","Male","65+"
"2014-04-01T00:00:00.000","Short Term Illness","Short Term Illness","9.00","Union","Male","45 - 49"
"2014-04-01T00:00:00.000","Short Term Illness","Short Term Illness","9.00","Union","Female","35 - 39"
"2014-04-01T00:00:00.000","General Illness","General Illness","7.75","Union","Female","50 - 54"
"2014-04-01T00:00:00.000","Medical Appointment","Medical Appointment","1.50","Union","Female","40 - 44"
"2014-04-01T00:00:00.000","General Illness","General Illness","7.50","Union","Female","50 - 54"
"2014-04-01T00:00:00.000","General Illness","General Illness","7.50","Union","Female","60 - 64"
"2014-04-01T00:00:00.000","General Illness","General Illness","7.50","Union","Female","35 - 39"
"2014-04-01T00:00:00.000","Medical Appointment","Medical Appointment","3.00","Non-Union","Female","45 - 49"
"2014-04-01T00:00:00.000","Short Term Illness","Short Term Illness","7.75","Union","Female","45 - 49"
"2014-04-01T00:00:00.000","General Illness","General Illness","7.75","Union","Female","50 - 54"
"2014-04-01T00:00:00.000","General Illness","General Illness","7.75","Union","Female","40 - 44"
"2014-04-01T00:00:00.000","Short Term Illness","Short Term Illness","7.00","Non-Union","Male","50 - 54"
"2014-04-01T00:00:00.000","General Illness","General Illness","7.00","Union","Female","40 - 44"
"2014-04-01T00:00:00.000","Short Term Illness","Ease Back Leave","4.00","Non-Union","Female","45 - 49"
"2014-04-01T00:00:00.000","Short Term Illness","Short Term Illness","7.50","Union","Female","50 - 54"
"2014-04-01T00:00:00.000","Medical Appointment","Medical Appointment","1.25","Union","Female","40 - 44"
"2014-04-01T00:00:00.000","General Illness","General Illness","7.50","Union","Female","45 - 49"
"2014-04-01T00:00:00.000","General Illness","General Illness","7.50","Union","Male","50 - 54"
"2014-04-01T00:00:00.000","Short Term Illness","Short Term Illness","7.50","Union","Female","45 - 49"
"2014-04-01T00:00:00.000","Short Term Illness","Short Term Illness","7.75","Union","Female","65+"
"2014-04-01T00:00:00.000","General Illness","General Illness","12.00","Union","Female","40 - 44"
"2014-04-01T00:00:00.000","General Illness","General Illness","12.00","Union","Male","50 - 54"
"2014-04-01T00:00:00.000","Short Term Illness","Short Term Illness","7.75","Union","Female","55 - 59"
"2014-04-01T00:00:00.000","Short Term Illness","Ease Back Leave","3.50","Union","Female","50 - 54"
"2014-04-01T00:00:00.000","Family Illness","Family Illness - Bank","3.50","Union","Male","35 - 39"
"2014-04-01T00:00:00.000","Short Term Illness","Short Term Illness","8.00","Union","Male","50 - 54"
"2014-04-01T00:00:00.000","Short Term Illness","Short Term Illness","8.00","Union","Female","50 - 54"
"2014-04-01T00:00:00.000","Short Term Illness","Short Term Illness","7.50","Union","Female","35 - 39"
"2014-04-01T00:00:00.000","Short Term Illness","Short Term Illness","9.00","Union","Male","55 - 59"
"2014-04-01T00:00:00.000","General Illness","General Illness","9.00","Union","Male","50 - 54"
"2014-04-01T00:00:00.000","General Illness","General Illness","7.50","Union","Female","40 - 44"
"2014-04-01T00:00:00.000","Short Term Illness","Short Term Illness","7.50","Union","Female","35 - 39"
"2014-04-01T00:00:00.000","Short Term Illness","Short Term Illness","12.00","Union","Male","35 - 39"
"2014-04-01T00:00:00.000","Medical Appointment","Medical Appointment","3.00","Non-Union","Male","45 - 49"
"2014-04-01T00:00:00.000","General Illness","General Illness","7.50","Non-Union","Female","35 - 39"
"2014-04-01T00:00:00.000","Short Term Illness","Short Term Illness","7.50","Union","Female","55 - 59"
"2014-04-01T00:00:00.000","Short Term Illness","Ease Back Leave","7.50","Union","Female","50 - 54"
