"service","region","office_address","postal_code","tollfree","phone","fax"
"Registry of Joint Stock Companies","Amherst","144 Robert Angus Drive","B4H 4R7","1-800-670-4357","n/a","n/a"
"Business Licensing and Registration","Amherst","144 Robert Angus Drive","B4H 4R7","1-800-670-4357","n/a","n/a"
"Debtor Assistance","Amherst","144 Robert Angus Drive","B4H 4R7","1-800-670-4357","n/a","n/a"
"Consumer Complaints and Information","Amherst","144 Robert Angus Drive","B4H 4R7","1-800-670-4357","n/a","n/a"
"Vital Statistics","Amherst","144 Robert Angus Drive","B4H 4R7","1-800-670-4357","n/a","n/a"
"Land Information","Amherst","144 Robert Angus Drive","B4H 4R7","1-800-670-4357","n/a","n/a"
"Residential Tenancies","Amherst","144 Robert Angus Drive","B4H 4R7","1-800-670-4357","n/a","n/a"
"Land Registration","Amherst","144 Robert Angus Drive","B4H 4R7","1-800-670-4357","n/a","902-667-5657"
"Registry of Motor Vehicles","Amherst","144 Robert Angus Drive","B4H 4R7","1-800-898-7668","n/a","902-667-6436"
"Registry of Motor Vehicles","Amherst","144 Robert Angus Drive","B4H 4R7","1-800-898-7668","n/a","902-667-6436"
"Road Test","Amherst","144 Robert Angus Drive","B4H 4R7","1-800-898-7668","n/a","n/a"
"Learner's / Knowledge Test","Amherst","144 Robert Angus Drive","B4H 4R7","1-800-898-7668","n/a","n/a"
"Registry of Joint Stock Companies","Antigonish","149 Church St., Antigonish Mall Annex, Suite 3","B2G 2E2","1-800-670-4357","n/a","n/a"
"Business Licensing and Registration","Antigonish","149 Church St., Antigonish Mall Annex, Suite 3","B2G 2E2","1-800-670-4357","n/a","n/a"
"Debtor Assistance","Antigonish","149 Church St., Antigonish Mall Annex, Suite 3","B2G 2E2","1-800-670-4357","n/a","n/a"
"Consumer Complaints and Information","Antigonish","149 Church St., Antigonish Mall Annex, Suite 3","B2G 2E2","1-800-670-4357","n/a","n/a"
"Vital Statistics","Antigonish","149 Church St., Antigonish Mall Annex, Suite 3","B2G 2E2","1-800-670-4357","n/a","n/a"
"Residential Tenancies","Antigonish","149 Church St., Antigonish Mall Annex, Suite 3","B2G 2E2","1-800-670-4357","n/a","n/a"
"Registry of Motor Vehicles","Antigonish","149 Church St., Antigonish Mall Annex, Suite 3","B2G 2E2","1-800-898-7668","n/a","n/a"
"Registry of Motor Vehicles","Antigonish","149 Church St., Antigonish Mall Annex, Suite 3","B2G 2E2","1-800-898-7668","n/a","n/a"
"Road Test","Antigonish","149 Church St., Antigonish Mall Annex, Suite 3","B2G 2E2","1-800-898-7668","n/a","n/a"
"Learner's / Knowledge Test","Antigonish","149 Church St., Antigonish Mall Annex, Suite 3","B2G 2E2","1-800-898-7668","n/a","n/a"
"Registry of Motor Vehicles","Baddeck","6 Off Campbell Street, Transportation Building","B1P 1E8","1-800-898-7668","n/a","n/a"
"Road Test","Baddeck","6 Campbell Street, Provincial Building","B1P 1E8","1-800-898-7668","n/a","n/a"
"Learner's / Knowledge Test","Baddeck","6 Campbell Street, Provincial Building","B1P 1E8","1-800-898-7668","n/a","n/a"
"Road Test","Barrington Passage","St. James United Church Hall","B0W 1G0","n/a","n/a","n/a"
"Learner's / Knowledge Test","Barrington Passage","St. James United Church Hall","B0W 1G0","n/a","n/a","n/a"
"Road Test","Beechville","27 Prospect Road","B3T 1Z3","1-800-898-7668","n/a","n/a"
"Registry of Joint Stock Companies","Bridgewater","81 Logan Road","B4V 3T3","1-800-670-4357","n/a","n/a"
"Business Licensing and Registration","Bridgewater","81 Logan Road","B4V 3T3","1-800-670-4357","n/a","n/a"
"Debtor Assistance","Bridgewater","81 Logan Road","B4V 3T3","1-800-670-4357","n/a","n/a"
"Consumer Complaints and Information","Bridgewater","81 Logan Road","B4V 3T3","1-800-670-4357","n/a","n/a"
"Vital Statistics","Bridgewater","81 Logan Road","B4V 3T3","1-800-670-4357","n/a","n/a"
"Land Registration","Bridgewater","81 Logan Road","B4V 3T3","1-800-670-4357","902-543-5095","902-543-0689"
"Residential Tenancies","Bridgewater","81 Logan Road","B4V 3T3","1-800-670-4357","n/a","n/a"
"Registry of Motor Vehicles","Bridgewater","81 Logan Road","B4V 3T3","1-800-898-7668","902-527-5891","n/a"
"Registry of Motor Vehicles","Bridgewater","81 Logan Road","B4V 3T3","1-800-898-7668","902-527-5891","n/a"
"Road Test","Bridgewater","81 Logan Road","B4V 3T3","1-800-898-7668","n/a","n/a"
"Learner's / Knowledge Test","Bridgewater","81 Logan Road","B4V 3T3","1-800-898-7668","n/a","n/a"
"Road Test","Canso","Royal Canadian Legion (upstairs) Branch #46, 56 Union Street","B0H 1H0","1-800-898-7668","n/a","n/a"
"Learner's / Knowledge Test","Canso","Royal Canadian Legion (upstairs) Branch #46, 56 Union Street","B0H 1H0","1-800-898-7668","n/a","n/a"
"Road Test","Cheticamp","Royal Canadian Legion, 2 Legion Road","B0H 1H0","n/a","n/a","n/a"
"Learner's / Knowledge Test","Cheticamp","Royal Canadian Legion, 2 Legion Road","B0H 1H0","n/a","n/a","n/a"
"Registry of Joint Stock Companies","Dartmouth","250 Baker Drive, Suite 134","B2W 6L4","1-800-670-4357","n/a","n/a"
"Business Licensing and Registration","Dartmouth","250 Baker Drive, Suite 134","B2W 6L4","1-800-670-4357","902-424-5200","n/a"
"Debtor Assistance","Dartmouth","250 Baker Drive, Suite 134","B2W 6L4","1-800-670-4357","n/a","n/a"
"Consumer Complaints and Information","Dartmouth","250 Baker Drive, Suite 134","B2W 6L4","1-800-670-4357","n/a","n/a"
"Vital Statistics","Dartmouth","250 Baker Drive, Suite 134","B2W 6L4","1-800-670-4357","902-424-4381","n/a"
"Residential Tenancies","Dartmouth","250 Baker Drive, Suite 134","B2W 6L4","1-800-670-4357","n/a","n/a"
"Alcohol and Gaming, Fuel and Tobacco Division","Dartmouth-Burnside","780 Windmill Road, 2nd Floor","B3J 1T3","1-877-565-0556","902- 424-6160","n/a"
"Land Registration","Dartmouth-Burnside","780 Windmill Road, 3rd Floor","B3J 3C4","1-800-670-4357","902-424-4083","902-424-5747"
"Registry of Motor Vehicles","Dartmouth","250 Baker Drive, Suite 134","B2W 6L4","1-800-898-7668","902- 424-5851","902-424-0707"
"Registry of Motor Vehicles","Dartmouth","250 Baker Drive, Suite 134","B2W 6L4","1-800-898-7668","902- 424-5851","n/a"
"Road Test","Dartmouth","250 Baker Drive, Suite 134","B2W 6L4","1-800-898-7668","n/a","n/a"
"Learner's / Knowledge Test","Dartmouth","250 Baker Drive, Suite 134","B2W 6L4","1-800-898-7668","n/a","n/a"
"Registry of Motor Vehicles","Digby","338 Highway 303","B0V 1A0","1-800-898-7668","902-245-6332","n/a"
"Registry of Motor Vehicles","Digby","338 Highway 303","B0V 1A0","1-800-898-7668","902-245-6332","n/a"
"Road Test","Digby","338 Highway 303","B0V 1A0","1-800-898-7668","n/a","n/a"
"Learner's / Knowledge Test","Digby","338 Highway 303","B0V 1A0","1-800-898-7668","n/a","n/a"
"Road Test","Glace Bay","Glace Bay Fire Hall, 87 Reserve Street","B1A 4W5","1-800-898-7668","n/a","n/a"
"Registry of Motor Vehicles","Guysborough","33 Pleasant Street","B0H1N0","n/a","n/a","n/a"
"Registry of Joint Stock Companies","Halifax","300 Horseshoe Lake Drive","B3S 0B7","1-800-670-4357","n/a","n/a"
"Business Licensing and Registration","Halifax","300 Horseshoe Lake Drive","B3S 0B7","1-800-670-4357","902-424-5200","n/a"
"Debtor Assistance","Halifax","300 Horseshoe Lake Drive","B3S 0B7","1-800-670-4357","n/a","n/a"
"Consumer Complaints and Information","Halifax","300 Horseshoe Lake Drive","B3S 0B7","1-800-670-4357","n/a","n/a"
"Residential Tenancies","Halifax","300 Horseshoe Lake Drive","B3S 0B7","1-800-670-4357","n/a","n/a"
"Registry of Motor Vehicles","Halifax","300 Horseshoe Lake Drive","B3S 0B7","1-800-898-7668","902- 424-5851","n/a"
"Registry of Motor Vehicles","Halifax","300 Horseshoe Lake Drive","B3S 0B7","1-800-898-7668","902- 424-5851","n/a"
"Road Test","Halifax","300 Horseshoe Lake Drive","B3S 0B7","1-800-898-7668","n/a","n/a"
"Learner's / Knowledge Test","Halifax","300 Horseshoe Lake Drive","B3S 0B7","1-800-898-7668","n/a","n/a"
"Vital Statistics","Halifax-Maritime Center","1505 Barrington Street, 5th Floor","B3J3K5","1-800-670-4357","902- 424-5851","n/a"
"Registry of Joint Stock Companies","Halifax-Maritime Center","1505 Barrington Street, 6th Floor","B3J 3K5","1-800-225-8227","902-424-4633","n/a"
"Tax Commission","Halifax-Maritime Center","1505 Barrington Street, 7th Floor","B3J 3K5","1-800-565-2336","902-424-6300","902-424-7434"
"Road Test","Ingonish","St. John's Parish Hall, Main Road","B0C1K0","n/a","n/a","n/a"
"Learner's / Knowledge Test","Ingonish","St. John's Parish Hall, Main Road","B0C1K0","n/a","n/a","n/a"
"Road Test","Inverness","Fire Hall, 15797 Central Avenue","B0E 1N0","n/a","n/a","n/a"
"Learner's / Knowledge Test","Inverness","Fire Hall, 15797 Central Avenue","B3P 1X4","n/a","n/a","n/a"
"Registry of Joint Stock Companies","Kentville","5 Shylah Drive","B4N 0H2","1-800-670-4357","n/a","n/a"
"Business Licensing and Registration","Kentville","5 Shylah Drive","B4N 0H2","1-800-670-4357","n/a","n/a"
"Debtor Assistance","Kentville","5 Shylah Drive","B4N 0H2","1-800-670-4357","n/a","n/a"
"Consumer Complaints and Information","Kentville","5 Shylah Drive","B4N 0H2","1-800-670-4357","n/a","n/a"
"Vital Statistics","Kentville","5 Shylah Drive","B4N 0H2","1-800-670-4357","n/a","n/a"
"Residential Tenancies","Kentville","5 Shylah Drive","B4N 0H2","1-800-670-4357","n/a","n/a"
"Registry of Motor Vehicles","Kentville","5 Shylah Drive","B4N 0H2","1-800-898-7668","902-679-6185","n/a"
"Registry of Motor Vehicles","Kentville","5 Shylah Drive","B4N 0H2","1-800-898-7668","902-679-6185","n/a"
"Road Test","Kentville","5 Shylah Drive","B4N 0H2","1-800-898-7668","n/a","n/a"
"Learner's / Knowledge Test","Kentville","5 Shylah Drive","B4N 0H2","1-800-898-7668","n/a","n/a"
"Land Registration","Lawrencetown","396 Main Street","B0S 1M0","n/a","902-584-7185","902-584-2304"
"Registry of Motor Vehicles","Liverpool","249 White Point Road","B0C 1G0","1-800-898-7668","n/a","n/a"
"Road Test","Liverpool","249 White Point Road","B0C 1G0","1-800-898-7668","n/a","n/a"
"Learner's / Knowledge Test","Liverpool","249 White Point Road","B0C 1G0","1-800-898-7668","n/a","n/a"
"Registry of Motor Vehicles","Middleton","61 Main Street","B0S 1P0","1-800-898-7668","n/a","n/a"
"Registry of Motor Vehicles","Middleton","61 Main Street","B0S 1P0","1-800-898-7668","n/a","n/a"
"Road Test","Middleton","61 Main Street","B0S 1P0","1-800-898-7668","n/a","n/a"
"Road Test","Middleton","61 Main Street","B0S 1P0","1-800-898-7668","n/a","n/a"
"Learner's / Knowledge Test","Middleton","61 Main Street","B0S 1P0","1-800-898-7668","n/a","n/a"
"Registry of Joint Stock Companies","Lower Sackville","486 Sackville Drive","B4C 2R8","1-800-670-4357","n/a","n/a"
"Business Licensing and Registration","Lower Sackville","486 Sackville Drive","B4C 2R8","1-800-670-4357","902-424-5200","n/a"
"Debtor Assistance","Lower Sackville","486 Sackville Drive","B4C 2R8","n/a","n/a","n/a"
"Consumer Complaints and Information","Lower Sackville","486 Sackville Drive","B4C 2R8","n/a","n/a","n/a"
"Residential Tenancies","Lower Sackville","486 Sackville Drive","B4C 2R8","n/a","n/a","n/a"
"Registry of Motor Vehicles","Lower Sackville","486 Sackville Drive","B4C 2R8","1-800-898-7668","902- 424-5851","n/a"
"Registry of Motor Vehicles","Lower Sackville","486 Sackville Drive","B4C 2R8","1-800-898-7668","902- 424-5851","n/a"
"Road Test","Lower Sackville","486 Sackville Drive","B4C 2R8","1-800-898-7668","n/a","n/a"
"Learner's / Knowledge Test","Lower Sackville","486 Sackville Drive","B4C 2R8","1-800-898-7668","n/a","n/a"
"Road Test","North Sydney","Firemen's Hall, 14 Pierce Street","B2A 1N1","1-800-898-7668","n/a","n/a"
"Registry of Joint Stock Companies","Port Hawkesbury","218 MacSween Street, Suite 22, Provincial Building","B9A 2J9","1-800-670-4357","n/a","n/a"
"Business Licensing and Registration","Port Hawkesbury","218 MacSween Street, Suite 22, Provincial Building","B9A 2J9","1-800-670-4357","n/a","n/a"
