"admissions_type","ethnicity","fiscal_year","percentage"
"Remand","African Nova Scotian","2010-2011","15"
"Remand","Caucasian","2010-2011","72"
"Remand","Indigenous","2010-2011","11"
"Remand","Other","2010-2011","2"
"Remand","African Nova Scotian","2011-2012","14"
"Remand","Caucasian","2011-2012","70"
"Remand","Indigenous","2011-2012","13"
"Remand","Other","2011-2012","3"
"Remand","African Nova Scotian","2012-2013","14"
"Remand","Caucasian","2012-2013","70"
"Remand","Indigenous","2012-2013","13"
"Remand","Other","2012-2013","3"
"Remand","African Nova Scotian","2013-2014","12"
"Remand","Caucasian","2013-2014","73"
"Remand","Indigenous","2013-2014","11"
"Remand","Other","2013-2014","3"
"Remand","African Nova Scotian","2014-2015","11"
"Remand","Caucasian","2014-2015","76"
"Remand","Indigenous","2014-2015","10"
"Remand","Other","2014-2015","4"
"Remand","African Nova Scotian","2015-2016","12"
"Remand","Caucasian","2015-2016","75"
"Remand","Indigenous","2015-2016","10"
"Remand","Other","2015-2016","3"
"Remand","African Nova Scotian","2016-2017","12"
"Remand","Caucasian","2016-2017","74"
"Remand","Indigenous","2016-2017","11"
"Remand","Other","2016-2017","3"
"Remand","African Nova Scotian","2017-2018","11"
"Remand","Caucasian","2017-2018","77"
"Remand","Indigenous","2017-2018","9"
"Remand","Other","2017-2018","3"
"Remand","African Nova Scotian","2018-2019","12"
"Remand","Caucasian","2018-2019","73"
"Remand","Indigenous","2018-2019","12"
"Remand","Other","2018-2019","4"
"Remand","African Nova Scotian","2019-2020","10"
"Remand","Caucasian","2019-2020","73"
"Remand","Indigenous","2019-2020","13"
"Remand","Other","2019-2020","3"
"Remand","African Nova Scotian","2020-2021","11"
"Remand","Caucasian","2020-2021","73"
"Remand","Indigenous","2020-2021","12"
"Remand","Other","2020-2021","4"
"Sentenced Custody","African Nova Scotian","2010-2011","15"
"Sentenced Custody","Caucasian","2010-2011","79"
"Sentenced Custody","Indigenous","2010-2011","5"
"Sentenced Custody","Other","2010-2011","1"
"Sentenced Custody","African Nova Scotian","2011-2012","14"
"Sentenced Custody","Caucasian","2011-2012","76"
"Sentenced Custody","Indigenous","2011-2012","8"
"Sentenced Custody","Other","2011-2012","1"
"Sentenced Custody","African Nova Scotian","2012-2013","16"
"Sentenced Custody","Caucasian","2012-2013","77"
"Sentenced Custody","Indigenous","2012-2013","6"
"Sentenced Custody","Other","2012-2013","1"
"Sentenced Custody","African Nova Scotian","2013-2014","13"
"Sentenced Custody","Caucasian","2013-2014","79"
"Sentenced Custody","Indigenous","2013-2014","7"
"Sentenced Custody","Other","2013-2014","2"
"Sentenced Custody","African Nova Scotian","2014-2015","16"
"Sentenced Custody","Caucasian","2014-2015","77"
"Sentenced Custody","Indigenous","2014-2015","5"
"Sentenced Custody","Other","2014-2015","2"
"Sentenced Custody","African Nova Scotian","2015-2016","12"
"Sentenced Custody","Caucasian","2015-2016","79"
"Sentenced Custody","Indigenous","2015-2016","7"
"Sentenced Custody","Other","2015-2016","2"
"Sentenced Custody","African Nova Scotian","2016-2017","13"
"Sentenced Custody","Caucasian","2016-2017","79"
"Sentenced Custody","Indigenous","2016-2017","6"
"Sentenced Custody","Other","2016-2017","2"
"Sentenced Custody","African Nova Scotian","2017-2018","11"
"Sentenced Custody","Caucasian","2017-2018","82"
"Sentenced Custody","Indigenous","2017-2018","5"
"Sentenced Custody","Other","2017-2018","2"
"Sentenced Custody","African Nova Scotian","2018-2019","11"
"Sentenced Custody","Caucasian","2018-2019","80"
"Sentenced Custody","Indigenous","2018-2019","6"
"Sentenced Custody","Other","2018-2019","3"
"Sentenced Custody","African Nova Scotian","2019-2020","11"
"Sentenced Custody","Caucasian","2019-2020","81"
"Sentenced Custody","Indigenous","2019-2020","7"
"Sentenced Custody","Other","2019-2020","1"
"Sentenced Custody","African Nova Scotian","2020-2021","10"
"Sentenced Custody","Caucasian","2020-2021","77"
"Sentenced Custody","Indigenous","2020-2021","10"
"Sentenced Custody","Other","2020-2021","3"
