"admissions_type","fiscal_year","gender","percentage"
"Remand","2010-2011","Female","12"
"Remand","2010-2011","Male","88"
"Remand","2011-2012","Female","11"
"Remand","2011-2012","Male","89"
"Remand","2012-2013","Female","14"
"Remand","2012-2013","Male","86"
"Remand","2013-2014","Female","15"
"Remand","2013-2014","Male","85"
"Remand","2014-2015","Female","16"
"Remand","2014-2015","Male","84"
"Remand","2015-2016","Female","15"
"Remand","2015-2016","Male","85"
"Remand","2016-2017","Female","14"
"Remand","2016-2017","Male","86"
"Remand","2017-2018","Female","16"
"Remand","2017-2018","Male","84"
"Remand","2018-2019","Female","15"
"Remand","2018-2019","Male","85"
"Remand","2019-2020","Female","18"
"Remand","2019-2020","Male","82"
"Remand","2020-2021","Female","13"
"Remand","2020-2021","Male","87"
"Sentenced Custody","2010-2011","Female","8"
"Sentenced Custody","2010-2011","Male","92"
"Sentenced Custody","2011-2012","Female","14"
"Sentenced Custody","2011-2012","Male","86"
"Sentenced Custody","2012-2013","Female","14"
"Sentenced Custody","2012-2013","Male","86"
"Sentenced Custody","2013-2014","Female","11"
"Sentenced Custody","2013-2014","Male","89"
"Sentenced Custody","2014-2015","Female","13"
"Sentenced Custody","2014-2015","Male","87"
"Sentenced Custody","2015-2016","Female","13"
"Sentenced Custody","2015-2016","Male","87"
"Sentenced Custody","2016-2017","Female","14"
"Sentenced Custody","2016-2017","Male","86"
"Sentenced Custody","2017-2018","Female","12"
"Sentenced Custody","2017-2018","Male","88"
"Sentenced Custody","2018-2019","Female","12"
"Sentenced Custody","2018-2019","Male","88"
"Sentenced Custody","2019-2020","Female","14"
"Sentenced Custody","2019-2020","Male","86"
"Sentenced Custody","2020-2021","Female","9"
"Sentenced Custody","2020-2021","Male","91"
