"school","designated_special_education_private_school","renewal_date_of_designation_or_recognition","biannual_renewal","grade_level","civic_address_line_1","civic_address_line_2","civic_address_line_3","mailing_address_line_1","mailing_address_line_2","mailing_address_line_3","phone","fax","url","location"
"Armbrae Academy","No","2022-07-31T00:00:00.000","No","Gr P-12","1400 Oxford Street","Halifax NS","B3H 3Y8",,,,"902 423-7920","902 423-9731","www.armbrae.ns.ca","1400 Oxford Street
,  
(44.6364, -63.596143)"
"Bridgeway Academy - Dartmouth","Yes","2021-07-31T00:00:00.000","Yes","Gr P-12","3 Valleyford Avenue","Dartmouth NS","B2X1W8",,,,"902 464-0134","902 464-1147","www.bridgeway-academy.com","3 Valleyford Avenue
,  
(44.685981, -63.540895)"
"Bridgeway Academy - Stellarton","Yes","2021-07-31T00:00:00.000","Yes","Gr P-9","33 Acadia Avenue","Stellarton NS","B0K 1S0","PO Box 510","Stellarton NS","B0K 1S0","902 752-3630",,"www.bridgeway-academy.com","33 Acadia Avenue
,  
(45.557044, -62.662067)"
"Bridgeway Academy - Truro","Yes","2021-07-31T00:00:00.000","Yes","Gr P-12","40 Douglas Street","Truro NS","B2N 2E7",,,,"902 843-9178","902 464-1147","www.bridgeway-academy.com","40 Douglas Street
,  
(45.358759, -63.274948)"
"Bridgeway Academy - Yarmouth","Yes","2021-07-31T00:00:00.000","Yes","Gr 7-12","25 Beaton Street","Yarmouth NS","B5A 2W2",,,,"902 748-1004","902 464-1147","www.bridgeway-academy.com","25 Beaton Street
,  
(43.842822, -66.115387)"
"Churchill Academy","Yes","2021-07-31T00:00:00.000","Yes","Gr 4-12","5 Crichton Avenue","Dartmouth NS","B2Y 1P1",,,,"902 446-3410","902 464-9061","www.churchillacademy.ca","5 Crichton Avenue
,  
(44.671848, -63.564353)"
"DEVI International Boarding School","No","2022-07-31T00:00:00.000","No","Gr 4-12","227 Medway River Road","Mill Village, NS","B0J 2H0",,,,"902 935-2125",,"www.devischool.org","227 Medway River Road Mill Village B0J 2H0
,  
(44.6551341, -63.570505)"
"Halifax Grammar School","No","2020-07-31T00:00:00.000","No","Gr P-12","945 Tower Road","Halifax NS","B3H 2Y2",,,,"902 431-8573","902 423-9315","www.hgs.ns.ca","945 Tower Road
,  
(44.632512, -63.578131)"
"King's View Academy","No","2020-07-31T00:00:00.000","No","Gr 7-12","1649 Brunswick Street","Halifax NS","B1S 1T7",,,,"902 429-5434","902 429-5433","www.kingsviewacademy.com","1649 Brunswick Street
,  
(44.645742, -63.576312)"
"King's-Edgehill School","No","2021-07-31T00:00:00.000","No","Gr 7-12","33 King's-Edgehill Lane","Windsor NS","B0N 2T0",,,,"902 798-2278","902 798-2105","www.kes.ns.ca","33 King's-Edgehill Lane
,  
(44.983311, -64.136037)"
"Landmark East School","Yes","2019-06-01T00:00:00.000","Yes","Gr 2-12","708 Main Street","Wolfville NS","B4P 1G4",,,,"902 542-2237","902 542-4147","www.landmarkeast.org","708 Main Street
,  
(45.087053, -64.379394)"
"Sacred Heart School of Halifax","No","2021-07-31T00:00:00.000","No","Gr P-12","5820 Spring Garden Road","Halifax NS","B3H 1X8",,,,"902 422-4459","902 423-7691","www.shsh.ca","5820 Spring Garden Road
,  
(44.641614, -63.582297)"
"Shambhala School","No","2020-07-31T00:00:00.000","No","Gr P-12","5450 Russell Street","Halifax NS","B3K 1W9",,,,"902 454-6100","902 454-6157","www.Shambhalaschool.org","5450 Russell Street
,  
(44.66188, -63.596629)"
"West Island College International - Class Afloat","No","2020-07-31T00:00:00.000","No","Gr 10-12","97 Kaulbach Street","Lunenburg NS","B0J 2C0",,,,"902 634-1895","902 634-7155","www.classafloat.com","97 Kaulbach Street
,  
(44.37982, -64.313079)"
