"id","ticket_created","date_created","issue_date","issue_time","issue_type","method","issue","caller_id_number","type_of_call_or_messge","advertiser_business_phone_number","city","state","zip","location_1","type_of_property_goods_or_services"
"4923410","2021-07-26T21:59:38.000Z","2021-07-26T00:00:00.000",,"","TV","Cable","Billing","None","","None","Wenhan","MA","01984","
MA,  01984
(42.59996, -70.881083)","None"
"4947156","2021-08-06T19:56:45.000Z","2021-08-06T00:00:00.000",,"","Phone","Wireless (cell phone/other mobile device)","Number Portability (keeping your number if you change providers)","None","","None","Highland ranch","CO","80130","
CO,  80130
(39.538985, -104.922934)","None"
"4957510","2021-08-12T17:38:25.000Z","2021-08-12T00:00:00.000","2021-08-12T00:00:00.000","1:17 p.m.","Phone","Wired","Unwanted Calls","203-760-1637","Prerecorded Voice","203-760-1637","Prospect","CT","06712","
CT,  06712
(41.502221, -72.977336)","unknown_services"
"5396122","2022-04-02T16:01:34.000Z","2022-04-02T00:00:00.000","2022-03-25T00:00:00.000","6:53 pm","Phone","Wired","Unwanted Calls","641-244-8902","Prerecorded Voice","None","Reston","VA","20194","
VA,  20194
(38.97896, -77.346119)","Health Insurance Services"
"4917724","2021-07-23T02:50:59.000Z","2021-07-23T00:00:00.000",,"","Phone","Wireless (cell phone/other mobile device)","Billing","None","","None","Fort Lauderdale","FL","33301","
FL,  33301
(26.121518, -80.130442)","None"
"5381313","2022-03-29T09:58:41.000Z","2022-03-29T00:00:00.000","2022-03-28T00:00:00.000","10:58 PM","Phone","Wireless (cell phone/other mobile device)","Unwanted Calls","None","","None","New york","NY","10013","
NY,  10013
(40.720707, -74.005157)","None"
"5207400","2021-12-23T22:11:46.000Z","2021-12-23T00:00:00.000",,"","Phone","Internet (VOIP)","Availability (including rural call completion)","None","","None","Beulah","CO","81023","
CO,  81023
(38.072475, -104.938028)","None"
"5382543","2022-03-29T16:43:18.000Z","2022-03-29T00:00:00.000","2022-03-29T00:00:00.000","6:58 AM","Phone","Wireless (cell phone/other mobile device)","Unwanted Calls","None","","None","Raleigh","NC","27603","
NC,  27603
(35.682873, -78.660706)","None"
"5381218","2022-03-29T06:02:42.000Z","2022-03-29T00:00:00.000","2022-03-29T00:00:00.000","11:00 p.m.","Phone","Wireless (cell phone/other mobile device)","Unwanted Calls","None","","None","Lafayette","CO","80026","
CO,  80026
(40.003145, -105.101742)","None"
"5382278","2022-03-29T15:56:07.000Z","2022-03-29T00:00:00.000","2022-03-29T00:00:00.000","","Phone","Internet (VOIP)","Unwanted Calls","None","","None","Hollywood","FL","33026","
FL,  33026
(26.026061, -80.296424)","None"
"4888655","2021-07-08T04:24:09.000Z","2021-07-08T00:00:00.000",,"","Internet","Cable","Availability","None","","None","Port allegany","PA","16743","
PA,  16743
(41.807119, -78.274622)","None"
"4876693","2021-07-01T14:34:43.000Z","2021-07-01T00:00:00.000",,"","Phone","Wired","Billing","None","","None","Marion","NC","28752","
NC,  28752-8491
(35.683113, -82.056889)","None"
"5381356","2022-03-29T10:48:01.000Z","2022-03-29T00:00:00.000","2022-03-29T00:00:00.000","6:00 am","Phone","Wireless (cell phone/other mobile device)","Unwanted Calls","None","","None","Burlington township","NJ","08016","
NJ,  08016
(40.06733, -74.838404)","None"
