"title","ombcontrolnumber","icrreferencenumber","abstract","primarycontact","primarycontactemail","icrstatus","submissiondate"
"Improving Outage Reporting for Submarine Cables and Enhanced Submarine Outage Data","Pending (https://www.reginfo.gov/public/do/PRAViewICR?ref_nbr=202012-3060-007)","202012-3060-007 (https://www.reginfo.gov/public/do/PRAOMBHistory?ombControlNumber=)",,"Scott Cinnamon","scott.cinnamon@fcc.gov","Pending","2020-12-29T00:00:00.000"
"Submarine Cable Reporting","3060-1116 (https://www.reginfo.gov/public/do/PRAViewICR?ref_nbr=202101-3060-001)","202101-3060-001 (https://www.reginfo.gov/public/do/PRAOMBHistory?ombControlNumber=3060-1116)",,"Scott Cinnamon","scott.cinnamon@fcc.gov","Pending","2021-01-11T00:00:00.000"
"Digital Audio Broadcasting Systems and Their Impact on the Terrestrial Radio Broadcast Service, FCC Form 335","3060-1034 (https://www.reginfo.gov/public/do/PRAViewICR?ref_nbr=202102-3060-017)","202102-3060-017 (https://www.reginfo.gov/public/do/PRAOMBHistory?ombControlNumber=3060-1034)",,"Lisa Scanlan",,"Pending","2021-02-10T00:00:00.000"
"Section 1.21001, Participation in Competitive Bidding for Support; Section 1.21002, Prohibition of Certain Communications During the Competitive Bidding Process","3060-1166 (https://www.reginfo.gov/public/do/PRAViewICR?ref_nbr=202102-3060-016)","202102-3060-016 (https://www.reginfo.gov/public/do/PRAOMBHistory?ombControlNumber=3060-1166)",,"Valerie Barrish",,"Pending","2021-02-10T00:00:00.000"
"Secure Telephone Identity Governance Authority Token Revocation Review Process","Pending (https://www.reginfo.gov/public/do/PRAViewICR?ref_nbr=202102-3060-020)","202102-3060-020 (https://www.reginfo.gov/public/do/PRAOMBHistory?ombControlNumber=)",,"Connor Ferraro","connor.ferraro@fcc.gov","Pending","2021-02-17T00:00:00.000"
"Part 25 of the Federal Communications Commission's Rules Governing the Licensing of, and Spectrum Usage By, Commercial Earth Stations and Space Stations","3060-0678 (https://www.reginfo.gov/public/do/PRAViewICR?ref_nbr=202102-3060-022)","202102-3060-022 (https://www.reginfo.gov/public/do/PRAOMBHistory?ombControlNumber=3060-0678)",,"Merissa Velez",,"Pending","2021-02-19T00:00:00.000"
"Transparency Rule Disclosures, Restoring Internet Freedom, Report and Order, WC Docket No. 17-108 , FCC 17-166","3060-1158 (https://www.reginfo.gov/public/do/PRAViewICR?ref_nbr=202102-3060-014)","202102-3060-014 (https://www.reginfo.gov/public/do/PRAOMBHistory?ombControlNumber=3060-1158)",,"Melissa Kirkel","melissa.kirkel@fcc.gov","Pending","2021-02-26T00:00:00.000"
"Wireless E911 Phase II Location Accuracy Requirements (Third Report and Order in PS Docket No. 07-114)","3060-1147 (https://www.reginfo.gov/public/do/PRAViewICR?ref_nbr=202102-3060-015)","202102-3060-015 (https://www.reginfo.gov/public/do/PRAOMBHistory?ombControlNumber=3060-1147)",,"John Evanoff","john.evanoff@fcc.gov","Pending","2021-02-26T00:00:00.000"
"Compliance with the Non-IP Call Authentication Solution Rules; Robocall Mitigation Database; Certification to Verify Exemption from Caller ID Authentication Implementation Mandate","Pending (https://www.reginfo.gov/public/do/PRAViewICR?ref_nbr=202102-3060-023)","202102-3060-023 (https://www.reginfo.gov/public/do/PRAOMBHistory?ombControlNumber=)",,"Alexander Hobbs","alexander.hobbs@fcc.gov","Pending","2021-03-03T00:00:00.000"
"Service Rules for Advanced Wireless Services (AWS) in the 1.7 GHz and 2.1 GHz Bands","3060-1030 (https://www.reginfo.gov/public/do/PRAViewICR?ref_nbr=202103-3060-004)","202103-3060-004 (https://www.reginfo.gov/public/do/PRAOMBHistory?ombControlNumber=3060-1030)",,"Peter Daronco",,"Pending","2021-03-03T00:00:00.000"
"Biennial Survey of Cable Industry Prices, FCC Form 333","3060-0647 (https://www.reginfo.gov/public/do/PRAViewICR?ref_nbr=202103-3060-003)","202103-3060-003 (https://www.reginfo.gov/public/do/PRAOMBHistory?ombControlNumber=3060-0647)",,"Thomas Tanasovich","thomas.tanasovich@fcc.gov","Pending","2021-03-08T00:00:00.000"
"High-Cost Universal Service Support","3060-0986 (https://www.reginfo.gov/public/do/PRAViewICR?ref_nbr=202103-3060-002)","202103-3060-002 (https://www.reginfo.gov/public/do/PRAOMBHistory?ombControlNumber=3060-0986)",,"Alexander Minard",,"Pending","2021-03-08T00:00:00.000"
"Wireless E911 Location Accuracy Requirements (PS Docket No. 07-114)","3060-1210 (https://www.reginfo.gov/public/do/PRAViewICR?ref_nbr=202103-3060-001)","202103-3060-001 (https://www.reginfo.gov/public/do/PRAOMBHistory?ombControlNumber=3060-1210)",,"John Evanoff","john.evanoff@fcc.gov","Pending","2021-03-08T00:00:00.000"
"Sections 73.1212, 76.1615 and 76.1715, Sponsorship Identification","3060-0174 (https://www.reginfo.gov/public/do/PRAViewICR?ref_nbr=202103-3060-005)","202103-3060-005 (https://www.reginfo.gov/public/do/PRAOMBHistory?ombControlNumber=3060-0174)",,"Gary Schonman",,"Pending","2021-03-08T00:00:00.000"
"Local Telephone Competition and Broadband Reporting, Report and Order, FCC Form 477 (WC Docket No. 19-195, WC Docket No. 11-10, FCC 19-79)","3060-0816 (https://www.reginfo.gov/public/do/PRAViewICR?ref_nbr=202103-3060-008)","202103-3060-008 (https://www.reginfo.gov/public/do/PRAOMBHistory?ombControlNumber=3060-0816)",,"Suzanne Mendez","Suzanne.Mendez@fcc.gov","Pending","2021-03-10T00:00:00.000"
