Ticket ID,Date of Issue,Time of Issue,Form,Method,Issue,Caller ID Number,Type of Call or Messge,Advertiser Business Number,City,State,Zip,Location (Center point of the Zip Code),States
1374777,,,Internet,DSL,Speed,None,,None,Barry,TX,75102,"TX 75102-4535
(32.086329, -96.625888)",24
1374778,,,Accessibility,,,None,,None,Robertsdale,AL,36567,"AL 36567
(30.606646, -87.602965)",30
1374780,,,TV,Cable,Billing,None,,None,Kittanning,PA,16021,"PA 16021
(41.07, -79.99)",49
1374781,,,Phone,Wireless (cell phone/other mobile device),Availability (including rural call completion),None,,None,Taos,NM,87571,"NM 87571
(36.389722, -105.539305)",11
1374782,,,Internet,Cable,Speed,None,,None,Jacksonville,AR,72076,"AR 72076
(34.893224, -92.132428)",15
1374783,,,Internet,Cable,Billing,None,,None,American Canyon,CA,94503,"CA 94503
(38.178317, -122.240598)",8
1374785,,,Internet,Wireless,Open Internet/Net Neutrality,None,,None,Boardman,OH,44512,"OH 44512
(41.029452, -80.66571)",39
1374786,,,Internet,Cable,Equipment,None,,None,Lombard,IL,60148,"IL 60148
(41.873394, -88.016484)",35
1374788,,,Phone,Wireless (cell phone/other mobile device),Billing,None,,None,Saint Cloud,FL,34772,"FL 34772
(28.18766, -81.280584)",31
1374790,,,Internet,Cable,Open Internet/Net Neutrality,None,,None,Hillsboro,OR,97123,"OR 97123
(45.467493, -122.968778)",12
1374792,,,Phone,Wireless (cell phone/other mobile device),Privacy,None,,None,Albuquerque,NM,87113,"NM 87113
(35.180059, -106.589236)",11
1374794,,,TV,Satellite,Billing,None,,None,Nevada City,CA,95959,"CA 95959
(39.316417, -120.953153)",8
1374796,,,TV,Satellite,Billing,,,,Olympia,WA,98501,"WA 98501
(46.998873, -122.874042)",6
1374797,,,Internet,Wireless,Availability,None,,None,Topock,AZ,86436,"AZ 86436
(34.780308, -114.474245)",7
1374799,12/31/2016,5:00 p.m.,TV,,Loud Commercials,None,,None,North Hollywood,CA,91605,"CA 91605
(34.207788, -118.401658)",8
1374801,,,Phone,Wireless (cell phone/other mobile device),Privacy,None,,None,Brea,CA,92821,"CA 92821-5001
(33.920163, -117.898243)",8
1374804,,,Internet,Satellite,Interference,None,,None,Deer Park,WA,99006,"WA 99006
(47.949511, -117.481417)",6
1374806,,,Internet,Cable,Speed,None,,None,Laingsburg,MI,48848,"MI 48848
(42.882961, -84.357025)",50
1374807,12/31/2016,8:28 pm,Radio,Amateur Radio,Indecency,,,,Austell,GA,30106,"GA 30106
(33.835698, -84.624251)",32
1374809,,,TV,Satellite,Billing,None,,None,San Juan Capistrano,CA,92675,"CA 92675
(33.520913, -117.613242)",8
1374811,,,Radio,Amateur Radio,Interference,None,,None,New Port Richey,FL,34652,"FL 34652
(28.235448, -82.730207)",31
1374813,,,Internet,Cable,Open Internet/Net Neutrality,None,,None,Valparaiso,IN,46385,"IN 46385
(41.47774, -87.118628)",36
1374814,,,Internet,Cable,Speed,None,,None,Tampa,FL,33606,"FL 33606
(27.934935, -82.467956)",31
1374815,,,Phone,Wireless (cell phone/other mobile device),Billing,None,,None,Apache Junction,AZ,85120,"AZ 85120
(33.415039, -111.567728)",7
1374816,,,Phone,Wireless (cell phone/other mobile device),Billing,None,,None,Minneapolis,MN,55407,"MN 55407
(44.936152, -93.254012)",1
1374818,12/31/2016,7:50 pm,TV,Satellite,Indecency,None,,None,Boerne,TX,78006,"TX 78006
(29.839947, -98.69979)",24
1374821,,,Internet,DSL,Billing,None,,None,Atlanta,GA,30311,"GA 30311
(33.723548, -84.474401)",32
1374822,,,TV,Broadcast,Open Internet/Net Neutrality,None,,None,Glendale,MO,63122,"MO 63122-3104
(38.598802, -90.384217)",18
1374823,,,Internet,Wireless,Interference,None,,None,Humble,TX,77338,"TX 77338
(30.008078, -95.291133)",24
1374824,12/29/2016,,Phone,Wireless (cell phone/other mobile device),Unwanted Calls,None,Prerecorded Voice,None,Wake Village,TX,75501,"TX 75501
(33.389174, -94.123369)",24
1374826,,,Internet,Cable,Open Internet/Net Neutrality,None,,None,Manteca,CA,95337,"CA 95337
(37.766311, -121.233996)",8
1374828,,,Internet,Cable,Open Internet/Net Neutrality,None,,None,Everett,WA,98204,"WA 98204
(47.899424, -122.255648)",6
1374831,,,Internet,Cable,Billing,None,,None,Mobile,AL,36695,"AL 36695
(30.642121, -88.24971)",30
