"fund_name","revenue_category","org_description","object_description","original_budget","revised_budget","fiscal_year","id"
"Community Development Fund","CD Grants","Com Dev Fd Revenue","Grants Federal CDBG","1535279.00","1535279.00","2016","2016-3122-450-80035-00000000-00000000-4611"
"Community Development Fund","CD Grants","Com Dev Fd Revenue","Grants Federal HOME Grants","705116.00","705116.00","2016","2016-3122-450-80035-00000000-00000000-4612"
"Community Development Fund","CD Grants","Com Dev Fd Revenue","Recaptured Funds HOME Grant","81931.00","81931.00","2016","2016-3122-450-80035-00000000-00000000-4641"
"Community Park Zone A Fund","Contribution Revenue","Com Pk Zone A Non Dept Rev","Contributions/Donations Misc","118570.00","118570.00","2016","2016-4160-910-89000-00000000-00000000-4572"
"Community Park Zone A Fund","Investment Earnings","Com Pk Zone A Non Dept Rev","Investment Income","3952.00","3952.00","2016","2016-4160-910-89000-00000000-00000000-4030"
"Community Park Zone C Fund","Contribution Revenue","Com Pk Zone C Non Dept Rev","Contributions/Donations Misc","8714.00","8714.00","2016","2016-4162-910-89000-00000000-00000000-4572"
"Community Park Zone C Fund","Investment Earnings","Com Pk Zone C Non Dept Rev","Investment Income","290.00","290.00","2016","2016-4162-910-89000-00000000-00000000-4030"
"Court Security Fee Fund","Fines & Penalties","Court Secur Fd Revenue","Court Municipal Court Fees","44100.00","44100.00","2016","2016-3006-300-80015-00000000-00000000-4415"
"Court Security Fee Fund","Investment Earnings","Court Secur Fd Revenue","Investment Income","162.00","162.00","2016","2016-3006-300-80015-00000000-00000000-4030"
"Court Technology Fee Fund","Fines & Penalties","Court Tech Fd Revenue","Court Municipal Court Fees","59545.00","59545.00","2016","2016-3005-300-80015-00000000-00000000-4415"
"Court Technology Fee Fund","Investment Earnings","Court Tech Fd Revenue","Investment Income","1543.00","1543.00","2016","2016-3005-300-80015-00000000-00000000-4030"
"Debt Service Fund","Ad Valorem Taxes","Debt Svc Fd Non Dept Rev","Tax Current Ad Valorem","13465252.00","13465252.00","2016","2016-1151-910-89000-00000000-00000000-4110"
"Debt Service Fund","Ad Valorem Taxes","Debt Svc Fd Non Dept Rev","Tax Delinquent Ad Valorem","60000.00","60000.00","2016","2016-1151-910-89000-00000000-00000000-4111"
"Debt Service Fund","Ad Valorem Taxes","Debt Svc Fd Non Dept Rev","Tax Penal/Interest Ad Valorem","40000.00","40000.00","2016","2016-1151-910-89000-00000000-00000000-4112"
"Debt Service Fund","Investment Earnings","Debt Svc Fd Non Dept Rev","Investment Income","20000.00","20000.00","2016","2016-1151-910-89000-00000000-00000000-4030"
"Drainage Utility Fund","Investment Earnings","Drainage Fd Revenue","Investment Income","8000.00","8000.00","2016","2016-3912-440-80040-00000000-00000000-4030"
"Drainage Utility Fund","Sales - Commercial","Drainage Fd Revenue","Sales Commercial Nontaxable","430500.00","430500.00","2016","2016-3912-440-80040-00000000-00000000-4221-"
"Drainage Utility Fund","Sales - Residential","Drainage Fd Revenue","Sales Residential Nontaxable","1753600.00","1753600.00","2016","2016-3912-440-80040-00000000-00000000-4211-"
"East Med Dist TIRZ #19","Ad Valorem Taxes","E Med TIRZ #19 ND Revenue","Tax Current Ad Valorem","822.00","822.00","2016","2016-3140-910-89000-00000000-00000000-4110"
"East Med Dist TIRZ #19","Investment Earnings","E Med TIRZ #19 ND Revenue","Investment Income","50.00","50.00","2016","2016-3140-910-89000-00000000-00000000-4030-"
"Economic Development Fund","Investment Earnings","ED Fd Revenue","Investment Income","1000.00","1000.00","2016","2016-1002-100-80010-00000000-00000000-4030"
"Efficiency Time Payment Fund","Fines & Penalties","Eff Time Pmt Fd Revenue","Court Time Pmt Fee/Efficiency","6462.00","6462.00","2016","2016-1008-300-80015-00000000-00000000-4418"
"Efficiency Time Payment Fund","Investment Earnings","Eff Time Pmt Fd Revenue","Investment Income","211.00","211.00","2016","2016-1008-300-80015-00000000-00000000-4030"
"Electric Fund","Charges for Services","Elec Rev Street/Hiway Lighting","Sales Security Lights","96508","96508","2016","2016-5211-500-80045-00000000-444     -4230"
"Electric Fund","Fines & Penalties","Elec Rev Forfeited Discounts","Forfeitures Discounts Penalty","1424334.00","1424334.00","2016","2016-5211-500-80045-00000000-450     -4541"
"Electric Fund","Investment Earnings","Electric Fd Revenue","Investment Income","67905.00","67905.00","2016","2016-5211-500-80045-00000000-00000000-4030"
"Electric Fund","Misc Non-Operating","Elec Rev Rent Electric Prop","Misc Nonoperating Revenue","10920.00","10920.00","2016","2016-5211-500-80045-00000000-454     -4790"
"Electric Fund","Misc Non-Operating","Electric Fd Revenue","Collection Service Fees","9045.00","9045.00","2016","2016-5211-500-80045-00000000-00000000-4020"
"Electric Fund","Misc Non-Operating","Electric Fd Revenue","Reimbursed Expenses","16000.00","16000.00","2016","2016-5211-500-80045-00000000-00000000-4545"
"Electric Fund","Misc Non-Operating","Electric Fd Revenue","Sale of Scrap Metal","34000.00","34000.00","2016","2016-5211-500-80045-00000000-00000000-4781"
"Electric Fund","Other Revenue","Elec Rev Misc Service Rev","Misc Operating Revenues","192222.00","192222.00","2016","2016-5211-500-80045-00000000-451     -4590"
"Electric Fund","Other Revenue","Elec Rev Other Sales to Public","Other Fees","30538.00","30538.00","2016","2016-5211-500-80045-00000000-445     -4280"
"Electric Fund","Other Revenue","Electric Fd Revenue","Other Fees Connect Fees","273315","273315","2016","2016-5211-500-80045-00000000-00000000-4283"
"Electric Fund","Rents and Royalties","Electric Fd Revenue","Other Fees Pole Contact & Use","237952","237952","2016","2016-5211-500-80045-00000000-00000000-4282"
