"id","q27","q22","q28","q25","q25_other","q30","q26","q21","survey_source","q29","q23","city_employee_1_yes_2_no","q1a","q1b","q1c","q1d","q1e","q1f","q1g","q1h","q1i","q1j","q1k","q1l","q1m","q1n","q1o","q1p","q1q","q1r","q1s","q1t","q1a2","q1b2","q1c2","q1d2","q1e2","q1f2","q1g2","q1h2","q1i2","q1j2","q1k2","q1l2","q1m2","q1n2","q1o2","q1p2","q1q2","q1r2","q1s2","q1t2","no_first_choice","no_second_choice","no_third_choice","q2a","q2b","q2c","q2d","q2e","q2f","q2g","q2h","q2i","q2j","q2k","q2l","q2m","q2n","q2o","q2p","q2q","q2r","q2s","q2t","q2u","q2v","q2w","q3","q4a","q4b","q4c","q4d","q4e","q4f","q4g","q4h","q4i","q5","q6","q7","q8","q9","q10","q11q","q12b","q11a","q11b","q11c","q11d","q11e","q11f","q11g","q11h","q11i","q11j","q11k","q11l","q11m","q11n","q11o","q11p","q11r","q11s","q11t","q11a2","q11b2","q11c2","q11d2","q11e2","q11f2","q11g2","q11h2","q11i2","q11j2","q11k2","q11l2","q11m2","q11n2","q11o2","q11p2","q11q2","q11r2","q11s2","q11t2","q11_no_first_choice","q11_no_second_choice","q11_no_third_choice","q12","q12a","q13","q14","q15_first_answer","q15_second_answer","q15_third_answer","q15_fourth_answer","q15_fifth_answer","q15_sixth_answer","q15_seventh_answer","q15_eighth_answer","q15_other_answers","q15a","q15b","q15c","q15d","q15e","q15f","q15g","q15_no_first_choice","q15_no_second_choice","q15_no_third_choice","q16","q17","q18a","q18b","q18c","q18d","q19a","q19b","q19c","q19d","q20","q24_first_answer","q24_second_answer","q24_third_answer","q24_fourth_answer","location"
"1","Male","45-54","Own","Single-family unit",,"Area B - North of Bird Pond Rd and East of Texas Ave.","Some college or technical school","More than 20 years","Online","Neither","Three","Yes","Very Important","Very Important","Very Important","Very Important","Very Important","Very Important","Very Important","Very Important","Very Important","Very Important","Very Important","Very Important","Very Important","Very Important","Very Important","Very Important","Very Important","Very Important","Very Important","Very Important",,,,,,,,,,,,,"1","2","3",,,,,,,,,"Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent",,"Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent",,,,,"1","1","1",,"Very Important","Very Important","Very Important","Very Important","Very Important","Very Important","Very Important","Very Important","Very Important","Very Important","Very Important","Very Important","Very Important","Very Important","Very Important","Very Important","Very Important","Very Important","Very Important","1","2","3",,,,,,,,,,,,,,,,,,,,,"Yes","Excellent","Very Safe","Staying the Same","Local newspapers","City cable channel (Ch. 1)",,,,,,,,"1",,,"2",,,"3",,,,"Yes",,"Good","Fair","Poor","Good","Somewhat Unimportant","Somewhat Important","Somewhat Important","Very Important",,"13 to 15 years old",,,,"(30.639968, -96.2746347)"
"10","Male","35-44","Own","Single-family unit",,"Area D - South of Bird Pond Rd. and East of Hwy. 6",,"3 to  years","Online","Texas A&M","Two","Yes","Very Important","Somewhat Important","Somewhat Important","Very Important","Somewhat Unimportant","Somewhat Important","Somewhat Important","Very Important","Somewhat Important","Very Important","Very Important","Very Important","Somewhat Unimportant","Somewhat Unimportant","Somewhat Important","Somewhat Unimportant","Very Important","Somewhat Important","Very Important","Very Important",,,,,,,,"2",,"1",,,,,,,,,"3",,,,,"Fair","No Opinion","No Opinion","Good","No Opinion","Good","Good","Poor","Fair","Poor","Fair","Good","No Opinion","Good","No Opinion","Good","Fair","No Opinion","Good","Good","Poor","Fair","Poor","Recycling: collection of recycled trash is extremely sporadic. No clear schedule or rules.Cost of Water/Electricity: Lot of flags. High costs when not expected. Sometimes even low costs when high costs are expected. Not clear.City Center: None existent. Except for some plazas, there is not much for a small family to do. Mall is very poor.","Good","Excellent","Good","Fair","Good","Poor","Fair","Good","Good","Safety","A GOOD mall or walkable city center area","Activities for toddlers. There is nothing to do except for some sports events that are more suitable for children >6 yr old. Not much fun things to do for children 1-6 years","A good mall with good department stores","3","2","2","More knowledgeable employees","Very Important","Very Important","Very Important","Very Important","Somewhat Important","Very Important","Very Important","Very Important","Somewhat Important","Very Important","Somewhat Important","Somewhat Unimportant","Somewhat Important","Somewhat Important","Somewhat Unimportant","Somewhat Important","Not Important At All","Very Important","Somewhat Important","2",,,,,"1",,,,"3",,,,,,,,,,,,,,"Yes","Good","Very Safe","Staying the Same","City website (cstx.gov)",,,,,,,,,"1",,,"3",,,"2",,,,"Yes",,"No Opinion","No Opinion","No Opinion","Good","Somewhat Important","Very Important","Somewhat Important","Very Important",,"Under  years old",,,,"(30.6256267, -96.253038)"
"100","Female","45-54","Own","Single-family unit",,,"Some college or technical school","11 to 20 years","Online","Neither","Two","No","Very Important","Very Important","Very Important","Very Important","Very Important","Very Important","Very Important","Very Important","Very Important","Very Important","Very Important","Very Important","Very Important","Very Important","Very Important","Very Important","Very Important","Very Important","Very Important","Very Important","3",,,,,,,,,,,,,,,,,,"2","1",,,,"Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Excellent","Good","Fair","Good","Good","Excellent","Excellent","Excellent","Excellent","Excellent","Good","Good","Good",,"Excellent","Good","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent",,,,,"1","1","1",,"Very Important","Very Important","Very Important","Very Important","Very Important","Very Important","Very Important","Very Important","Very Important","Very Important","Very Important","Very Important","Very Important","Very Important","Very Important","Very Important","Somewhat Important","Very Important","Very Important",,,,,,,"3","1",,,,,,,,"2",,,,,,,,"Yes","Excellent","Somewhat Safe","Don't Know","City website (cstx.gov)","Local newspapers","Local TV stations","Social media (Facebook, Twitter, etc.)",,,,,,"1","2",,,,"3",,,,,"Yes",,"No Opinion","No Opinion","Fair","Excellent","Very Important","Very Important","Very Important","Very Important",,"13 to 15 years old",,,,
"1000","Female","45-54","Own","Single-family unit",,"Area D - South of Bird Pond Rd. and East of Hwy. 6","Some college or technical school","11 to 20 years","Online","Neither","Two","No","Very Important","Somewhat Important","Very Important","Somewhat Important","Somewhat Important","Somewhat Important","Somewhat Important","Somewhat Important","Somewhat Important","Somewhat Important","Somewhat Important","Somewhat Important","Somewhat Unimportant","Somewhat Unimportant","Somewhat Unimportant","Somewhat Unimportant","Somewhat Important","Somewhat Important","Somewhat Unimportant","Somewhat Unimportant",,,,,,,,,,,,,,,,,,"1","2","3",,,,"Good","Fair","Fair","Good","Fair","Fair","Fair","Poor","Fair","Fair","Fair","Fair","Fair","Fair","Fair","Excellent","Good","Poor","Fair","Fair","Fair","Fair","Good","The roads/exit sites construction has never stopped for the highway for the past ten years, either the city has too much money or the planner for the city doesn't have a clue when they did the original plan, so the exit/road needs to be changed/fixed constantly!","Good","Excellent","Excellent","Good","Good","Good","Good","Fair","Fair","Quiet town","The constant road construction on the highway",,,"2","3","3",,"Somewhat Unimportant","Somewhat Important","Somewhat Important","Very Important","Somewhat Important","Somewhat Important","Somewhat Unimportant","Somewhat Important","Somewhat Important","Somewhat Unimportant","Somewhat Unimportant","Somewhat Unimportant","Somewhat Important","Somewhat Unimportant","Somewhat Important","Somewhat Unimportant","Very Important","Somewhat Important","Somewhat Important",,,,"1",,,,,,"2",,,,,,,,"3",,,,,,"No",,"Somewhat Safe","Increasing","City website (cstx.gov)","City cable channel (Ch. 1)","Local radio stations","Social media (Facebook, Twitter, etc.)",,,,,,"3",,,"2",,"1",,,,,"Yes",,"Good","Good","Good","Good","Somewhat Unimportant","Somewhat Important","Somewhat Important","Somewhat Important",,"1 to 18 years old",,,,"(30.6256267, -96.253038)"
"1001","Female","25-34","Own","Single-family unit",,"Area C - South of Rock Prairie Rd. and West of Hwy. 6","Some college or technical school","3 to  years","Online","Neither","One","No","Very Important","Somewhat Unimportant","Very Important","Very Important","Very Important","Very Important","Very Important","Very Important","Very Important","Very Important","Very Important","Very Important","Somewhat Unimportant","Very Important","Very Important","Very Important","Very Important","Very Important","Very Important","Very Important","1",,,,,"2",,,,,,,,,,"3",,,,,,,,"Good","Fair","Good","Good","Fair","Fair","Fair","Good","Good","Poor","Good","Good","Good","Good","Good","Fair","Good","Excellent","Fair","Good","Poor","Poor","Poor",,"Excellent","Excellent","Excellent","Excellent","Good","Excellent","Excellent","Excellent","Excellent","for the most part it is a safe and family oriented city","Put more value on making it kid friendly, not so much about just the college students, better quality parks, more kid friendly play places","crime prevention","More children shops, The Childrens Place, carters, five below, Pump it up, Cool cuts","1","2","1",,"Very Important","Very Important","Very Important","Very Important","Very Important","Very Important","Very Important","Very Important","Somewhat Unimportant","Very Important","Very Important","Very Important","Very Important","Somewhat Important","Very Important","Very Important","Very Important","Very Important","Very Important","1","2",,,,,,,,,,,,,,,,,"3",,,,,"No",,"Very Safe","Increasing","Local TV stations","Social media (Facebook, Twitter, etc.)",,,,,,,,,,,"1",,"2","3",,,,"No",,"No Opinion","No Opinion","No Opinion","No Opinion","Very Important","Very Important","Very Important","Very Important","the pavilions are not practical prices to rent, make renting the public facilities more affordable","Under  years old",,,,"(30.5319423, -96.2972832)"
"1002","Male","65 or older","Own","Single-family unit",,"Area D - South of Bird Pond Rd. and East of Hwy. 6",,"11 to 20 years","Online","Neither","Two","No","Somewhat Important","Somewhat Important","Somewhat Important","Somewhat Important","Somewhat Important","Very Important","Very Important","Very Important","Somewhat Important","Somewhat Important","Somewhat Important","Somewhat Important","Somewhat Important","Somewhat Important","Somewhat Important","Somewhat Important","Very Important","Very Important","Very Important","Very Important",,,,,,,,,,,,,,,,,"3",,"1","2",,,,"Good","Good","Good","Good","Good","Fair","Poor","Fair","Fair","Fair","Fair","Fair","Fair","Good","Fair","Fair","Good","Good","Excellent","Excellent","Good","Fair","Good",,"Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Good","Good","Good",,,,,"1","2","2",,"Somewhat Important","Very Important","Very Important","Very Important","Very Important","Very Important","Somewhat Important","Somewhat Important","Somewhat Important","Very Important","Somewhat Important","Somewhat Important","Somewhat Unimportant","Somewhat Important","Very Important","Very Important","Somewhat Important","Somewhat Important","Somewhat Important",,,,"2",,"1",,,,,,,,,"3",,,,,,,,,"Yes","Good","Somewhat Safe","Staying the Same","Utility bill newsletter",,,,,,,,,,"2",,,"1","3",,,,,"Yes",,"Fair","Fair","Good","Good","Somewhat Unimportant","Somewhat Important","Somewhat Unimportant","Somewhat Important",,"None under 19 in household",,,,"(30.6256267, -96.253038)"
"1003","Female","65 or older","Own","Single-family unit",,"Area D - South of Bird Pond Rd. and East of Hwy. 6","Some college or technical school","More than 20 years","Online","Neither","Two","No","Somewhat Important","Somewhat Important","Somewhat Important","Very Important","Very Important","Somewhat Important","Very Important","Very Important","Very Important","Very Important","Very Important","Very Important","Very Important","Somewhat Important","Somewhat Important","Somewhat Important","Very Important","Very Important","Very Important","Very Important",,,,,,,,,,,,,,,,,,"3","2","1",,,,"Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Excellent","Excellent","Excellent","Excellent","Excellent",,"Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent",,,,,"1","1","1",,"Somewhat Important","Very Important","Very Important","Very Important","Very Important","Very Important","Very Important","Very Important","Very Important","Very Important","Very Important","Very Important","Very Important","Very Important","Very Important","Very Important","Somewhat Important","Very Important","Very Important",,,,,,,,,,"2","1",,,,"3",,,,,,,,,"No",,"Very Safe","Increasing","City website (cstx.gov)",,,,,,,,,"1","2",,,,"3",,,,,"Yes",,"Fair","Fair","Good","Good","Somewhat Unimportant","Somewhat Important","Somewhat Unimportant","Somewhat Important",,"None under 19 in household",,,,"(30.6256267, -96.253038)"
"1004","Male","55-64","Own","Single-family unit",,"Area C - South of Rock Prairie Rd. and West of Hwy. 6",,"3 to  years","Online","Blinn","Two","Yes","Very Important","Somewhat Important","Very Important","Very Important","Somewhat Unimportant","Very Important","Somewhat Important","Very Important","Somewhat Important","Very Important","Somewhat Important","Somewhat Important","Somewhat Important","Somewhat Important","Somewhat Important","Somewhat Important","Very Important","Very Important","Very Important","Very Important",,,"2",,,,,,,"3",,,,,,,,,"1",,,,,"Excellent","Good","Excellent","Excellent","Fair","Good","Good","Fair","Good","Poor","Good","Good","Good","Good","Good","Good","Good","Good","Excellent","Excellent","Fair","Fair","Good","Rates, rules and regulations are in some cases overkill.  As homeowners and tax payers we feel undue burden to cover the cost of many things that mostly are used by non-tax payers. Certainly don't know the answer but truly wish for more equity","Good","Excellent","Excellent","Excellent","Excellent","Good","Good","Fair","Good","Closeness to job","Cost of taxes and utilities","Starting projects on highways and finishing them in the shortest time possible.  Much time is spent with idle equipment and workers watching instead of working","Good mix of retail and commercial","2","2","1","Honesty and not change story from on contact to the next","Somewhat Important","Somewhat Important","Somewhat Important","Very Important","Somewhat Important","Very Important","Somewhat Unimportant","Somewhat Unimportant","Very Important","Very Important","Somewhat Important","Very Important","Very Important","Somewhat Important","Very Important","Somewhat Important","Somewhat Unimportant","Somewhat Important","Very Important",,,,"1",,,,,,,,,,,"2",,,,,,,,"3","Yes","Fair","Very Safe","Increasing","City website (cstx.gov)","Local radio stations","Utility bill newsletter",,,,,,,,,,"3","2","1",,,,,"Yes","Not sure","Good","Good","Good","Good","Very Important","Somewhat Important","Somewhat Important","Somewhat Important","No","None under 19 in household",,,,"(30.5319423, -96.2972832)"
"1005","Female","55-64","Own","Single-family unit",,"Area D - South of Bird Pond Rd. and East of Hwy. 6",,"3 to  years","Online","Neither","Two","No","Somewhat Important","Somewhat Important","Very Important","Very Important","Very Important","Very Important","Somewhat Important","Somewhat Important","Somewhat Important","Somewhat Important","Somewhat Important","Somewhat Important","Somewhat Important","Somewhat Important","Somewhat Important","Somewhat Important","Very Important","Somewhat Important","Very Important","Very Important",,,"3",,,,,,,,,,,,,,,,"1","2",,,,"Good","Excellent","Good","Good","Good","Good","No Opinion","Fair","Fair","Fair","Fair","Good","Good","Good","No Opinion","No Opinion","Good","Good","Good","Good","Good","Good","Excellent",,"Good","Excellent","Good","Good","Excellent","Excellent","Excellent","Fair","Good","Proximity to excellent medical facilities, ability to attend events at Texas A&M","High taxes","Increasing education system",,"2","2","1",,"Somewhat Important","Very Important","Very Important","Very Important","Somewhat Important","Very Important","Very Important","Somewhat Important","Very Important","Very Important","Somewhat Important","Somewhat Important","Somewhat Important","Somewhat Important","Very Important","Somewhat Important","Somewhat Important","Very Important","Very Important",,,,"2",,"1",,,,,,,,,,,,,,,,,"3","No",,"Somewhat Safe","Increasing","Local newspapers","Social media (Facebook, Twitter, etc.)",,,,,,,,,,,,,"2","1",,,"3","No",,"No Opinion","No Opinion","Good","Good","Somewhat Important","Very Important","Very Important","Somewhat Important",," to 12 years old",,,,"(30.6256267, -96.253038)"
"1006","Female","65 or older","Own","Single-family unit",,"Area B - North of Bird Pond Rd and East of Texas Ave.",,"More than 20 years","Online","Neither","Two","No","Somewhat Important","Somewhat Important","Somewhat Important","Very Important","Very Important","Very Important","Somewhat Important","Very Important","Very Important","Very Important","Very Important","Very Important","Very Important","Very Important","Very Important","Very Important","Very Important","Very Important","Very Important","Very Important",,,,,,,,,,,,,,,,,"3",,"1","2",,,,"Good","Good","No Opinion","Good","Good","Good","No Opinion","Fair","Poor","Fair","Good","Good","Good","Good","Good","Good","Excellent","Good","Excellent","Excellent","Good","Good","Excellent",,"Excellent","Excellent","Excellent","Good","Good","Excellent","Excellent","Excellent","Excellent","I have lived in CS for almost 30 years. Raised 2 boys.  The atmosphere of living in a college town can not be over emphasized.  Good jobs due to TAMU and CSISD, great schools, lots of shopping and restraurants because of the college kids and their money.  Parks are great.  CS is a small town with a big city entertainment value and medical facilitie","We need to keep current, older neighborhoods for families.  My neighborhood is starting to see too many rental properties going to students and the building of the 'Aggie dorm type' homes in current neighborhoods is not family friendly.  CS needs to stop sleeping with developers and realize that what makes this city livable is family atmosphere.","Keeping traffic safe and flowing.  Good roads, better infrastructure on older roads.  And keeping neighborhoods for families while allowing student housing to be developed outside of older neighborhoods.  Those Aggie dorms are NOT SINGLE FAMILY HOUSING and the city knows it!  That type of housing is okay, but not in the older neighborhoods.","I have so many choices of shopping now, I can't imagine more.  Maybe more development towards the south end of town, especially places to eat.","1","1","1","I have always found my contact with the city to be efficient. Maybe you need to hire a few more employees to work the neighborhood issues as that area is getting lots of phone calls and the lady who works there is over-extended.  She needs help.","Somewhat Important","Very Important","Very Important","Very Important","Very Important","Very Important","Very Important","Very Important","Very Important","Very Important","Very Important","Very Important","Very Important","Very Important","Very Important","Very Important","Very Important","Very Important","Very Important",,,,"1",,"3",,,,"2",,,,,,,,,,,,,,"Yes","Excellent","Very Safe","Don't Know","Local newspapers","Local TV stations","Social media (Facebook, Twitter, etc.)",,,,,,,,"2",,,,"1","3",,,,"Yes","You do a good job now.  People always say they didn't get the info  but 'people' don't try to find out info.  You have a board at Wolf Pen Creek, the website, the TV news, the Parks and Rec booklet.  But people just don't pay attention.","Good","No Opinion","Good","Good","Very Important","Very Important","Very Important","Very Important","The seniors do need a bigger and better facility but it does n ot need a pool or fancy coffee bar.  I hope the library expansion is completed on time.  We do need a new community center since the old one on Bush has been destroyed.  Build a new CC and put a senior center, a lot of meeting rooms and one big room.","None under 19 in household",,,,"(30.639968, -96.2746347)"
