"contactdate","beat","race","gender","encountertype","reasonforencounter","search","typeofsearch","resultofsearch","resultofencounter","intelligenceledfactor"
"2016-01-01T00:00:00.000","31X","White","Male","Vehicle","Traffic Violation","false","No","No","FI Report",
"2016-01-01T00:00:00.000","31X","Hispanic","Male","Vehicle","Traffic Violation","false","No","No","Citation",
"2016-01-01T00:00:00.000","31Y","Hispanic","Male","Vehicle","Traffic Violation","false","No","No","Citation",
"2016-01-01T00:00:00.000","31X","Hispanic","Male","Vehicle","Traffic Violation","false","No","No","Citation",
"2016-01-01T00:00:00.000","31X","Afr American","Female","Vehicle","Traffic Violation","false","No","No","Citation",
"2016-01-01T00:00:00.000","31X","Afr American","Male","Vehicle","Traffic Violation","false","No","No","Citation",
"2016-01-01T00:00:00.000","31Y","Hispanic","Male","Vehicle","Traffic Violation","false","No","No","Citation",
"2016-01-01T00:00:00.000","31X","Hispanic","Male","Vehicle","Traffic Violation","false","No","No","Citation",
"2016-01-01T00:00:00.000","31X","Hispanic","Female","Vehicle","Traffic Violation","false","No","No","Citation",
"2016-01-01T00:00:00.000","34X","Afr American","Male","Pedestrian","Probable Cause","true","Probable Cause","Yes","Misdemeanor Arrest",
"2016-01-01T00:00:00.000","34X","Afr American","Male","Pedestrian","Probable Cause","true","Probable Cause","Yes","Misdemeanor Arrest",
"2016-01-01T00:00:00.000","14X","White","Male","Vehicle","Traffic Violation","false","No","No","Citation",
"2016-01-01T00:00:00.000","30X","Afr American","Male","Vehicle","Traffic Violation","true","Probation/Parole","Other Weapons - Returned","Citation",
"2016-01-01T00:00:00.000","10Y","Afr American","Male","Vehicle","Traffic Violation","false","No","No","Citation",
"2016-01-01T00:00:00.000","07X","Afr American","Male","Vehicle","Traffic Violation","false","No","No","FI Report",
"2016-01-01T00:00:00.000","26Y","Afr American","Female","Vehicle","Traffic Violation","false","No","No","Warning",
"2016-01-01T00:00:00.000","06X","Afr American","Male","Vehicle","Traffic Violation","false","No","No","FI Report",
"2016-01-01T00:00:00.000","30X","Afr American","Male","Vehicle","Traffic Violation","false","No","No","Citation",
"2016-01-01T00:00:00.000","05X","Afr American","Male","Vehicle","Consensual Encounter","true","Incident to Arrest","Yes","Felony Arrest",
"2016-01-01T00:00:00.000","05X","Afr American","Male","Vehicle","Traffic Violation","true","Incident to Arrest","None","Misdemeanor Arrest",
"2016-01-01T00:00:00.000","08X","Hispanic","Male","Vehicle","Traffic Violation","true","Probation/Parole","None","FI Report",
"2016-01-01T00:00:00.000","08X","Afr American","Male","Vehicle","Traffic Violation","true","Probation/Parole","Other Weapons - Returned","Warning",
"2016-01-01T00:00:00.000","07X","Afr American","Male","Pedestrian","Reasonable Suspicion","false","No","No","FI Report",
"2016-01-01T00:00:00.000","07X","Asian","Male","Vehicle","Traffic Violation","false","No","No","Warning",
"2016-01-01T00:00:00.000","06X","Afr American","Male","Vehicle","Probable Cause","true","Probation/Parole","None","FI Report",
"2016-01-01T00:00:00.000","06X","Afr American","Male","Vehicle","Probable Cause","true","Incident to Arrest","None","Misdemeanor Arrest",
"2016-01-01T00:00:00.000","02X","Afr American","Female","Vehicle","Traffic Violation","false","No","No","FI Report",
"2016-01-01T00:00:00.000","15X","Asian","Male","Vehicle","Traffic Violation","false","No","No","Citation",
"2016-01-01T00:00:00.000","27X","Afr American","Female","Vehicle","Traffic Violation","false","No","No","Citation",
"2016-01-01T00:00:00.000","31Y","Afr American","Female","Vehicle","Traffic Violation","false","No","No","Citation",
"2016-01-01T00:00:00.000","33X","Other","Male","Vehicle","Traffic Violation","true","Probation/Parole","None","Misdemeanor Arrest",
"2016-01-01T00:00:00.000","29X","Afr American","Male","Vehicle","Traffic Violation","true","Probation/Parole","None","Citation",
"2016-01-01T00:00:00.000","29X","Afr American","Male","Vehicle","Traffic Violation","false","No","No","Citation",
"2016-01-01T00:00:00.000","11X","Afr American","Female","Vehicle","Traffic Violation","false","No","No","Warning",
"2016-01-01T00:00:00.000","32X","Hispanic","Male","Vehicle","Consensual Encounter","true","Probable Cause","Yes","FI Report",
"2016-01-01T00:00:00.000","31Y","Afr American","Male","Vehicle","Traffic Violation","true","Probable Cause","Yes","Citation",
"2016-01-01T00:00:00.000","23X","Afr American","Male","Vehicle","Traffic Violation","false","No","No","Citation",
"2016-01-01T00:00:00.000","27X","Asian","Male","Vehicle","Traffic Violation","true","Probation/Parole","Yes","Felony Arrest",
"2016-01-01T00:00:00.000","32X","Afr American","Male","Vehicle","Traffic Violation","false","No","No","Warning",
"2016-01-01T00:00:00.000","23X","Hispanic","Male","Vehicle","Traffic Violation","false","No","No","Citation",
"2016-01-01T00:00:00.000","31X","Afr American","Female","Vehicle","Traffic Violation","false","No","No","Citation",
"2016-01-01T00:00:00.000","26X","Hispanic","Male","Vehicle","Traffic Violation","true","Probable Cause","Yes","Citation",
"2016-01-01T00:00:00.000","07X","Afr American","Male","Vehicle","Traffic Violation","false","No","No","Warning",
"2016-01-01T00:00:00.000","32Y","Afr American","Male","Other","Probation/Parole","true","Probation/Parole","None","FI Report",
"2016-01-01T00:00:00.000","30X","Hispanic","Male","Vehicle","Traffic Violation","false","No","No","Citation",
"2016-01-01T00:00:00.000","01X","Afr American","Male","Vehicle","Traffic Violation","false","No","No","Warning",
"2016-01-01T00:00:00.000","32Y","White","Male","Vehicle","Traffic Violation","false","No","No","Citation",
"2016-01-01T00:00:00.000","04X","Afr American","Male","Vehicle","Traffic Violation","false","No","No","FI Report",
"2016-01-01T00:00:00.000","09X","Hispanic","Male","Pedestrian","Reasonable Suspicion","true","Weapons","None","FI Report",
"2016-01-01T00:00:00.000","09X","Afr American","Male","Vehicle","Traffic Violation","false","No","No","Warning",
"2016-01-01T00:00:00.000","04X","Afr American","Male","Bicycle","Traffic Violation","false","No","No","Warning",
"2016-01-01T00:00:00.000","27Y","Hispanic","Male","Vehicle","Traffic Violation","false","No","No","Warning",
"2016-01-01T00:00:00.000","24X","Hispanic","Male","Vehicle","Traffic Violation","true","Probable Cause","Yes","Citation",
