"gender","race","city_residency","job_category","type","department"
"F","Black or African American","Oakland","TECHNICIANS","FTE","OPD "
"F","Black or African American","Oakland","PARA-PROF","PTS","OPR"
"M","Hispanic or Latino","Alamo","PROTECT/SERVCS","FTE","Fire "
"M","White","Walnut Creek","PROTECT/SERVCS","FTE","OPD "
"F","Black or African American","Alameda","TECHNICIANS","FTE","OPD "
"M","Black or African American","Oakland","SKILLED CRAFT","FTE","PWA"
"F","White","Oakland","ADMIN SUPPORT","PTS","Library"
"F","Black or African American","Oakland","PROFESSIONAL","PTS","OPR"
"F","White","El Sobrante","PROTECT/SERVCS","FTE","Fire "
"F","Asian","Hayward","ADMIN SUPPORT","FTE","OPD "
"M","Black or African American","San Leandro","ADMIN SUPPORT","PTS","OPR"
"F","Black or African American","San Leandro","SERV/MAINT","PTS","DHS "
"M","Asian","San Leandro","ADMIN SUPPORT","PTS","DHS "
"M","Native Hawaiian/Other Pacific Islander","San Jose","PROTECT/SERVCS","FTE","OPD "
"M","Hispanic or Latino","Oakdale","PROTECT/SERVCS","TPT","Fire "
"F","Hispanic or Latino","Pacifica","TECHNICIANS","FTE","OPD "
"F","White","Berkeley","PROFESSIONAL","PTS","OPR"
"F","White","Berkeley","PROFESSIONAL","FTE","IT"
"F","Black or African American","Oakland","PARA-PROF","PTS","OPR"
"M","Hispanic or Latino","Emeryville","ADMIN SUPPORT","PTS","Library"
"M","Hispanic or Latino","Oakland","SERV/MAINT","FTE","PWA"
"M","Black or African American","Oakland","ADMIN SUPPORT","PTS","DHS"
"M","Black or African American","Oakland","PROFESSIONAL","PTS","OPR"
"F","Black or African American","Oakland","PROFESSIONAL","PTS","OPR"
"M","Black or African American","Oakland","SKILLED CRAFT","FTE","PWA"
"M","White","Santa Rosa","ADMIN SUPPORT","PTS","Fire "
"M","Black or African American","Oakland","PARA-PROF","PTS","OPR"
"M","Black or African American","Berkeley","PROTECT/SERVCS","PTS","OPR"
"M","Asian","San Ramon","PROTECT/SERVCS","FTE","OPD "
"F","Black or African American","Pittsburg","ADMIN SUPPORT","FTE","PWA"
"F","Asian","Benicia","TECHNICIANS","FTE","OPD "
"M","Black or African American","Oakland","ADMIN SUPPORT","PTS","DHS "
"F","Black or African American","Patterson","PARA-PROF","PTS","OPR"
"F","White","Sacramento","OFFICIAL/ADM","FTE","Library"
"M","White","San Francisco","PROFESSIONAL","PTS","Library"
"F","White","Oakland","PROFESSIONAL","FTE","IT"
"M","White","Oakland","PROFESSIONAL","FTE","PWA"
"M","Hispanic or Latino","Oakland","PARA-PROF","PTS","OPR"
"F","Hispanic or Latino","Oakland","ADMIN SUPPORT","PTS","OPR"
"F","Hispanic or Latino","Oakland","ADMIN SUPPORT","PTS","OPR"
"M","Hispanic or Latino","Oakland","PROTECT/SERVCS","PTS","OPD "
"M","Hispanic or Latino","Tracy","PROTECT/SERVCS","FTE","Fire "
"M","Hispanic or Latino","Pittsburg","PROTECT/SERVCS","FTE","OPD "
"M","Hispanic or Latino","Oakland","ADMIN SUPPORT","FTE","OPR"
"M","Native Hawaiian/Other Pacific Islander","Oakland","ADMIN SUPPORT","PTS","OPR"
"M","White","Fairfield","PROTECT/SERVCS","FTE","OPD "
"F","White","Pittsburg","ADMIN SUPPORT","PTS","OPR"
"M","Asian","Pittsburg","SERV/MAINT","FTE","PWA"
"M","Black or African American","Hayward","OFFICIAL/ADM","FTE","Housing/Comm"
"F","Black or African American","Oakland","ADMIN SUPPORT","PTS","OPR"
"M","Native Hawaiian/Other Pacific Islander","Vallejo","PROTECT/SERVCS","FTE","OPD "
"F","Black or African American","Fairfield","PROTECT/SERVCS","FTE","OPD "
"M","Black or African American","Oakland","SERV/MAINT","FTE","PWA"
"F","Asian","Oakland","ADMIN SUPPORT","PTS","OPR"
"M","White","Richmond","PROFESSIONAL","FTE","PWA"
"M","Asian","Oakley","TECHNICIANS","FTE","OPD "
"M","White","Oakland","TECHNICIANS","FTE","Bldg/Engr"
"M","Black or African American","Oakland","SERV/MAINT","PTS","PWA"
"M","Asian","Brentwood","TECHNICIANS","FTE","PWA"
"M","Native Hawaiian/Other Pacific Islander","Benicia","PROTECT/SERVCS","FTE","OPD "
"F","Hispanic or Latino","San Leandro","PROFESSIONAL","FTE","DHS"
"F","White","San Lorenzo","ADMIN SUPPORT","FTE","DHS "
"F","Hispanic or Latino","Hayward","PROFESSIONAL","FTE","HR"
"F","Hispanic or Latino","Oakland","ADMIN SUPPORT","PTS","Library"
"M","Hispanic or Latino","Antioch","PROTECT/SERVCS","FTE","OPD "
"F","Two or More Races","Oakland","OFFICIAL/ADM","FTE","Finance"
"M","Black or African American","Oakland","OFFICIAL/ADM","FTE","OPR"
"F","Black or African American","Oakland","ADMIN SUPPORT","PTS","Library"
"M","Hispanic or Latino","San Pablo","SERV/MAINT","FTE","PWA"
"F","White","Alameda","PROTECT/SERVCS","FTE","CAO"
"M","White","Oakland","PARA-PROF","PTS","Library"
"F","Black or African American","Oakland","PROTECT/SERVCS","FTE","OPD "
"M","Black or African American","Oakland","ADMIN SUPPORT","PTS","OPR"
"M","Black or African American","Oakland","PARA-PROF","PTS","OPR"
"M","Black or African American","Oakland","PARA-PROF","PTS","OPR"
"F","Black or African American","Richmond","PARA-PROF","PTS","OPR"
"M","Asian","Fremont","PROFESSIONAL","FTE","IT"
"F","Hispanic or Latino","Alameda","ADMIN SUPPORT","FTE","OPD "
"F","White","Oakland","PROFESSIONAL","PPT","Economic Dev"
"M","Black or African American","San Pablo","ADMIN SUPPORT","PTS","OPR"
"F","Native Hawaiian/Other Pacific Islander","El Sobrante","ADMIN SUPPORT","PTS","OPR"
"M","Black or African American","Oakland","SERV/MAINT","FTE","PWA"
"F","White","Oakland","PARA-PROF","PTS","OPR"
"M","Black or African American","Hayward","SERV/MAINT","FTE","PWA"
"F","Black or African American","Vacaville","PROTECT/SERVCS","FTE","OPD "
"M","Black or African American","Oakland","OFFICIAL/ADM","FTE","IT"
"M","White","Fairfield","PROFESSIONAL","FTE","OPD "
"F","White","San Ramon","PROTECT/SERVCS","FTE","OPD "
"M","White","Oakland","SERV/MAINT","FTE","PWA"
"M","Asian","San Leandro","ADMIN SUPPORT","PTS","Library"
"F","Black or African American","Oakland","PARA-PROF","FTE","DHS"
"M","Hispanic or Latino","San Leandro","PROTECT/SERVCS","PTS","OPD "
"F","American Indian or Alaska Native","Antioch","PROTECT/SERVCS","FTE","OPD "
"M","Hispanic or Latino","Manteca","PROTECT/SERVCS","FTE","Fire "
"M","Hispanic or Latino","Oakland","PROFESSIONAL","FTE","DHS"
"M","Hispanic or Latino","Hayward","SERV/MAINT","FTE","PWA"
"M","Hispanic or Latino","San Leandro","PROFESSIONAL","PTS","OPR"
"M","Hispanic or Latino","San Francisco","PROTECT/SERVCS","FTE","Fire "
"M","Hispanic or Latino","Oakland","PROTECT/SERVCS","FTE","OPD "
"M","Hispanic or Latino","Hayward","PROTECT/SERVCS","FTE","OPD "
"M","Hispanic or Latino","Oakland","PROTECT/SERVCS","FTE","OPD "
"M","Hispanic or Latino","Oakland","ADMIN SUPPORT","PTS","Library"
"M","Hispanic or Latino","Manteca","PROTECT/SERVCS","FTE","OPD "
"M","Hispanic or Latino","Oakland","PROTECT/SERVCS","FTE","OPD "
"F","White","El Sobrante","ADMIN SUPPORT","PTS","OPR"
"M","Hispanic or Latino","Berkeley","ADMIN SUPPORT","FTE","OPD "
"F","White","Martinez","PROTECT/SERVCS","FTE","OPD "
"M","White","Danville","PROTECT/SERVCS","FTE","OPD "
"M","Hispanic or Latino","Brentwood","OFFICIAL/ADM","FTE","PWA"
"M","Black or African American","Emeryville","PROFESSIONAL","PTS","OPR"
"M","Black or African American","Emeryville","PARA-PROF","PTS","OPR"
"M","Hispanic or Latino","Modesto","SKILLED CRAFT","FTE","PWA"
"M","Asian","Modesto","PROFESSIONAL","FTE","IT"
"M","White","Walnut Creek","OFFICIAL/ADM","FTE","PWA"
"M","Hispanic or Latino","Elk Grove","ADMIN SUPPORT","PTS","OPR"
"M","White","Sonoma","PROTECT/SERVCS","FTE","Fire "
"F","Hispanic or Latino","San Leandro","PARA-PROF","FTE","Library"
"M","White","Tracy","PROTECT/SERVCS","FTE","OPD "
"F","Black or African American","Antioch","ADMIN SUPPORT","PTS","OPR"
"F","Black or African American","Oakland","ADMIN SUPPORT","FTE","PWA"
"F","Black or African American","Oakland","PROFESSIONAL","PTS","Bldg/Engr"
"F","White","Oakland","PROFESSIONAL","PTS","Library"
"M","Black or African American","Oakland","PROTECT/SERVCS","FTE","OPD "
"M","Black or African American","San Leandro","TECHNICIANS","FTE","OPD "
"F","American Indian or Alaska Native","Emeryville","PARA-PROF","PTS","Library"
"F","Black or African American","Richmond","PARA-PROF","PTS","OPR"
"F","Black or African American","San Jose","PROTECT/SERVCS","FTE","OPD "
"F","Asian","Alameda","ADMIN SUPPORT","FTE","City Attorney"
