"the_geom","block_face","globalidte","globalid","globalid_1","ns_ew","street_1","from_sor_1","to_nore_1","side_1","location_i","total_sp_1","spaces_by_","space_reg","order_","metered","limits","reg_code","definition","enforce_be","enforce_en","enforce_da","meter_rate","permit_typ","notes","feet","enforcebeg","enforceend","parkingt"
"MULTILINESTRING ((-122.26354101345207 37.79782234628994, -122.26457291091388 37.798223476808374))","129801","{8095CCF0-C661-47C7-A61C-F9B6FFEBD2D6}","{2C23373D-B449-4F15-ACE3-1393F011DADB}","{2C23373D-B449-4F15-ACE3-1393F011DADB}_","E-W","10th","OAK","FALLON","South","10th from OAK to FALLON , South","12.0","12.0","Unmarked","0.0",,,,,,,,,,,"332.002999574","","",
"MULTILINESTRING ((-122.26449466316106 37.798345957078794, -122.26380319215761 37.79807716319392))","129875","{6EE5047C-D545-4B69-9515-EEF8E6426B0E}","{1D060CE0-DB17-446C-BD7F-5550D5832855}","{1D060CE0-DB17-446C-BD7F-5550D5832855}_2","E-W","10th","FALLON","OAK","North","10th from FALLON to OAK , North","11.0","7.0","Meter","2.0","Y","2-hr",,,"1899-12-30T00:00:00.000","1899-12-30T00:00:00.000","Mon - Sat","$2.00 per hour",,,"222.473262508","8:00 AM","6:00 PM",
"MULTILINESTRING ((-122.26497633622314 37.79837706582847, -122.26541322826832 37.79854944139748))","130049","{9D3E8092-0944-4D90-B73C-7A1D4BB7CE31}","{8F74FEB9-F32E-4CC5-BA9B-C232CFF24C4C}","{8F74FEB9-F32E-4CC5-BA9B-C232CFF24C4C}_3","E-W","10th","MADISON","OAK","South","10th from MADISON to OAK , South","11.0","3.0","Yellow Curb","3.0",,,,,,,,,,,"140.974782262","","",
"MULTILINESTRING ((-122.265669062173 37.79879992021381, -122.26518487000264 37.7986196178714))","130128","{CEA36760-FD8C-4CA1-9CDD-7EAE669E9BA1}","{C9A97CE9-E84D-4957-9B97-DC33127B5CA1}","{C9A97CE9-E84D-4957-9B97-DC33127B5CA1}_3","E-W","10th","OAK","MADISON","North","10th from OAK to MADISON , North","8.0","6.0","No Meter","3.0",,"2-hr",,,"1899-12-30T00:00:00.000","1899-12-30T00:00:00.000","Mon - Fri",,,,"154.536237043","8:00 AM","6:00 PM",
"MULTILINESTRING ((-122.26606657958604 37.798802228704815, -122.26634641525342 37.798911998554644))","130336","{2CD64E61-259E-4691-A282-735BCC742D35}","{52AB879F-A832-4845-BA6B-C220767CBDC4}","{52AB879F-A832-4845-BA6B-C220767CBDC4}_4","E-W","10th","JACKSON","MADISON","South","10th from JACKSON to MADISON , South","12.0","5.0","Unmarked","4.0",,,,,,,,,,,"90.1926182216","","",
"MULTILINESTRING ((-122.26636673334855 37.79907473000915, -122.26582441053003 37.79886040180959))","130401","{58629A7A-E857-42D3-AB96-CAE3EDC718A0}","{40B3FC46-F0EA-43CA-B68F-4DA14719B348}","{40B3FC46-F0EA-43CA-B68F-4DA14719B348}_1","E-W","10th","MADISON","JACKSON","North","10th from MADISON to JACKSON , North","11.0","6.0","Unmarked","1.0",,,,,,,,,,,"175.051446742","","",
"MULTILINESTRING ((-122.26261179163059 37.79918056580967, -122.26368037359367 37.79959002711775))","130538","{9902DECF-40DD-48D2-AB64-F62BFEB9A438}","{C7CD37DB-9CBD-423C-A236-693CF2C9AA56}","{C7CD37DB-9CBD-423C-A236-693CF2C9AA56}_","E-W","12th","OAK","FALLON","South","12th from OAK to FALLON , South","0.0","0.0","No Parking","0.0",,,,,,,,,,,"342.856406956","","",
"MULTILINESTRING ((-122.2672398175482 37.79926385942285, -122.26776155358333 37.79947217640594))","130551","{3974CDE7-922D-4A04-BD36-4098B221F7F3}","{05D10A5B-C3EE-4A6B-8675-0C1EA35C9E96}","{05D10A5B-C3EE-4A6B-8675-0C1EA35C9E96}_3","E-W","10th","ALICE","JACKSON","South","10th from ALICE to JACKSON , South","9.0","7.0","Meter","3.0","Y","2-hr",,,"1899-12-30T00:00:00.000","1899-12-30T00:00:00.000","Mon - Sat","$2.00 per hour",,,"168.752045155","8:00 AM","6:00 PM",
"MULTILINESTRING ((-122.26360454590221 37.79971344846132, -122.26294011531493 37.79945885291677))","130609","{A1067486-5AB3-4CE0-B400-5B127B80AABD}","{87145F5A-E2A7-423A-8932-1CC8CB1826C7}","{87145F5A-E2A7-423A-8932-1CC8CB1826C7}_2","E-W","12th","FALLON","OAK","North","12th from FALLON to OAK , North","9.0","9.0","Official Cars Only","2.0",,"3-hr",,,,,,,,,"213.182902154","","",
"MULTILINESTRING ((-122.26797492627136 37.79970996339671, -122.26699075794211 37.799318358750746))","130629","{450F4CA2-4EB9-4B9D-88FD-28AA12001F9F}","{38652AF7-70F2-4472-B6A9-CF549C0CCFFD}","{38652AF7-70F2-4472-B6A9-CF549C0CCFFD}_","E-W","10th","JACKSON","ALICE","North","10th from JACKSON to ALICE , North","10.0","10.0","Meter","0.0","Y","2-hr",,,"1899-12-30T00:00:00.000","1899-12-30T00:00:00.000","Mon - Sat","$2.00 per hour",,,"318.101420832","8:00 AM","6:00 PM",
"MULTILINESTRING ((-122.26581475996068 37.79957597047917, -122.26622887159684 37.79974119284169))","130668","{62D0D9D4-F2B0-4E03-B498-DAEBAF39F85A}","{A9B1D13A-EAF4-4ADC-9D0A-8F125D98D8DA}","{A9B1D13A-EAF4-4ADC-9D0A-8F125D98D8DA}_2","E-W","11th","JACKSON","MADISON","South","11th from JACKSON to MADISON , South","6.0","4.0","No Meter","2.0",,"2-hr",,,"1899-12-30T00:00:00.000","1899-12-30T00:00:00.000","Mon - Fri",,,,"133.921153992","8:00 AM","6:00 PM",
"MULTILINESTRING ((-122.26629577632256 37.7999207761783, -122.26612163251485 37.799851705333715))","130724","{FAD24DBD-05B8-4704-85AF-4AF5C99893C5}","{045405A1-901B-4456-836A-8D77F762A35C}","{045405A1-901B-4456-836A-8D77F762A35C}_5","E-W","11th","MADISON","JACKSON","North","11th from MADISON to JACKSON , North","12.0","2.0","Meter","5.0","Y","2-hr",,,"1899-12-30T00:00:00.000","1899-12-30T00:00:00.000","Mon - Sat","$2.00 per hour",,,"56.2501379268","8:00 AM","6:00 PM",
