"data_year","race","rate_per_100_000"
"2009-2011","Black","62.5"
"2009-2011","All","13"
"2009-2011","Hispanic","13.9"
"2010-2012","Hispanic","14.8"
"2010-2012","Black","62.6"
"2010-2012","All","13.2"
"2011-2013","Hispanic","14.4"
"2011-2013","Black","57.4"
"2011-2013","All","12.3"
"2012-2014","Hispanic","11.9"
"2012-2014","Black","53.3"
"2012-2014","All","11.1"
"2013-2015","Hispanic",
"2013-2015","All","10"
"2013-2015","Black","54.1"
"2014-2016","Hispanic",
"2014-2016","All","10.3"
"2014-2016","Black","56.8"
"2015-2017","Hispanic",
"2015-2017","All","10.2"
"2015-2017","Black","58.6"
"2016-2018","Hispanic","10.8"
"2016-2018","Black","47.2"
"2016-2018","All","9.3"
"2017-2019","All",
"2017-2019","Black",
"2017-2019","Hispanic",
"2018-2020","Black",
"2018-2020","All",
"2018-2020","Hispanic",
"2019-2021","Black",
"2019-2021","Hispanic",
"2019-2021","All",
"Target","All","9.3"
"Target","Black","51.1"
"Target","Hispanic","10.7"
