"year","race","mortality"
"2010","Black","11.4"
"2010","Asian","3.6"
"2010","All","4.8"
"2010","White","2.6"
"2010","Hispanic","4.3"
"2011","White","3.1"
"2011","Black","10.8"
"2011","Hispanic","4.4"
"2011","Asian","3.8"
"2011","All","5"
"2012","All","4.4"
"2012","White","3"
"2012","Black","8.7"
"2012","Hispanic","4.2"
"2012","Asian","3.2"
"2013","All","4.5"
"2013","White","2.6"
"2013","Black","10.6"
"2013","Hispanic","4"
"2013","Asian","3"
"2014","White","2.6"
"2014","Black","8.7"
"2014","Hispanic","4.7"
"2014","Asian","1.9"
"2014","All","4.4"
"2015","White","3"
"2015","Black","9.7"
"2015","Asian","2"
"2015","Hispanic","4.6"
"2015","All","4.8"
"2016","Black","10"
"2016","Asian","2.6"
"2016","White","2.2"
"2016","All","4.1"
"2016","Hispanic","3.7"
"2017","All","4.5"
"2017","White","2.7"
"2017","Black","9.4"
"2017","Hispanic","4.8"
"2017","Asian","3.2"
"2018","All","3.9"
"2018","White","2.3"
"2018","Black","8.8"
"2018","Hispanic","4.2"
"2018","Asian","1.9"
"2019","All",
"2019","White",
"2019","Black",
"2019","Hispanic",
"2019","Asian",
"2020","White",
"2020","Black",
"2020","Hispanic",
"2020","Asian",
"2020","All",
"Target","White","1.9"
"Target","Black","6"
"Target","All","3.7"
"Target","Hispanic","3.3"
"Target","Asian","1.8"
