"year","race","rate_per_100_000"
"2010","All","614"
"2010","White","335"
"2010","Black","1870"
"2010","Hispanic","726"
"2010","Asian","72"
"2011","All","608"
"2011","White","331"
"2011","Black","1816"
"2011","Hispanic","716"
"2011","Asian","87"
"2012","All","670"
"2012","White","368"
"2012","Black","2037"
"2012","Hispanic","724"
"2012","Asian","90"
"2013","All","626"
"2013","White","332"
"2013","Black","1945"
"2013","Hispanic","662"
"2013","Asian","82"
"2014","All","637"
"2014","White","347"
"2014","Hispanic","653"
"2014","Black","1961"
"2014","Asian","85"
"2015","Hispanic","686"
"2015","Black","1972"
"2015","All","633"
"2015","Asian","80"
"2015","White","323"
"2016","All","554"
"2016","White","300"
"2016","Black","1779"
"2016","Hispanic","633"
"2016","Asian","67"
"2017","All","570"
"2017","White","276"
"2017","Black","1735"
"2017","Hispanic","616"
"2017","Asian","64"
"2018","All","311"
"2018","White","263"
"2018","Black","1729"
"2018","Hispanic","644"
"2018","Asian","76"
"2019","All",
"2019","White",
"2019","Black",
"2019","Hispanic",
"2019","Asian",
"2020","Hispanic",
"2020","Asian",
"2020","White",
"2020","Black",
"2020","All",
"Target","All","501"
"Target","White","291"
"Target","Black","1215"
"Target","Hispanic","551"
"Target","Asian","72"
