"year","race","rate_per_100_000"
"2009-2011","Asian","14.1"
"2009-2011","Black","12.3"
"2009-2011","All","25.1"
"2010-2012","Black","12.8"
"2010-2012","Hispanic","17.1"
"2010-2012","All","27"
"2010-2012","White","30.1"
"2010-2012","Asian","17.8"
"2011-2013","Hispanic","13.9"
"2011-2013","White","31.6"
"2011-2013","Black","13.3"
"2011-2013","All","27.6"
"2011-2013","Asian","16.3"
"2012-2014","Hispanic","16"
"2012-2014","Asian","13.7"
"2012-2014","Black","13.6"
"2012-2014","White","34.7"
"2012-2014","All","29.8"
"2013-2015","Hispanic","14.8"
"2013-2015","All","29.6"
"2013-2015","Black","15.5"
"2013-2015","Asian","13.8"
"2013-2015","White","34.6"
"2014-2016","All","30.1"
"2014-2016","White","35"
"2014-2016","Black","14.3"
"2014-2016","Hispanic","17.6"
"2014-2016","Asian","14.8"
"2015-2017","All","29.7"
"2015-2017","Black","14.6"
"2015-2017","Hispanic","17.6"
"2015-2017","Asian","18.1"
"2015-2017","White","34.2"
"2016-2018","Hispanic","19.4"
"2016-2018","Asian","15.2"
"2016-2018","Black","14.4"
"2016-2018","White","34.6"
"2016-2018","All","30"
"2017-2019","Asian",
"2017-2019","White",
"2017-2019","Black",
"2017-2019","All",
"2017-2019","Hispanic",
"2018-2020","White",
"2018-2020","All",
"2018-2020","Hispanic",
"2018-2020","Asian",
"2018-2020","Black",
"2019-2021","Hispanic",
"2019-2021","White",
"2019-2021","Black",
"2019-2021","Asian",
"2019-2021","All",
"Target","Black","12.8"
"Target","Asian","13.9"
"Target","Hispanic","12.4"
"Target","All","25.5"
"Target","White","29.1"
