"year","race","rate_per_100_000"
"2009-2011","Hispanic","3.6"
"2009-2011","Black","12.4"
"2009-2011","All","4.7"
"2009-2011","Asian","3.5"
"2010-2012","Hispanic","3.6"
"2010-2012","White","3.7"
"2010-2012","Asian","2.9"
"2010-2012","All","4.6"
"2010-2012","Black","12.4"
"2011-2013","All","4.6"
"2011-2013","White","3.8"
"2011-2013","Black","11.6"
"2011-2013","Hispanic","3.8"
"2011-2013","Asian","2.7"
"2012-2014","All","4.6"
"2012-2014","Asian","2.8"
"2012-2014","Black","11"
"2012-2014","White","4"
"2012-2014","Hispanic","3.6"
"2013-2015","Asian","2.6"
"2013-2015","White","4.4"
"2013-2015","Hispanic","3.9"
"2013-2015","All","4.4"
"2013-2015","Black","11.4"
"2014-2016","All","5.4"
"2014-2016","White","4.7"
"2014-2016","Black","12.1"
"2014-2016","Hispanic","4.2"
"2014-2016","Asian","3.1"
"2015-2017","All","5.8"
"2015-2017","Black","13"
"2015-2017","Hispanic","4.4"
"2015-2017","Asian","3.4"
"2015-2017","White","5"
"2016-2018","Hispanic","5.3"
"2016-2018","Asian","4.1"
"2016-2018","Black","13.8"
"2016-2018","White","5.2"
"2016-2018","All","6.1"
"2017-2019","Asian",
"2017-2019","White",
"2017-2019","Black",
"2017-2019","All",
"2017-2019","Hispanic",
"2018-2020","White",
"2018-2020","All",
"2018-2020","Hispanic",
"2018-2020","Asian",
"2018-2020","Black",
"2019-2021","Hispanic",
"2019-2021","White",
"2019-2021","Black",
"2019-2021","Asian",
"2019-2021","All",
"Target","Black","10.9"
"Target","White","3.2"
"Target","All","4"
"Target","Hispanic","3.6"
"Target","Asian","2"
