"data_year","race","rate_per_100_000"
"2010","All","738"
"2010","White","857"
"2010","Black","230"
"2010","Hispanic","341"
"2010","Asian","296"
"2011","All","737"
"2011","White","864"
"2011","Black","256"
"2011","Hispanic","323"
"2011","Asian","225"
"2012","All","716"
"2012","White","848"
"2012","Black","244"
"2012","Hispanic","280"
"2012","Asian","205"
"2013","All","679"
"2013","White","806"
"2013","Black","211"
"2013","Hispanic","274"
"2013","Asian","236"
"2014","All","704"
"2014","White","832"
"2014","Black","258"
"2014","Hispanic","292"
"2014","Asian","240"
"2015","White","795"
"2015","Black","229"
"2015","Asian","217"
"2015","Hispanic","293"
"2015","All","668"
"2016","All","647"
"2016","White","798"
"2016","Black","232"
"2016","Hispanic","324"
"2016","Asian","212"
"2017","All","600"
"2017","White","746"
"2017","Black","221"
"2017","Hispanic","271"
"2017","Asian","228"
"2018","All","588"
"2018","White","717"
"2018","Black","220"
"2018","Hispanic","366"
"2018","Asian","232"
"2019","All",
"2019","White",
"2019","Black",
"2019","Hispanic",
"2019","Asian",
"2020","All",
"2020","Asian",
"2020","White",
"2020","Hispanic",
"2020","Black",
"Target","Hispanic","263.7"
"Target","Black","217.7"
"Target","White","787.8"
"Target","All","601.2"
"Target","Asian","195.3"
