"data_year","race","percent"
"2011","Asian",
"2013","Asian",
"2014","Asian",
"2015","Asian",
"2016","Asian",
"2017","All",
"2017","White",
"2017","Black",
"2017","Hispanic",
"2017","Asian",
"2018","All",
"2018","White",
"2018","Black",
"2018","Hispanic",
"2018","Asian",
"2019","All",
"2019","White",
"2019","Black",
"2019","Hispanic",
"2019","Asian",
"Target","Hispanic","34.4"
"2020","All",
"Target","All","30.3"
"2020","White",
"Target","White","28.7"
"2020","Black",
"Target","Black","38.9"
"2020","Hispanic",
"2020","Asian",
"Target","Asian",
"2011","All","35.8"
"2011","White","34.7"
"2011","Black","42.1"
"2011","Hispanic","42.5"
"2012","All","35.4"
"2012","White","33.6"
"2012","Black","43.7"
"2012","Hispanic","42.6"
"2012","Asian","31"
"2013","All","34.3"
"2013","White","34.6"
"2013","Black","37.9"
"2013","Hispanic","38.3"
"2014","All","30.1"
"2014","White","27.2"
"2014","Black","42.6"
"2014","Hispanic","39.8"
"2015","All","34.2"
"2015","White","33.9"
"2015","Black","39.2"
"2015","Hispanic","34.9"
"2016","All","38.2"
"2016","White","35.7"
"2016","Black","40.7"
"2016","Hispanic","49.5"
