"data_year","race","rate_per_100_000"
"2010","All","14.3"
"2010","White","15.4"
"2010","Black","11.1"
"2010","Hispanic","14.6"
"2010","Asian",
"2012","All","9.3"
"2012","White","9.8"
"2012","Black","5.2"
"2012","Hispanic","12.5"
"2012","Asian",
"2014","All","8.2"
"2014","White","10"
"2014","Black","4"
"2014","Hispanic","8.5"
"2014","Asian",
"2016","All","4.7"
"2016","White","5.3"
"2016","Black","2.4"
"2016","Hispanic","5.3"
"2016","Asian",
"2018","All","2.9"
"2018","White","2.4"
"2018","Black","2.6"
"2018","Hispanic","4.6"
"2018","Asian",
"2020","All",
"2020","White",
"2020","Black",
"2020","Hispanic",
"2020","Asian",
"Target","Asian",
"Target","Hispanic","7.7"
"Target","All","7.4"
"Target","White","9"
"Target","Black","3.6"
