"year","race","percent"
"2010","All","55"
"2010","White","57"
"2010","Black","56"
"2010","Hispanic","51"
"2010","Asian",
"2011","All","53"
"2011","White","54"
"2011","Black","54"
"2011","Hispanic","51"
"2011","Asian",
"2012","White","56"
"2012","Black","54"
"2012","Hispanic","52"
"2012","Asian",
"2012","All","54"
"2013","All","57"
"2013","White","58"
"2013","Black","57"
"2013","Hispanic","55"
"2013","Asian",
"2014","All","58"
"2014","White","60"
"2014","Black","59"
"2014","Hispanic","56"
"2014","Asian",
"2015","All","59"
"2015","White","61"
"2015","Black","59"
"2015","Hispanic","58"
"2015","Asian",
"2016","Asian",
"2016","White","62"
"2016","All","60"
"2016","Black","59"
"2016","Hispanic","59"
"2017","All","60"
"2017","White","62"
"2017","Black","59"
"2017","Hispanic","59"
"2017","Asian",
"2018","All","60"
"2018","White","62"
"2018","Black","59"
"2018","Hispanic","60"
"2018","Asian",
"2019","All","60"
"2019","White","62"
"2019","Black","60"
"2019","Hispanic","60"
"2019","Asian",
"2020","White",
"2020","Black",
"2020","Hispanic",
"2020","Asian",
"2020","All",
"Target","All","65"
"Target","Black","67"
"Target","White","67"
"Target","Hispanic","60"
"Target","Asian",
