"data_year","race","percent"
"2010","All","48.1"
"2010","White","52.1"
"2010","Black","46.4"
"2010","Hispanic","43"
"2010","Asian","30.9"
"2012","All","28.3"
"2012","White","30.6"
"2012","Black","29.2"
"2012","Hispanic","30.4"
"2012","Asian",
"2014","All","56.1"
"2014","White","60"
"2014","Black","47.5"
"2014","Hispanic","54.9"
"2014","Asian","49.8"
"2016","All","49"
"2016","White","51"
"2016","Black","46"
"2016","Hispanic","47"
"2016","Asian","45"
"2018","All","51"
"2018","White","53"
"2018","Black","43"
"2018","Hispanic","53"
"2018","Asian","48"
"2020","All",
"2020","White",
"2020","Black",
"2020","Hispanic",
"2020","Asian",
"Target","All","43.3"
"Target","White","46.9"
"Target","Black","41.8"
"Target","Hispanic","38.7"
"Target","Asian","27.9"
