"year","race","high_school_soda_consumption"
"2009","Asian",
"2009","Hispanic",
"2009","White",
"2009","Black",
"2009","All",
"2011","All","18.5"
"2011","White","18.1"
"2011","Black","20.1"
"2011","Hispanic","20.6"
"2011","Asian","11.8"
"2013","All","12.2"
"2013","White","10.4"
"2013","Black","13.7"
"2013","Hispanic","19.4"
"2013","Asian","4.7"
"2015","All",
"2015","White",
"2015","Black",
"2015","Hispanic",
"2015","Asian",
"2017","All",
"2017","White",
"2017","Black",
"2017","Hispanic",
"2017","Asian",
"2019","All","9.9"
"2019","White","9"
"2019","Black","16.5"
"2019","Hispanic","9.5"
"2019","Asian","3.4"
"2020","All",
"2020","White",
"2020","Black",
"2020","Hispanic",
"2020","Asian",
"Target","All","11"
"Target","White","9.4"
"Target","Black","12.3"
"Target","Hispanic","17.5"
"Target","Asian","4.2"
