"data_year","race","percent"
"2010","Asian","75"
"2010","Black","48.8"
"2010","White","76.099999999999994"
"2010","Hispanic","60.7"
"2010","All","67.400000000000006"
"2011","White","81.599999999999994"
"2011","All","68.900000000000006"
"2011","Black","46.6"
"2011","Asian","78.8"
"2011","Hispanic","56.2"
"2012","Black","49.9"
"2012","Asian","76.7"
"2012","White","80"
"2012","Hispanic","63.5"
"2012","All","70.099999999999994"
"2013","All","69.5"
"2013","White","76.8"
"2013","Hispanic","59.1"
"2013","Black","54.9"
"2013","Asian","81.8"
"2014","Black","53.9"
"2014","Asian","81.599999999999994"
"2014","All","70.8"
"2014","White","78.900000000000006"
"2014","Hispanic","61.3"
"2015","Black",
"2015","All",
"2015","White",
"2015","Hispanic",
"2015","Asian",
"2016","Hispanic",
"2016","Black",
"2016","All",
"2016","White",
"2016","Asian",
"2017","White",
"2017","Asian",
"2017","Hispanic",
"2017","All",
"2017","Black",
"2018","Asian",
"2018","All",
"2018","White",
"2018","Hispanic",
"2018","Black",
"2019","White",
"2019","Black",
"2019","Hispanic",
"2019","All",
"2019","Asian",
"2020","All",
"2020","White",
"2020","Hispanic",
"2020","Asian",
"2020","Black",
"Target","Hispanic","66.8"
"Target","All","74.099999999999994"
"Target","Asian","82.5"
"Target","White","83.7"
"Target","Black","53.7"
