"data_year","race","rate_per_100_000"
"2011-2013","White","2"
"2011-2013","Black","62.8"
"2011-2013","All","12.7"
"2011-2013","Hispanic","9"
"2012-2014","White","1.4"
"2012-2014","Hispanic","9.4"
"2012-2014","Asian",
"2012-2014","All","11.9"
"2012-2014","Black","58.7"
"2013-2015","Asian",
"2013-2015","All","11.7"
"2013-2015","White","1.4"
"2013-2015","Black","57.6"
"2013-2015","Hispanic","8.6"
"2014-2016","Asian",
"2014-2016","White","1.2"
"2014-2016","All","11.4"
"2014-2016","Black","58"
"2014-2016","Hispanic","7.7"
"2015-2017","All","11.3"
"2015-2017","White","1.2"
"2015-2017","Black","57.6"
"2015-2017","Hispanic","7.6"
"2015-2017","Asian",
"2016-2018","All","10.4"
"2016-2018","White","1.4"
"2016-2018","Black","52.3"
"2016-2018","Hispanic","6.7"
"2016-2018","Asian",
"2017-2019","All",
"2017-2019","White",
"2017-2019","Black",
"2017-2019","Hispanic",
"2017-2019","Asian",
"2018-2020","All",
"2018-2020","White",
"2018-2020","Black",
"2018-2020","Hispanic",
"2018-2020","Asian",
"2019-2021","All",
"2019-2021","White",
"2019-2021","Black",
"2019-2021","Hispanic",
"2019-2021","Asian",
"Target","Asian",
"Target","Hispanic","6.9"
"Target","All","10.3"
"Target","White","1.1"
"Target","Black","52.2"
