"year","race","percent"
"2010","All","26.7"
"2010","White","29.9"
"2010","Black","24.9"
"2010","Hispanic","29.3"
"2011","All","25.9"
"2011","White","26.8"
"2011","Black","25.5"
"2011","Hispanic","25.1"
"2012","All","24.7"
"2012","White","27.6"
"2012","Black","24"
"2012","Hispanic","24.1"
"2013","All","24.8"
"2013","White","20.6"
"2013","Black","23.7"
"2013","Hispanic","29.5"
"2014","All","23.5"
"2014","White","21"
"2014","Black","22.8"
"2014","Hispanic","24.8"
"2015","All","25"
"2015","White","22"
"2015","Black","23.6"
"2015","Hispanic","28"
"2016","All","20.8"
"2016","White","18.1"
"2016","Black","19.2"
"2016","Hispanic","23.7"
"2017","All","18.8"
"2017","White","17.3"
"2017","Black","19.2"
"2017","Hispanic","18.6"
"2018","All","19.6"
"2018","White","18.7"
"2018","Black","14.8"
"2018","Hispanic","24.2"
"2019","All",
"2019","White",
"2019","Black",
"2019","Hispanic",
"2020","All",
"2020","White",
"2020","Black",
"2020","Hispanic",
"Target","All","21.3"
"Target","White","18.3"
"Target","Black","21.3"
"Target","Hispanic","24"
