"year","race","heartdisease"
"2010","Black","151.5"
"2010","White","129.2"
"2010","All","126.2"
"2010","Asian","66.8"
"2010","Hispanic","84.9"
"2011","Black","145.4"
"2011","Hispanic","77.2"
"2011","Asian","49.3"
"2011","White","123.9"
"2011","All","120.2"
"2012","Black","138.9"
"2012","White","121.1"
"2012","Hispanic","70.4"
"2012","Asian","57.2"
"2012","All","116.4"
"2013","Hispanic","72.7"
"2013","Asian","58.4"
"2013","White","118.3"
"2013","Black","129.5"
"2013","All","113.4"
"2014","Black","126.6"
"2014","All","107.8"
"2014","White","112.3"
"2014","Asian","50.3"
"2014","Hispanic","68.1"
"2015","All","104.3"
"2015","Black","117.5"
"2015","White","110"
"2015","Asian","43.4"
"2015","Hispanic","66.6"
"2016","Black","112.6"
"2016","White","106.7"
"2016","All","100.6"
"2016","Asian","47.9"
"2016","Hispanic","63.5"
"2017","All","99.7"
"2017","White","105.2"
"2017","Black","114"
"2017","Hispanic","65.6"
"2017","Asian","44.3"
"2018","All","97.5"
"2018","Asian","50"
"2018","Hispanic","65.3"
"2018","Black","113.7"
"2018","White","102.1"
"2019","All",
"2019","Asian",
"2019","Hispanic",
"2019","Black",
"2019","White",
"2020","Hispanic",
"2020","White",
"2020","All",
"2020","Black",
"2020","Asian",
"Target","Asian","39.1"
"Target","Hispanic","59.9"
"Target","All","93.9"
"Target","White","99"
"Target","Black","105.8"
