"year","race","cholesterolchecks"
"2011","White","81.3"
"2011","Black","80.4"
"2011","Hispanic","68.7"
"2011","Asian","81"
"2011","All","78.8"
"2013","All","79"
"2013","White","84.2"
"2013","Black","76.9"
"2013","Hispanic","67.5"
"2013","Asian","80.5"
"2015","All","81.5"
"2015","White","83"
"2015","Black","84.8"
"2015","Hispanic","74.3"
"2015","Asian","83.3"
"2017","All","90"
"2017","White","88.4"
"2017","Black","91.3"
"2017","Hispanic","90.7"
"2017","Asian","93"
"2019","All",
"2019","White",
"2019","Black",
"2019","Hispanic",
"2019","Asian",
"2021","All",
"2021","White",
"2021","Black",
"2021","Hispanic",
"2021","Asian",
"Target","Black","88.4"
"Target","Hispanic","75.6"
"Target","Asian","89.1"
"Target","White","89.4"
"Target","All","86.7"
