"permit_number","permit_issue_date","permit_type","property_location_and_lrsn","description","total_permit_fees","value_of_new_construction","lat_ycoord"
"B16-00074","2017-05-10T00:00:00.000","Building - Residential","818 N 1ST ST : 12007577","CONSTRUCT NEW SFD","1095.62","320000","(37.055196, -76.283804)"
"B16-00428","2017-03-06T00:00:00.000","Building - Residential","37 CHANNEL LN : 12007725","CONSTRUCT NEW SFD// MOD-CHANGES TO 2ND STORY. REMO","743.96","250000","(37.05436, -76.285501)"
"B16-00618","2017-03-17T00:00:00.000","Building - Residential","7 E OAKVILLE RD : 13001134","NEW SFD// MOD 3/14/17 ROOF TRUSS DETAILS","2011.05","400000","(37.065543, -76.34305)"
"B16-00667","2017-05-23T00:00:00.000","Building - Residential","734 B N 1ST ST : 13004051","NEW SINGLE FAMILY HOME.","4728.88","350000","(37.049616, -76.287585)"
"B16-00764","2017-01-10T00:00:00.000","Building - Residential","20 MYRTLE ST : 13004328","NEW CONSTRUCTION OF SFD","1047.53","80000","(37.034196, -76.334552)"
"B16-00909","2017-05-02T00:00:00.000","Building - Residential","17 LIGHTHOUSE DR : 10000954","NEW SFD PER PLANS// NEW DETACHED GARAGE// MOD 4/20","1462.10","80000","(37.078123, -76.27594)"
"B16-00944","2017-03-17T00:00:00.000","Building - Residential","525 VAUGHAN AVE : 1004054","CONSTRUCT NEW SFD// MODEL 1522 ROOM ABOVE GARAGE//","367.14","70000","(37.002562, -76.396163)"
"B16-01022","2017-05-08T00:00:00.000","Building - Residential","1811 LOTZ RD : 13004250","NEW SFD PER PLANS// SAVOY MODEL// ELEVATION ""A""//M","399.93","165450","(37.047846, -76.40739)"
"B16-01101","2017-04-04T00:00:00.000","Building - Residential","430 HIGHLAND AVE : 13004529","CONSTRUCTION OF A NEW SINGLE FAMILY HOME.","312.06","65000","(37.015413, -76.365062)"
"B16-01104","2017-06-01T00:00:00.000","Building - Residential","9 MARY ANN DR : 13004023","BUILD NEW SFD// PALERMO MODEL// ELEVATION C// MORN","490.05","230565","(37.044041, -76.449045)"
"B16-01125","2017-01-26T00:00:00.000","Building - Residential","107 DOOLEY ST : 13004496","CONSTRUCT NEW SFD// DECK PER DECK HANDOUT","279.75","90000","(37.027886, -76.357326)"
"B16-01126","2017-01-26T00:00:00.000","Building - Residential","125 DOOLEY ST : 13004497","CONSTRUCT NEW SFD// DECK PER DECK HANDOUT","279.75","90000","(37.028379, -76.357318)"
