"company_name","address","swam_type","swam_cert","expiration_date","designation","vendor","contact_name","email","contact_numbers","nigp_code_1","nigp_code_2","nigp_code_3","nigp_code_4","nigp_code_5","nigp_code_6","nigp_code_7","nigp_code_8","nigp_code_9","nigp_code_10","nigp_code_11","nigp_code_12"
"AFFORDABLE PRINTING & COPIES, INC.","1926 E. PEMBROKE AVENUE HAMPTON 23663","S","673044","6/20/2017",,"HCS","TAMMY WRIGHT","LOCALPRINTER4ME@GMAIL.COM","(P) (757)728-9770 / (F) (757)728-9771","96600 PRINTING SERVICES",,,,,,,,,,,
"Pompei, Inc. dba Pompei, Inc.","733 Bluecrab Road Newport News 23606","S","647893","6/3/2017",,"29285","Drew Forrest","dforrest@pompeiinc.com","(P) (757) 873-0819 / (F) (757) 873-8851","13580 CERAMIC TILE","91073 TERRAZZO, STONE, CERAMIC TILE","91483 TILE AND MARBLE WORK, ALL TYPES",,,,,,,,,
"Alesha Brown LLC","24 Tennis Lane, Hampton, VA 23663","WS","717199","2/4/2019","Micro-Business",,"Alesha Brown","aleshabrown@hotmail.com","(P)(757) 928-5279","96161 Public Speaking Services",,,,,,,,,,,
"FLO AND JACKS GENERAL SERVICES","2532 ROAN TRL VIRGINIA BEACH 23456","MS","678088","9/21/2019","Micro-Business","97219","CLARENCE JACKSON","FLOJACKS@COX.NET","(P) (757)641-1640 / (F) (757)471-6296","90954 REAL PROPERTY IMPROVEMENTS","91461 PAINTING","77062 ROOFING","91066 GUTTERS","91504 PAINTING MAINTENANCE REPAIRS","15079 STORM DOORS& WINDOWS","15095 WINDOWS","15026 DOORS","15027 DOORS","15055 GARAGE DOORS",,
"ENCOMPASS SUPPLY, LLC","1404 N Sycamore Street Arlington 22205","MS","704674","10/19/2019","Micro-Business","106422","Rudolph Burwell","rburwell@encompasssupply.net","(P) (703) 732-6341 / (F)","2800 ELECTRICAL SUPPLIES","28500 ELECTRICAL EQUIPMENT AND SUPPLIES (EXCEPT CABLE AND WIRE)","28506 BALLASTS, ALL KINDS","28510 CABLE ACESSORIES: CLAMPS, CLASPS, CLIPS, CLOSURES, REELS, SPLICES, WRAPPINGS, ETC.","28523 CONDUIT FITTINGS, STEEL: BOXES, BUSHINGS, CLAMPS, CONNECTORS, COVERS, LOCKNUTS, STRAPS, ETC.","28534 FUSES, FUSE BLOCKS AND HOLDERS, LINKS, ETC.","28550 LAMPS: FLOURESCENT, INCANDESCENT, MERCURY, VAPOR, QUARTZ, AND SODIUM VAPOR","28556 LIGHTING FIXTURES, OUTDOOR: FLOODLIGHTS, SPOTLIGHTS, YARD LIGHTS, AND ALL OTHER WEATHERPROOF FIXTURES (EXCEPT STREELIGHTS) (INCLUDING RECYCLED TYPES)","28592 WIRE AND CABLE MARKERS AND MARKER TIES","28595 WIRING DEVICES: ADAPTERS, CAPS, CONNECTORS, EXTENSIONS","Alternate Contact Information  PH: (757) 642-0736;  Email: rburwellsr@encompasssupply.net;",
"Absolute Bottled Water Co.","851 Seahawk Circle, Suite 107 Virginia Beach 23452","S","659039","9/5/2016","Micro-Business","39372","Ruth A. Miedema","absolutebottledwater@hotmail.com","(P) (757) 468-4426 / (F) (757) 468-0352","22500 COOLERS, DRINKING WATER",,,,,,,,,,,
"H. B. Hankins","11828 Canon Blvd. Newport News 23606","S","649156","9/24/2018",,,"Catie Ashe","catie@hbhankins.com","(P) 757-873-2196 / (F) 757-873-0943","913 Construction Services-Heavy Construction Curb and Gutter (includes maintenance,repair,removal)Construction Highway and Road, Construction Sewer, Storm Drain,Construction Street (major, residential including reconstruction) Construction Water System Main a","912 Construction Services, General  Excavation Services",,,,,,,,,,
"FROEHLING & ROBERTSON, INC.","3015 DUMBARTON ROAD RICHMOND 23228","MS","649650","1/22/2018",,"911","SAMUEL  S. PROCTOR","SPROCTOR@FANDR.COM","(P) (804)264-2701 / (F) (804)264-1202","92500 ENGINEERING SERVICES, PROFESSIONAL","90742 GEOTECHNICAL - SOILS","91843 ENVIRONMENTAL CONSULTING","92683 SITE ASSESSMENTS, ENVIRONMENTAL","96132 ENVIRONMENTAL IMPACT STUDIES","92678 REMEDIATION SERVICES, ENVIRONMENTAL","96148 LABORATORY & FIELD TESTING SERVICES","92542 FOUNDATION ENGINEERING","92523 DAM ENGINEERING","92600 ENVIRONMENTAL & ECOLOGICAL SERVICES",,
"AMERICAN OVERSEAS BOOK COMPANY, INC.","550 WALNUT STREET NORWOOD 7648","WS","685522","6/14/2016",,"HCS","ROBERT TIJERINA","RTIJERINA@AOBC.COM","(P) (201)767-7600 / (F) (201)784-0263","71510 BOOK WHOLESALE DISTRIBUTOR","71512 BOOKS, REFERENCE: DICTIONARIES, ENCYCLOPEDIAS, ETC.","71546 LEGAL BOOKS AND PUBLICATIONS","71548 MEDICAL BOOKS AND PUBLICATIONS","71582 RELIGIOUS PUBLICATIONS AND BOOKS","71585 TEXTBOOKS: KINDERGARTEN THRU 5TH GRADE (INCLUDES STUDENT AND TEACHER EDITIONS)","71586 TEXTBOOKS: 6TH THRU 8TH GRADE (INCLUDES STUDENT AND TEACHER EDITIONS)","71587 TEXTBOOKS: 9TH THRU 12TH GRADE (INCLUDES STUDENT AND TEACHER EDITIONS)","71588 TEXTBOOKS: COLLEGE LEVEL (INCLUDES STUDENT AND TEACHER EDITIONS)",,,
"AERO TRAINING CENTER & SERVICES dba ANGELA GOODLOE, EDD","220 Hankins Dr Hampton 23669","MS","708564","7/7/2017",,"104708","Angela Goodloe, EDD","arwgoodloe@verizon.net","(P) (757) 838-6570 / (F)","92400 EDUCATIONAL TRAINING SERVICES","91800 CONSULTING SERVICES",,,,,,,,,,
"MERIDIAN PRINTING AND PUBLISHING, INC.","1228 BALLENTINE BLVD NORFOLK 23504","WS","10106","5/12/2017","Micro-Business","99976","TERRI  LISKEY","TERRI@MERIDIANPRINT.COM","(P) (757)627-8712 / (F)  (757)627-2998","96600 PRINTING & RELATED SERVICES",,,,,,,,,,,
