"state","agency","division","combo","address","city","state_1","zip_code","phone","fax","email","business_hours","website","oa","point_of_contact","geo_ref1","office"
"Connecticut","FHWA","Connecticut Division","FHWAConnecticut Division","628 Hebron Avenue, Suite 303","Glastonbury","CT","6033","(860) 659-6703","(860) 659-6724","Connecticut.FHWA@dot.gov","7:00 AM - 4:00 PM EST","http://www.fhwa.dot.gov/ctdiv","Federal Highway Administration",,"POINT (-72.738288 41.575155)","FHWA"
"Connecticut","FMCSA","Connecticut Division","FMCSAConnecticut Division","450 Main Street, Suite 254","Hartford","CA","06103","(860) 659-6700","(860) 659-6725",,,,,,"POINT (-72.738288 41.575155)","FMCSA"
"Connecticut","MARAD","North-Atlantic Gateway","MARADNorth-Atlantic Gateway","One Bowling Green, Room 418","New York","NY","10004","(212)668-2064",,"jeffrey.flumignan@dot.gov","9:00am-5:00pm ET, M-F","https://www.maritime.dot.gov/about-us/gateway-offices/north-atlantic-gateway-office-new-york",,"Jeffrey Flumignan","POINT (-72.738288 41.575155)","MARAD"
"Connecticut","FTA","Region 1","FTARegion 1 Office","55 Broadway, Suite 920","Cambridge","MA","02142","617-494-2055","617-494-2865",,"8:30 a.m.-5 p.m. ET, M-F","https://www.transit.dot.gov/about/regional-offices/region-1/region-1",,,"POINT (-72.738288 41.575155)","FTA"
"Connecticut","NHTSA","Region 1","NHTSARegion 1","55 Broadway, Kendall Square","Cambridge","MA","02142","617-494-3427","617-494-3646","Region1@dot.gov",,,,,"POINT (-72.738288 41.575155)","NHTSA"
"Connecticut","PHMSA","Eastern Region","PHMSAEastern Region","840 Bear Tavern Rd., Suite. 300","West Trenton","NJ","8628","(609) 771-7890","609-771-7490",,,"https://www.phmsa.dot.gov/about-phmsa/offices/eastern-region",,,"POINT (-72.738288 41.575155)","PHMSA"
"Connecticut","FAA","New England Region","FAANew England Region","1200 District Ave","Burlington","MA","01803","781-238-7600","781-238-7608",,,"https://www.faa.gov/airports/new_england",,,"POINT (-72.738288 41.575155)","FAA"
"Maine","FHWA","Maine Division","FHWAMaine Division","40 Western Avenue, Room 614","Augusta","ME","04330","(207) 622-8350","(207) 626-9133","Maine.fhwa@dot.gov","7:30AM - 4:00 PM EST","http://www.fhwa.dot.gov/mediv/index.htm","Federal Highway Administration",,"POINT (-69.06137 45.117911)","FHWA"
"Maine","FMCSA","Maine Division","FMCSAMaine Division","40 Western Avenue, Room 411","Augusta","ME","04330","(207) 622-8358","(207) 622-8477",,,,,,"POINT (-69.06137 45.117911)","FMCSA"
"Maine","MARAD","North-Atlantic Gateway","MARADNorth-Atlantic Gateway","One Bowling Green, Room 418","New York","NY","10004","(212)668-2064",,"jeffrey.flumignan@dot.gov","9:00am-5:00pm ET, M-F","https://www.maritime.dot.gov/about-us/gateway-offices/north-atlantic-gateway-office-new-york",,"Jeffrey Flumignan","POINT (-69.06137 45.117911)","MARAD"
"Maine","FTA","Region 1","FTARegion 1 Office","55 Broadway, Suite 920","Cambridge","MA","02142","617-494-2055","617-494-2865",,"8:30 a.m.-5 p.m. ET, M-F","https://www.transit.dot.gov/about/regional-offices/region-1/region-1",,,"POINT (-69.06137 45.117911)","FTA"
"Maine","NHTSA","Region 1","NHTSARegion 1","55 Broadway, Kendall Square","Cambridge","MA","02142","617-494-3427","617-494-3646","Region1@dot.gov",,,,,"POINT (-69.06137 45.117911)","NHTSA"
"Maine","PHMSA","Eastern Region","PHMSAEastern Region","840 Bear Tavern Rd., Suite. 300","West Trenton","NJ","8628","(609) 771-7890","609-771-7490",,,"https://www.phmsa.dot.gov/about-phmsa/offices/eastern-region",,,"POINT (-69.06137 45.117911)","PHMSA"
"Maine","FAA","New England Region","FAANew England Region","1200 District Ave","Burlington","MA","01803","781-238-7600","781-238-7608",,,"https://www.faa.gov/airports/new_england",,,"POINT (-69.06137 45.117911)","FAA"
"Massachusetts","FHWA","Massachusetts Division","FHWAMassachusetts Division","55 Broadway 10th Floor","Cambridge","MA","02142","(617) 494-3657","(617) 494-3355","Massachusetts.FHWA@dot.gov","7:45 AM - 4:15 PM EST","https://www.fhwa.dot.gov/madiv","Federal Highway Administration",,"POINT (-71.481104 42.151077)","FHWA"
"Massachusetts","FMCSA","Massachusetts Division","FMCSAMassachusetts Division","50 Mall Road, Suite 212","Burlington","MA","01803","(781) 425-3210","(781) 425-3225",,,,,,"POINT (-71.481104 42.151077)","FMCSA"
