"last_name","first_name","position","location_1","state","room_","area","work_phone","division","section"
"Coghlan","Martin","Judge","16501 Kedzie Pkwy
,  ","IL","204Q","708","232-4170","Municipal","District 6"
"Johnson","Sharon","Judge","50 Washington St
,  ","IL","CL24","312","603-1260","Domestic Relation",
"Nixon","Lewis","Supervising Judge","50 Washington St
,  ","IL","2802","312","603-3900","Chancery","Mortgage Foreclosure/Mechanics` Lien"
"Suriano","Donald","Judge","50 Washington St
,  ","IL","2110","312","603-3386","Law","Jury"
"Edidin","Lauren","Judge","5600 Old Orchard Rd
,  ","IL","219","847","470-7200","Municipal","District 2"
"Flynn","Peter","Judge","50 Washington St
,  ","IL","2408","312","603-4158","Chancery",
"McWilliams","Clare","Judge","50 Washington St
,  ","IL","2104","312","603-3384","Law","Jury"
"Lubin","Stuart","Judge","1100 Hamilton Ave
,  ","IL","G030S","312","433-4757","Juvenile Justice",
"Riley","James","Supervising Judge","50 Washington St
,  ","IL","1802","312","603-6492","Probate",
"Scannicchio","Regina","Judge","50 Washington St
,  ","IL","400","312","603-2600","Municipal","District 1"
"Gillespie","Daniel","Judge","50 Washington St
,  ","IL","2005","312","603-6343","Law","Tax & Miscellaneous Remedy"
"Slattery Boyle","Maura","Judge","2600 California Ave
,  ","IL","307","773","674-7437","Criminal",
"Dickler","Grace","Presiding Judge","50 Washington St
,  ","IL","1901-A","312","603-6556","Domestic Relation",
"Portman","Jackie","Judge","2600 California Ave
,  ","IL","100","773","674-3072","Municipal","District 1"
"Levinson","Alfred","Judge",,"IL","108","847","818-2286","Municipal","District 3"
"Lopez","Mark","Judge","50 Washington St
,  ","IL","3005","312","603-4726","Domestic Relation",
"Sullivan","Daniel","Judge",,"IL","105","847","818-2298","Domestic Relation",
"Machnik","Thaddeus","Judge","5600 Old Orchard Rd
,  ","IL","219","847","470-7200","Municipal","District 2"
"Felice","Peter","Judge","10220 76th Ave
,  ","IL","209A","708","974-6541","Municipal","District 5"
"Collins-Dole","Ann","Judge","50 Washington St
,  ","IL","1809","312","603-5964","Probate",
"Sullivan","James","Judge","50 Washington St
,  ","IL","2106","312","603-3388","Law",
"Haddad","William","Judge","50 Washington St
,  ","IL","1606","312","603-4829","Law","Jury"
"Fernandez","Fe","Judge","50 Washington St
,  ","IL","3008","312","603-7503","Domestic Relation",
"Shelley","Diane","Judge","50 Washington St
,  ","IL","1505","312","603-4848","Municipal","District 1"
"Sacks","Stanley","Judge","2600 California Ave
,  ","IL","602","773","674-3181","Criminal",
"McGinnis","Sheila","Judge",,"IL","204A","708","974-6288","Municipal","District 5"
"Maddux","William","Presiding Judge","50 Washington St
,  ","IL","2005","312","603-6343","Law",
"Agran","Martin","Judge",,"IL","204","847","818-2287","Municipal","District 3"
"Dunford","Laurence","Acting Supervising","50 Washington St
,  ","IL","1501","312","603-4827","Municipal","District 1"
"Singer","Henry","Judge","5600 Old Orchard Rd
,  ","IL","219","847","470-7200","Municipal","District 2"
"Wojkowski","Gregory","Judge","50 Washington St
,  ","IL","2005","312","603-6343","Law","Jury"
"Iosco","Anthony","Judge",,"IL","102","847","818-2286","Municipal","District 3"
"Gallagher","Daniel","Judge","50 Washington St
,  ","IL","400","312","603-2600","Municipal","District 1"
"Linehan","Neil","Judge","10220 76th Ave
,  ","IL","105B","708","974-6542","Criminal","District 5"
"Neville","P. Scott","Judge","160 LaSalle St
,  ","IL","N1910","312","793-4484","Appellate",
"Porter","Dennis","Supervising","2600 California Ave
,  ","IL","606","773","674-3186","Criminal",
"Arce","Edward","Judge","16501 Kedzie Pkwy
,  ","IL","102","708","232-4225","Domestic Relation",
"Gavin","James","Judge","1500 Maybrook Dr
,  ","IL","140","708","865-6060","Municipal","District 4"
"McDunn","Susan","Judge","50 Washington St
,  ","IL","2103","312","603-4183","Law",
