"link","report_date","fiscal_year"
"Planning and Development Interim Report (http://opendocs.cookcountyil.gov/auditor/reports/Planning_and_Development_Interim_Report.pdf)","2021-12-15T00:00:00.000","2022-01-01T00:00:00.000"
"Fiscal Year 2022 Audit Plan (http://opendocs.cookcountyil.gov/auditor/reports/Fiscal_Year_2022_Audit_Schedule.pdf)","2021-09-23T00:00:00.000","2022-01-01T00:00:00.000"
"Elliott Data System (http://opendocs.cookcountyil.gov/auditor/reports/DEMRS_Elliot_Data_System_2021-06-10.pdf)","2021-06-10T00:00:00.000","2021-01-01T00:00:00.000"
"Grant Management Process (http://opendocs.cookcountyil.gov/auditor/reports/Grant_Management_Process_Audit_Report.pdf)","2021-03-31T00:00:00.000","2021-01-01T00:00:00.000"
"FDP Workers Comp Audit Report (http://opendocs.cookcountyil.gov/auditor/reports/Workers_Comp_Audit_Report_-_Final.pdf)","2021-03-25T00:00:00.000","2021-01-01T00:00:00.000"
"B & Z Inspection and Permit Process (http://opendocs.cookcountyil.gov/auditor/reports/Building_and_Zone_Inspection_and_Permit_Process.pdf)","2021-01-15T00:00:00.000","2021-01-01T00:00:00.000"
"Veterans Assistance Commission (http://opendocs.cookcountyil.gov/auditor/reports/Veteran_Adminstration_Commission_of_Cook_County_Audit_Report.pdf)","2020-10-08T00:00:00.000","2020-01-01T00:00:00.000"
"Inmate Commissary Service (http://opendocs.cookcountyil.gov/auditor/reports/Inmate_Commissary_Audit_Report.pdf)","2020-10-05T00:00:00.000","2020-01-01T00:00:00.000"
"Fiscal Year 2021 Audit Plan (http://opendocs.cookcountyil.gov/auditor/reports/Fiscal_Year_2021_Audit_Schedule.pdf)","2020-10-01T00:00:00.000","2021-01-01T00:00:00.000"
"CARES ACT (http://opendocs.cookcountyil.gov/auditor/reports/CARES_ACT_-_Municipalities_Initial_Distribution.pdf)","2020-09-25T00:00:00.000","2020-01-01T00:00:00.000"
