"office","district","jurisdiction","first_name","middle_name","last_name","last_elected","next_election","term","appointed","phone1","fax1","email1","url1","phone2","fax2","email2","url2","location_1","location_2"
"Commissioner","2nd","Cook County Board","Robert","B.","Steele","2014-11-04T00:00:00.000","2018","4","FALSE","(312) 603-3019","(312) 603-4055","Robert.Steele@cookcountyil.gov","http://www.cookcountyil.gov/robert-steele/","(773) 722-0140","(773) 722-0145",,"http://www.robertsteele.org","118 N Clark St
Chicago, IL 60602
(41.8838502050005, -87.63091058899965)","3936 W Roosevelt Road
Chicago, IL 60624
(41.86617073700046, -87.72418093299967)"
"Commissioner","3rd","Cook County Board","Jerry",,"Butler","2014-11-04T00:00:00.000","2018","4","FALSE","(312) 603-6391","(312) 603-5671","jerry.butler@cookcountyil.gov","http://www.cookcountyil.gov/jerry-iceman-butler/",,,,,"118 N Clark St
Chicago, IL 60602
(41.8838502050005, -87.63091058899965)","118 N Clark St
Chicago, IL 60602
(41.8838502050005, -87.63091058899965)"
"Commissioner","4th","Cook County Board","Stanley",,"Moore","2014-11-04T00:00:00.000","2018","4","FALSE","(312) 603-2065",,"Stanley.moore2@cookcountyil.gov","http://www.cookcountyil.gov/stanley-moore-4th/","(773) 783-2412",,,"http://www.commissionermoore.com/","118 N Clark St
Chicago, IL 60602
(41.8838502050005, -87.63091058899965)","8658 S Cottage Grove
Chicago, IL 60619
(41.737413139000466, -87.60488518099964)"
"Commissioner","5th","Cook County Board","Deborah",,"Sims","2014-11-04T00:00:00.000","2018","4","FALSE","(312) 603-6381","(312) 603-2583","deborah.sims@cookcountyil.gov","http://www.cookcountyil.gov/deborah-sims-5th/","(708) 371-4251","(708) 371-4376",,,"118 N Clark St
Chicago, IL 60602
(41.8838502050005, -87.63091058899965)","2515 Veterans Dr
Posen, IL 60469
(41.62564100900045, -87.6832806709997)"
"Commissioner","6th","Cook County Board","Joan","Patricia","Murphy","2014-11-04T00:00:00.000","2018","4","FALSE","(312) 603-4216","(312) 603-3693","joan.murphy@cookcountyil.gov","http://www.cookcountyil.gov/joan-patricia-murphy-6th/","(708) 389-2125","(708) 389-2240",,,"118 N Clark St
Chicago, IL 60602
(41.8838502050005, -87.63091058899965)","5405 W 127th St
Crestwood, IL 60445
(41.66142352100047, -87.75428506799966)"
"Commissioner","7th","Cook County Board","Jesus","G.","Garcia","2014-11-04T00:00:00.000","2018","4","FALSE","(312) 603-5443","(312) 603-3759","jesus.garcia@cookcountyil.gov","http://www.cookcountyil.gov/jesus-g-garcia-7th/","(773) 376-2700","(773) 376-3320",,,"118 N Clark St
Chicago, IL 60602
(41.8838502050005, -87.63091058899965)","4249 S Archer Ave
Chicago, IL 60632
(41.81625750000046, -87.70066111099965)"
"Commissioner","9th","Cook County Board","Peter","N.","Silvestri","2014-11-04T00:00:00.000","2018","4","FALSE","(312) 603-4393","(312) 603-1154","cookcty9@aol.com","http://www.cookcountyil.gov/peter-n-silvestri-9th/","(773) 444-0346","(773) 444-0373",,"http://www.petersilvestri.com","118 N Clark St
Chicago, IL 60602
(41.8838502050005, -87.63091058899965)","5515 N East River Road
Chicago, IL 60656
(41.97957030100048, -87.84644039799969)"
"Commissioner","10th","Cook County Board","Bridget",,"Gainer","2014-11-04T00:00:00.000","2018","4","FALSE","(312) 603-4210","(312) 603-3695","Bridget@bridgetgainer.com","http://www.cookcountyil.gov/bridget-gainer-10th/","(773) 561-1010",,,"http://bridgetgainer.com/","118 N Clark St
Chicago, IL 60602
(41.8838502050005, -87.63091058899965)","5533 N Broadway
Chicago, IL 60640
(41.98273765400046, -87.66001039499969)"
"Commissioner","11th","Cook County Board","John","P.","Daley","2014-11-04T00:00:00.000","2018","4","FALSE","(312) 603-4400","(312) 603-6688","john.daley@cookcountyil.gov","http://www.cookcountyil.gov/john-p-daley-11th/",,,,"https://www.facebook.com/pages/John-P-Daley/169143929764881","118 N Clark St
Chicago, IL 60602
(41.8838502050005, -87.63091058899965)","118 N Clark St
Chicago, IL 60602
(41.8838502050005, -87.63091058899965)"
"Commissioner","12th","Cook County Board","John","A.","Fritchey","2014-11-04T00:00:00.000","2018","4","FALSE","(312) 603-6380","(312) 603-1265","commish@fritchey.com","http://www.cookcountyil.gov/john-a-fritchey-12th/","(773) 871-4000","(773) 423-0392",,"http://www.fritchey.com/","118 N Clark St
Chicago, IL 60602
(41.8838502050005, -87.63091058899965)","118 N Clark St
Chicago, IL 60602
(41.8838502050005, -87.63091058899965)"
"Commissioner","13th","Cook County Board","Larry",,"Suffredin","2014-11-04T00:00:00.000","2018","4","FALSE","(312) 603-6383","(312) 603-3622","lsuffredin@aol.com","http://www.cookcountyil.gov/larry-suffredin-13th/","(847) 864-1209","(847) 864-1445",,"http://www.suffredin.org/","118 N Clark St
Chicago, IL 60602
(41.8838502050005, -87.63091058899965)","820 Davis St
Evanston, IL 60201
(42.046966488000464, -87.68255217699965)"
"Commissioner","14th","Cook County Board","Gregg",,"Goslin","2014-11-04T00:00:00.000","2018","4","FALSE","(312) 603-4932","(312) 603-3686","commissioner.goslin@cookcountyil.gov","http://www.cookcountyil.gov/gregg-goslin-14th/","(847) 729-9300","(847) 729-2279",,"http://www.commissionergoslin.com/","118 N Clark St
Chicago, IL 60602
(41.8838502050005, -87.63091058899965)","2550 Waukegan Road
Glenview, IL 60025
(42.10092706900048, -87.79863738099965)"
"Commissioner","15th","Cook County Board","Timothy","O.","Schneider","2014-11-04T00:00:00.000","2018","4","FALSE","(312) 603-6388","(312) 603-6500","tim.schneider@cookcountyil.gov","http://www.cookcountyil.gov/timothy-o-schneider-15th/","(847) 640-1632","(847) 640-1910",,,"118 N Clark St
Chicago, IL 60602
(41.8838502050005, -87.63091058899965)","711 Chelmsford Lane
Elk Grove Village, IL 60007
(42.008314475000475, -88.00901574599965)"
"Commissioner","1st","Cook County Board","Richard","R.","Boykin","2014-11-04T00:00:00.000","2018","4","FALSE","(312) 603-4566","(312) 603-3696","richard.boykin@cookcountyil.gov","http://www.cookcountyil.gov/richard-boykin-1st/",,,,,"118 N Clark St
Chicago, IL 60602
(41.8838502050005, -87.63091058899965)","7221 Madison Forest Park
IL,  60130
(41.87963862300006, -87.80613063899995)"
"Commissioner","8th","Cook County Board","Luis",,"Arroyo Jr.","2014-11-04T00:00:00.000","2018","4","FALSE","(312) 603-6386","(312) 603-9531","luis.arroyojr@cookcountyil.gov","http://www.cookcountyil.gov/luis-arroyojr-8th/","(773) 417-4454",,,,"118 N Clark St
Chicago, IL 60602
(41.8838502050005, -87.63091058899965)","5003 W Fullerton
Chicago, IL 60639
(41.92418220700006, -87.75139500399996)"
"Commissioner","16th","Cook County Board","Jeffrey","R.","Tobolski","2014-11-04T00:00:00.000","2018","4","FALSE","(312) 603-4735","(312) 603-4744","jeffrey.tobolski@cookcountyil.gov","http://www.cookcountyil.gov/jeffrey-r-tobolski-16th/","(708)-352-2301","(708) 352-2169",,"http://www.commissionertobolski.com/","118 N Clark St
Chicago, IL 60602
(41.8838502050005, -87.63091058899965)","521 S Lagrange Rd
LaGrange, IL 60525
(41.80407078200045, -87.86924060899969)"
"Commissioner","17th","Cook County Board","Sean","M","Morrison",,"2018","4","TRUE","(312) 603-4215","(312) 603-2014",,"http://www.cookcountyil.gov/sean-m-morrison-17th/","(708) 349-1336","(708) 349-1627",,,"118 N Clark St
Chicago, IL 60602
(41.8838502050005, -87.63091058899965)","9763 West 143rd Street Orland Park
IL,  60462
(41.63039279000003, -87.85796952399994)"
