"meta_pin","meta_triad","meta_class","geo_property_address","geo_property_apt_no","geo_property_city","meta_town_name","meta_town_code","meta_nbhd","meta_nbhd_only","meta_modeling_group","meta_per_ass","meta_key_pin","ind_multi_code","meta_multi_code","meta_num_288s_active","meta_num_288s_ended","meta_sale_date","meta_sale_price","meta_document_num","char_hd_sf","ind_large_home","char_age","char_apts","char_ext_wall","char_roof_cnst","char_rooms","char_beds","char_bsmt","char_bsmt_fin","char_heat","char_air","char_frpl","char_attic_type","char_fbath","char_hbath","char_tp_plan","char_tp_dsgn","char_gar1_size","char_gar1_cnst","char_gar1_att","char_gar1_area","char_bldg_sf","char_repair_cnd","char_use","char_type_resd","char_attic_fnsh","char_renovation","char_porch","geo_property_zip","geo_geoid","geo_fips","geo_municipality","geo_ohare_noise","geo_floodplain","geo_fs_flood_factor","geo_fs_flood_risk_direction","geo_withinmr100","geo_withinmr101300","geo_school_elem_district","geo_school_hs_district","geo_longitude","geo_latitude","geoposition","econ_tax_rate","econ_midincome","meta_bldg_pin","meta_strata_10","meta_strata_300","time_sale_year","time_sale_month_of_year","time_sale_day_of_year","time_sale_week_of_year","time_sale_quarter_of_year","time_sale_quarter","time_sale_month","time_sale_week","sale_day","time_sale_during_school_year","time_sale_during_holidays"
"09-36-302-022-0000","City","203","6763 N OZANAM AVE","NA","CHICAGO","Jefferson","71","71362","362","SF","1","NA","0","2","0","0","2018-01-02T00:00:00.000","230000","1800241005","3234","false","78","NA","Frame","Shingle + Asphalt","5","3","Full","Unfinished","Warm Air Furnace","No Central A/C","0","Partial","1","0","Stock Plan","NA","0 cars","NA",,,"1114","Average","Single-Family","1.5 Story","Living Area","NA","NA","60631-1555","17031090300","14000","Chicago","0","0","1","0","0","0","EBINGER","TAFT HS","-87.8210926452897","42.0036967266293","POINT (-87.8210926452897 42.0036967266293)","6.88941206587593","97102","NA","NA","NA","2021","Jan","1","1","Q1","96","288","1252","8766","true","true"
"10-25-304-032-0000","City","278","3100 W BIRCHWOOD AVE","NA","CHICAGO","Rogers Park","75","75010","010","SF","1","NA","0","2","0","0","2018-01-02T00:00:00.000","450000","1800241019","4374","false","63","NA","Masonry","Shingle + Asphalt","8","4","Full","Unfinished","Warm Air Furnace","No Central A/C","1","None","1","1","Stock Plan","No","2 cars","Frame","false","false","2172","Average","Single-Family","2 Story","NA","NA","NA","60645-1106","17031020200","14000","Chicago","0","0","6","1","0","0","ROGERS","MATHER HS","-87.7068780230745","42.0176176044535","POINT (-87.7068780230745 42.0176176044535)","6.88729343983239","66831","NA","NA","NA","2021","Jan","1","1","Q1","96","288","1252","8766","true","true"
"11-29-307-012-0000","City","206","1436 W FARGO AVE","NA","CHICAGO","Rogers Park","75","75031","031","SF","1","NA","0","2","0","0","2018-01-02T00:00:00.000","794000","1800249097","7500","false","108","NA","Masonry","Shingle + Asphalt","10","5","Full","Unfinished","Hot Water Steam","Central A/C","1","Full","3","1","Stock Plan","No","4 cars","Masonry","false","false","3743","Average","Single-Family","2 Story","Living Area","NA","NA","60626-1811","17031010300","14000","Chicago","0","0","1","0","0","0","GALE","SULLIVAN HS","-87.6670557079382","42.0174326266982","POINT (-87.6670557079382 42.0174326266982)","6.88729343983239","38866","NA","NA","NA","2021","Jan","1","1","Q1","96","288","1252","8766","true","true"
"11-31-103-028-0000","City","206","2012 W ESTES AVE","NA","CHICAGO","Rogers Park","75","75031","031","SF","1","NA","0","2","0","0","2018-01-02T00:00:00.000","555000","1800249439","8500","false","110","NA","Frame + Masonry","Shingle + Asphalt","8","3","Full","Unfinished","Hot Water Steam","Central A/C","0","Full","2","1","Stock Plan","No","3 cars","Frame","false","false","3080","Above Average","Single-Family","2 Story","Living Area","NA","Masonry Enclosed","60645-2404","17031010701","14000","Chicago","0","0","1","0","0","0","NEW FIELD","SULLIVAN HS","-87.6808183025559","42.0116422689344","POINT (-87.6808183025559 42.0116422689344)","6.88729343983239","55529","NA","NA","NA","2021","Jan","1","1","Q1","96","288","1252","8766","true","true"
"12-01-412-029-0000","City","203","7304 W BRYN MAWR AVE","NA","CHICAGO","Jefferson","71","71440","440","SF","1","NA","0","2","0","0","2018-01-02T00:00:00.000","273000","1800249169","4585","false","63","NA","Masonry","Shingle + Asphalt","5","3","Full","Unfinished","Warm Air Furnace","Central A/C","0","None","1","1","Stock Plan","No","2 cars","Masonry","false","false","1105","Average","Single-Family","1 Story","NA","NA","Frame Enclosed","60631-3004","17031100300","14000","Chicago","1","0","1","0","1","0","EDISON PARK","TAFT HS","-87.8096725941588","41.9829390954412","POINT (-87.8096725941588 41.9829390954412)","6.88941206587593","83197","NA","NA","NA","2021","Jan","1","1","Q1","96","288","1252","8766","true","true"
"11-31-210-002-0000","City","211","1845 W GREENLEAF AVE","NA","CHICAGO","Rogers Park","75","75031","031","MF","1","NA","0","2","0","0","2018-01-02T00:00:00.000","350000","1800241018","5504","false","107","Four","Frame + Masonry","Shingle + Asphalt","15","6","Full","Unfinished","Warm Air Furnace","No Central A/C","2","None","3","0","Stock Plan","No","2 cars","Frame","false","false","2876","Average","Multi-Family","2 Story","NA","NA","NA","60626-2894","17031010701","14000","Chicago","0","0","5","0","0","0","NEW FIELD","SULLIVAN HS","-87.6776069993695","42.0097955703398","POINT (-87.6776069993695 42.0097955703398)","6.88729343983239","55529","NA","NA","NA","2021","Jan","1","1","Q1","96","288","1252","8766","true","true"
"13-02-119-014-0000","City","203","6046 N HARDING AVE","NA","CHICAGO","Jefferson","71","71030","030","SF","1","NA","0","2","0","0","2018-01-02T00:00:00.000","392000","1800215102","8164","false","71","NA","Masonry","Shingle + Asphalt","6","3","Full","Unfinished","Warm Air Furnace","No Central A/C","0","Full","1","0","Stock Plan","NA","2 cars","Frame","false","false","1344","Average","Single-Family","1.5 Story","Living Area","NA","Frame Enclosed","60659-3106","17031130100","14000","Chicago","0","0","1","0","0","0","SOLOMON","MATHER HS","-87.7279874454346","41.9914066494965","POINT (-87.7279874454346 41.9914066494965)","6.91173411463102","43438","NA","NA","NA","2021","Jan","1","1","Q1","96","288","1252","8766","true","true"
"13-07-215-019-0000","City","205","5429 N NEENAH AVE","NA","CHICAGO","Jefferson","71","71430","430","SF","1","NA","0","2","0","0","2018-01-02T00:00:00.000","505000","1800246198","4588","false","69","NA","Masonry","Shingle + Asphalt","7","3","Full","Unfinished","Warm Air Furnace","Central A/C","0","Full","2","0","Stock Plan","No","2 cars","Frame","false","false","1806","Average","Single-Family","2 Story","None","NA","NA","60656-2224","17031100600","14000","Chicago","0","0","1","0","0","0","GARVY","TAFT HS","-87.789861548001","41.9801139104078","POINT (-87.789861548001 41.9801139104078)","6.88941206587593","75601","NA","NA","NA","2021","Jan","1","1","Q1","96","288","1252","8766","true","true"
"13-05-118-034-0000","City","212","6148 N MILWAUKEE AVE","NA","CHICAGO","Jefferson","71","71410","410","MF","1","NA","0","2","0","0","2018-01-02T00:00:00.000","254550","1800249443","2600","false","95","Four","Masonry","Tar + Gravel","5","2","Partial","Unfinished","Hot Water Steam","Central A/C","0","None","3","1","Stock Plan","No","1 cars","Frame","false","false","2654","Average","Multi-Family","2 Story","None","NA","NA","60646-3821","17031100100","14000","Chicago","0","0","1","0","0","1","ONAHAN","TAFT HS","-87.7844671693846","41.9932615732838","POINT (-87.7844671693846 41.9932615732838)","6.88941206587593","79665","NA","NA","NA","2021","Jan","1","1","Q1","96","288","1252","8766","true","true"
"13-03-306-017-0000","City","205","5905 N KILBOURN AVE","NA","CHICAGO","Jefferson","71","71022","022","SF","1","NA","0","2","0","0","2018-01-02T00:00:00.000","425000","1800208076","4712","false","92","NA","Masonry","Shingle + Asphalt","7","4","Full","Unfinished","Warm Air Furnace","No Central A/C","1","Full","1","1","NA","NA","2 cars","Frame","false","false","1830","Average","Single-Family","2 Story","None","NA","NA","60646-5939","17031120300","14000","Chicago","0","0","3","0","0","0","SAUGANASH","TAFT HS","-87.7404056722265","41.9883742857191","POINT (-87.7404056722265 41.9883742857191)","6.91173411463102","123818","NA","NA","NA","2021","Jan","1","1","Q1","96","288","1252","8766","true","true"
"13-07-405-048-0000","City","205","5106 N NEENAH AVE","NA","CHICAGO","Jefferson","71","71430","430","SF","1","NA","0","2","0","0","2018-01-02T00:00:00.000","270000","1800208185","4774","false","76","NA","Masonry","Shingle + Asphalt","6","3","Full","Unfinished","Warm Air Furnace","No Central A/C","0","None","1","0","Stock Plan","No","2 cars","Frame","false","false","1226","Average","Single-Family","2 Story","NA","NA","NA","60656-3729","17031100700","14000","Chicago","0","0","1","0","0","0","GARVY","TAFT HS","-87.7906772793534","41.9740724752778","POINT (-87.7906772793534 41.9740724752778)","6.894","81458","NA","NA","NA","2021","Jan","1","1","Q1","96","288","1252","8766","true","true"
"13-08-419-024-0000","City","211","4913 N MARMORA AVE","NA","CHICAGO","Jefferson","71","71402","402","MF","1","NA","0","2","0","0","2018-01-02T00:00:00.000","400000","1800246246","3720","false","94","Three","Masonry","Shingle + Asphalt","9","4","Full","Unfinished","Warm Air Furnace","No Central A/C","0","None","2","0","Stock Plan","No","0 cars","NA",,,"2138","Average","Multi-Family","2 Story","NA","NA","Frame Enclosed","60630-1906","17031110400","14000","Chicago","0","0","1","0","0","0","PRUSSING","TAFT HS","-87.7755080717823","41.9707356464409","POINT (-87.7755080717823 41.9707356464409)","6.894","69736","NA","NA","NA","2021","Jan","1","1","Q1","96","288","1252","8766","true","true"
"13-14-413-036-0000","City","203","3308 W BERTEAU AVE","NA","CHICAGO","Jefferson","71","71082","082","SF","1","NA","0","2","0","0","2018-01-02T00:00:00.000","512500","1800246459","4650","false","117","NA","Frame","Shingle + Asphalt","6","3","Full","Unfinished","Warm Air Furnace","Central A/C","0","Full","2","1","Stock Plan","No","3 cars","Frame","false","false","1597","Average","Single-Family","1.5 Story","Living Area","NA","NA","60618-2306","17031160501","14000","Chicago","0","0","6","1","0","0","HENRY","ROOSEVELT HS","-87.7110115567837","41.9578071093596","POINT (-87.7110115567837 41.9578071093596)","6.91173411463102","56190","NA","NA","NA","2021","Jan","1","1","Q1","96","288","1252","8766","true","true"
"13-15-223-011-0000","City","203","4529 N LOWELL AVE","NA","CHICAGO","Jefferson","71","71071","071","SF","1","NA","0","2","0","0","2018-01-02T00:00:00.000","299000","1800208215","4320","false","102","NA","Masonry","Shingle + Asphalt","6","4","Full","Unfinished","Hot Water Steam","No Central A/C","0","Full","2","0","NA","NA","1 cars","Frame","false","false","1488","Average","Single-Family","1 Story","None","NA","Masonry Enclosed","60630-4105","17031160200","14000","Chicago","0","0","1","0","0","0","BELDING","SCHURZ HS","-87.7367049894944","41.9635440761416","POINT (-87.7367049894944 41.9635440761416)","6.917","82765","NA","NA","NA","2021","Jan","1","1","Q1","96","288","1252","8766","true","true"
"13-13-202-013-0000","City","211","4729 N WASHTENAW AVE","1","CHICAGO","Jefferson","71","71110","110","MF","1","NA","0","2","0","0","2018-01-02T00:00:00.000","530000","1800249099","3750","false","102","Four","Masonry","Shingle + Asphalt","9","5","Full","Unfinished","Hot Water Steam","No Central A/C","0","None","3","0","Stock Plan","NA","2 cars","Frame","false","false","3157","Average","Multi-Family","2 Story","NA","NA","NA","60625-2927","17031040700","14000","Chicago","0","0","6","1","0","0","WATERS","AMUNDSEN HS","-87.6958651437569","41.9676239103139","POINT (-87.6958651437569 41.9676239103139)","6.88941206587593","76915","NA","NA","NA","2021","Jan","1","1","Q1","96","288","1252","8766","true","true"
"13-15-102-016-0000","City","211","4725 N KILPATRICK AVE","NA","CHICAGO","Jefferson","71","71071","071","MF","1","NA","0","2","0","0","2018-01-02T00:00:00.000","395000","1800206128","4040","false","94","Three","Frame + Masonry","Shingle + Asphalt","6","4","Partial","Unfinished","Warm Air Furnace","Central A/C","0","None","2","0","Stock Plan","No","0 cars","NA",,,"2538","Average","Multi-Family","2 Story","NA","NA","NA","60630-4027","17031160100","14000","Chicago","0","0","1","0","0","0","PALMER","TAFT HS","-87.7448978492239","41.9670285055975","POINT (-87.7448978492239 41.9670285055975)","6.917","69844","NA","NA","NA","2021","Jan","1","1","Q1","96","288","1252","8766","true","true"
"13-19-108-043-0000","City","203","3900 N OAK PARK AVE","NA","CHICAGO","Jefferson","71","71150","150","SF","1","NA","0","2","0","0","2018-01-02T00:00:00.000","234000","1800246335","5076","false","106","NA","Frame","Shingle + Asphalt","6","3","Full","Formal Rec Room","Warm Air Furnace","Central A/C","0","Full","2","1","Stock Plan","No","2 cars","Frame","false","false","1551","Average","Single-Family","1.5 Story","Living Area","NA","Frame Enclosed","60634-2362","17031170300","14000","Chicago","0","0","1","0","0","0","BRIDGE","STEINMETZ COLLEGE PREP HS","-87.796555295014","41.9510670911624","POINT (-87.796555295014 41.9510670911624)","6.88941206587593","64455","NA","NA","NA","2021","Jan","1","1","Q1","96","288","1252","8766","true","true"
"13-21-416-007-0000","City","203","5139 W SCHOOL ST","NA","CHICAGO","Jefferson","71","71171","171","SF","1","NA","0","2","0","0","2018-01-02T00:00:00.000","259900","1800249448","3750","false","95","NA","Masonry","Shingle + Asphalt","5","2","Full","Unfinished","Hot Water Steam","No Central A/C","0","Partial","1","0","Stock Plan","No","2 cars","Frame","false","false","1574","Average","Single-Family","1.5 Story","Living Area","NA","Frame Enclosed","60641-4229","17031151001","14000","Chicago","0","0","1","0","0","0","FALCONER","FOREMAN HS","-87.7559021461101","41.9402732860663","POINT (-87.7559021461101 41.9402732860663)","6.894","62734","NA","NA","NA","2021","Jan","1","1","Q1","96","288","1252","8766","true","true"
"13-29-416-013-0000","City","211","2521 N AUSTIN AVE","NA","CHICAGO","Jefferson","71","71250","250","MF","1","NA","0","2","0","0","2018-01-02T00:00:00.000","320000","1800249360","3720","false","96","Three","Masonry","Tar + Gravel","8","4","Full","Unfinished","Hot Water Steam","No Central A/C","0","None","2","0","Stock Plan","No","2 cars","Frame","false","false","2348","Average","Multi-Family","2 Story","NA","NA","Frame Enclosed","60639-2696","17031190601","14000","Chicago","0","0","1","0","0","0","PRIETO","STEINMETZ COLLEGE PREP HS","-87.775452448777","41.9263338720484","POINT (-87.775452448777 41.9263338720484)","6.894","49091","NA","NA","NA","2021","Jan","1","1","Q1","96","288","1252","8766","true","true"
"13-30-300-028-0000","City","203","2744 N NEVA AVE","NA","CHICAGO","Jefferson","71","71200","200","SF","1","NA","0","2","0","0","2018-01-02T00:00:00.000","279999","1800249394","3750","false","96","NA","Masonry","Shingle + Asphalt","6","3","Partial","Unfinished","Warm Air Furnace","No Central A/C","0","Partial","1","0","NA","NA","2 cars","Frame","false","false","1166","Average","Single-Family","1 Story","None","NA","NA","60707-1611","17031831600","14000","Chicago","0","0","1","0","0","1","LOCKE, J","STEINMETZ COLLEGE PREP HS","-87.8056074461591","41.9303086192791","POINT (-87.8056074461591 41.9303086192791)","6.894","40262","NA","NA","NA","2021","Jan","1","1","Q1","96","288","1252","8766","true","true"
"13-34-212-016-0000","City","203","2223 N TRIPP AVE","NA","CHICAGO","Jefferson","71","71180","180","SF","1","NA","0","2","0","0","2018-01-02T00:00:00.000","275000","1800249333","3150","false","116","NA","Frame","Shingle + Asphalt","4","2","Full","Unfinished","Warm Air Furnace","No Central A/C","0","None","1","0","Stock Plan","NA","2 cars","Frame","false","false","1056","Average","Single-Family","1 Story","NA","NA","NA","60639-3611","17031200402","14000","Chicago","0","0","1","0","0","0","NIXON","KELVYN PARK HS","-87.7324519445095","41.9215004033492","POINT (-87.7324519445095 41.9215004033492)","6.915","52482","NA","NA","NA","2021","Jan","1","1","Q1","96","288","1252","8766","true","true"
