"company","doing_business_as","address_line_1","address_line_2","city","state","zip_code","registration_account","tax_type","location"
"103RD FOOD AND GAS INC","CITGO GAS STATION","1053 W 103RD STREET",,"CHICAGO","IL","60643","1123671","Sweetened Beverage Home Rule","1053 W 103RD STREET
CHICAGO, IL 60643
(41.706853, -87.649749)"
"10TH GFM INC","COVENIENT FOOD MART ","4301 W IRVING PARK",,"CHICAGO","IL","60641","1122100","Sweetened Beverage Home Rule","4301 W IRVING PARK
CHICAGO, IL 60641
(41.953577, -87.73542)"
"111ST FOOD AND CELLULAR INC",,"423-25 E 111TH ST",,"CHICAGO","IL","60628","1122094","Sweetened Beverage Home Rule","423-25 E 111TH ST
CHICAGO, IL 60628
(41.692744, -87.612353)"
"111TH FOOD MARKET INC","EXPRESS FOOD MART AND CELLULAR","110585 S WENTWORTH AVENUE",,"CHICAGO","IL","60628","1121877","Sweetened Beverage Home Rule","110585 S WENTWORTH AVENUE
CHICAGO, IL 60628"
" 111TH FOOD MART INC",,"1101 W 111TH ST",,"CHICAGO","IL","60643","1122379","Sweetened Beverage Home Rule","1101 W 111TH ST
CHICAGO, IL 60643
(41.692259, -87.650019)"
"111TH STREET INC",,"7 E 111TH ST",,"CHICAGO","IL","60628","1121844","Sweetened Beverage Home Rule","7 E 111TH ST
CHICAGO, IL 60628
(41.692587, -87.62257)"
"11900 MARSHFIELD STATION INC","CALUMET PARK CITGO","11900 S MARSHFIELD AVE",,"CALUMET PARK","IL","60827","1123800","Sweetened Beverage Home Rule","11900 S MARSHFIELD AVE
CALUMET PARK, IL 60827
(41.676774, -87.662444)"
"119TH STEVENS RESTAURANTS INC","McDONALDS ","11920 S WESTERN AVE",,"BLUE ISLAND","IL","60406","1121261","Sweetened Beverage Home Rule","11920 S WESTERN AVE
BLUE ISLAND, IL 60406"
"1500 EAST AVE",,"1500 EAST AVE",,"BERWYN","IL","60402","1122380","Sweetened Beverage Home Rule","1500 EAST AVE
BERWYN, IL 60402
(41.859555, -87.788643)"
"159 SERVICE INC",,"1524 CHICAGO RD",,"CHICAGO HEIGHTS","IL","60411","1123051","Sweetened Beverage Home Rule","1524 CHICAGO RD
CHICAGO HEIGHTS, IL 60411
(41.503206, -87.640747)"
"159TH FOOD & FUEL INC",,"36 W 159TH ST",,"HARVEY","IL","60426","1123751","Sweetened Beverage Home Rule","36 W 159TH ST
HARVEY, IL 60426
(41.600831, -87.658185)"
"161 NORTH CLARK FRESHII LLC",,"161 NORTH CLARK STREET",,"CHICAGO","IL","60601","1122531","Sweetened Beverage Home Rule","161 NORTH CLARK STREET
CHICAGO, IL 60601
(41.884708, -87.630937)"
"175TH & KEDZIE CORP","TEDDY'S FRUIT & MEAT MARKET","17503 S KEDZIE AVE",,"HAZELCREST","IL","60429","1123959","Sweetened Beverage Home Rule","17503 S KEDZIE AVE
HAZELCREST, IL 60429
(41.571641, -87.694277)"
"1 DELI INC",,"6901 S NORMAL AVE",,"CHICAGO","IL","60621","1122165","Sweetened Beverage Home Rule","6901 S NORMAL AVE
CHICAGO, IL 60621"
"1 STOP AND SHOP INC",,"12201-12209 S HALSTED",,"CHICAGO","IL","60628","1123410","Sweetened Beverage Home Rule","12201-12209 S HALSTED
CHICAGO, IL 60628
(41.672205, -87.641664)"
"22ND FOOD MART INC",,"3150 W CERMAK RD",,"CHICAGO","IL","60623","1122058","Sweetened Beverage Home Rule","3150 W CERMAK RD
CHICAGO, IL 60623
(41.851789, -87.704819)"
"2310 E 79TH INC","ALL STAR FUEL AND FOOD","2310 E 79TH STREET",,"CHICAGO","IL","60649","1123440","Sweetened Beverage Home Rule","2310 E 79TH STREET
CHICAGO, IL 60649
(41.751706, -87.567844)"
"24/7 EXPRESS MART INC",,"5101 S ASHLAND AVE",,"CHICAGO","IL","60609","1122337","Sweetened Beverage Home Rule","5101 S ASHLAND AVE
CHICAGO, IL 60609
(41.801034, -87.664665)"
"2624 SOUTH CENTRAL PARK CORPOR","LOS CANDILES RESTAURANT ","2624 S CENTRAL PARK AVE",,"CHICAGO","IL","60623","1123161","Sweetened Beverage Home Rule","2624 S CENTRAL PARK AVE
CHICAGO, IL 60623
(41.843557, -87.714761)"
"26 AND AUSTIN CITGO INC",,"5946 W 26TH ST",,"CICERO","IL","60804","1122145","Sweetened Beverage Home Rule","5946 W 26TH ST
CICERO, IL 60804
(41.843545, -87.773355)"
"31 FOOD AND DOLLAR INC",,"3055 S TRIPP AVENUE",,"CHICAGO","IL","60623","1123692","Sweetened Beverage Home Rule","3055 S TRIPP AVENUE
CHICAGO, IL 60623
(41.837252, -87.730437)"
"31ST FOOD MART INC","31ST FOOD MART ","1314 W 31ST ST",,"CHICAGO","IL","60608","1122946","Sweetened Beverage Home Rule","1314 W 31ST ST
CHICAGO, IL 60608
(41.837891, -87.659232)"
"3400 FOOD AND LIQUOR INC","3400 FOOD AND LIQUOR","3459 W HARRISON",,"CHICAGO","IL","60624","1123669","Sweetened Beverage Home Rule","3459 W HARRISON
CHICAGO, IL 60624
(41.873609, -87.712953)"
"36TH AND KING DRIVE INC",,"342 E 35TH ST",,"CHICAGO","IL","60616","1124213","Sweetened Beverage Home Rule","342 E 35TH ST
CHICAGO, IL 60616
(41.831163, -87.617604)"
"3743 W CHICAGO CORP","WHOLESALE PRICES OPEN TO THE PUBLIC","3743 W CHICAGO",,"CHICAGO","IL","60651","1122871","Sweetened Beverage Home Rule","3743 W CHICAGO
CHICAGO, IL 60651"
"3850 INC","NORTH PULASKI FRESH MARKET ","3850 W FULLERTON",,"CHICAGO","IL","60647","1121692","Sweetened Beverage Home Rule","3850 W FULLERTON
CHICAGO, IL 60647
(41.924575, -87.723901)"
"4300 CITGO INC",,"4300 S WENTWORTH",,"CHICAGO","IL","60609","1122825","Sweetened Beverage Home Rule","4300 S WENTWORTH
CHICAGO, IL 60609
(41.816123, -87.631158)"
"43RD STREET FOOD MART INC",,"246 W 43RD ST",,"CHICAGO","IL","60609","1122883","Sweetened Beverage Home Rule","246 W 43RD ST
CHICAGO, IL 60609
(41.816442, -87.632985)"
"43RD STRET FOOD MART INC.",,"246 w. 43RD ST.",,"CHICAGO","IL","60609","1122124","Sweetened Beverage Home Rule","246 w. 43RD ST.
CHICAGO, IL 60609
(41.816442, -87.632985)"
"47TH DOLLAR FOOD MART INC",,"1714 W 47TH ST",,"CHICAGO","IL","60609","1122877","Sweetened Beverage Home Rule","1714 W 47TH ST
CHICAGO, IL 60609
(41.808608, -87.667991)"
"47TH GROCERY INC",,"1535 W 47TH ST",,"CHICAGO","IL","60609","1122997","Sweetened Beverage Home Rule","1535 W 47TH ST
CHICAGO, IL 60609
(41.808664, -87.663908)"
"4801 S. WILCOTT AVE CORP./LA CANICA",,"4801 S. WLCOTT AVE",,"CHICAGO","IL","60609","1124475","Sweetened Beverage Home Rule","4801 S. WLCOTT AVE
CHICAGO, IL 60609
(41.806484, -87.672195)"
"4 MIL OIL","BP GAS","11201 W CERMAK RD",,"WESTCHESTER","IL","60154","1122966","Sweetened Beverage Home Rule","11201 W CERMAK RD
WESTCHESTER, IL 60154
(41.848089, -87.901993)"
"4 SISTERS MEDITERRANEAN CUISIN",,"10317 S CENTRAL AVE",,"OAK LAWN","IL","60453","1122418","Sweetened Beverage Home Rule","10317 S CENTRAL AVE
OAK LAWN, IL 60453"
"5025 ALSIP CORP","CITGO ","5025 W 111TH STREET",,"ALSIP","IL","60803","1122140","Sweetened Beverage Home Rule","5025 W 111TH STREET
ALSIP, IL 60803
(41.690785, -87.743576)"
"50/50 GROCERY AND BEAUTY INC",,"4017 WEST MADISON ST",,"CHICAGO","IL","60624","1124043","Sweetened Beverage Home Rule","4017 WEST MADISON ST
CHICAGO, IL 60624
(41.880682, -87.726385)"
"509 PETROLEUM INC","CITGO ","5901 S ASHLAND",,"CHICAGO","IL","60636","1122988","Sweetened Beverage Home Rule","5901 S ASHLAND
CHICAGO, IL 60636
(41.786457, -87.66431)"
"54TH IN AND OUT INC","IN AND OUT FOOD MART","5431 S HALSTED STREET",,"CHICAGO","IL","60609","1121883","Sweetened Beverage Home Rule","5431 S HALSTED STREET
CHICAGO, IL 60609
(41.794954, -87.645173)"
"55TH CALIFORNIA ENTERPRISES IN","CALIFORNIA FOOD MART","2800 W 55TH ST",,"CHICAGO","IL","60632","1123994","Sweetened Beverage Home Rule","2800 W 55TH ST
CHICAGO, IL 60632
(41.793723, -87.694058)"
"55TH FUEL MART","AMSTAR","5501 S ASHLAND AVE",,"CHICAGO","IL","60636","1122887","Sweetened Beverage Home Rule","5501 S ASHLAND AVE
CHICAGO, IL 60636
(41.793291, -87.664466)"
"5616 FUEL INC","CITGO FUEL AND MINI MART ","5616 S WESTERN AVE",,"CHICAGO","IL","60636","1121799","Sweetened Beverage Home Rule","5616 S WESTERN AVE
CHICAGO, IL 60636
(41.791778, -87.684073)"
"5827 INC","QUICK PICK FOOD MART","3580 N MILWAUKEE",,"CHICAGO","IL","60641","1122435","Sweetened Beverage Home Rule","3580 N MILWAUKEE
CHICAGO, IL 60641
(41.945764, -87.734765)"
"5 BROTHERFOOD","SHOP4LESS ","1532-34 N PULASKI",,"CHICAGO","IL","60651","1122723","Sweetened Beverage Home Rule","1532-34 N PULASKI
CHICAGO, IL 60651
(41.909147, -87.726484)"
"5 RABANITOS INC",,"1758 W 18TH ST",,"CHICAGO","IL","60608","1123162","Sweetened Beverage Home Rule","1758 W 18TH ST
CHICAGO, IL 60608
(41.85775, -87.670195)"
"5 STARS MINI MART INC",,"2748 W MADISON ST",,"CHICAGO","IL","60612","1123392","Sweetened Beverage Home Rule","2748 W MADISON ST
CHICAGO, IL 60612
(41.881106, -87.694989)"
"63RD AND ASHLAND LLC","EXTRA VALUE FOOD AND LIQUOR ","6257 S ASHLAND AVE",,"CHICAGO","IL","60636","1122845","Sweetened Beverage Home Rule","6257 S ASHLAND AVE
CHICAGO, IL 60636
(41.779675, -87.664181)"
"63RD QUICK STORP INC","63RD QUICK STOP","2423 W 63RD STREET",,"CHICAGO","IL","60629","1123251","Sweetened Beverage Home Rule","2423 W 63RD STREET
CHICAGO, IL 60629
(41.779254, -87.684444)"
"67 STORE INC",,"6655 S CALIFORNIA AVE",,"CHICAGO","IL","60629","1123260","Sweetened Beverage Home Rule","6655 S CALIFORNIA AVE
CHICAGO, IL 60629
(41.77204, -87.693218)"
"7 & 12 FOOD MART INC",,"6756 W DIVERSEY AVE",,"CHICAGO","IL","60707","1123957","Sweetened Beverage Home Rule","6756 W DIVERSEY AVE
CHICAGO, IL 60707
(41.930922, -87.795117)"
"71ST FOOD & VEGETABLE INC",,"3900 W 71ST ST",,"CHICAGO","IL","60629","1123625","Sweetened Beverage Home Rule","3900 W 71ST ST
CHICAGO, IL 60629
(41.764128, -87.720023)"
"72ND PETROLEUM INC","MOBILE GAS","7200 S WESTERN AVE",,"CHICAGO","IL","60636","1122852","Sweetened Beverage Home Rule","7200 S WESTERN AVE
CHICAGO, IL 60636
(41.762534, -87.683281)"
"7336 STONY ISLAND INC","ZEE'S SUPERMARKET PLUS","7336 S STONY ISLAND AVENUE",,"CHICAGO","IL","60649","1123668","Sweetened Beverage Home Rule","7336 S STONY ISLAND AVENUE
CHICAGO, IL 60649
(41.761276, -87.586243)"
"75TH AND YATES GAS INC","AMSTER FUEL AND MINI MART ","2352 E 75TH ST",,"CHICAGO","IL","60649","1123152","Sweetened Beverage Home Rule","2352 E 75TH ST
CHICAGO, IL 60649
(41.758992, -87.566694)"
"75TH FOOD & MEAT MART INC",,"656 E 75TH STREET",,"CHICAGO","IL","60619","1123465","Sweetened Beverage Home Rule","656 E 75TH STREET
CHICAGO, IL 60619
(41.758509, -87.60834)"
"7600 FOOD MART INC",,"7600 S SOUTH CHICAGO AVE",,"CHICAGO","IL","60619","1123157","Sweetened Beverage Home Rule","7600 S SOUTH CHICAGO AVE
CHICAGO, IL 60619
(41.756653, -87.592882)"
"76 ENTERPRISES INC",,"7602 S VINCENNES AVE",,"CHICAGO","IL","60620","1123987","Sweetened Beverage Home Rule","7602 S VINCENNES AVE
CHICAGO, IL 60620
(41.756106, -87.63245)"
"7736 STONY ISLAND INC","ZEES SUPERMARKET PLUS ","7336 S STONY ISLAND AVE",,"CHICAGO","IL","60649","1122841","Sweetened Beverage Home Rule","7336 S STONY ISLAND AVE
CHICAGO, IL 60649
(41.761276, -87.586243)"
"77 FOOD INC",,"3359 S LEAVITT ST",,"CHICAGO","IL","60608","1123781","Sweetened Beverage Home Rule","3359 S LEAVITT ST
CHICAGO, IL 60608
(41.832277, -87.680197)"
"7901 LIQUORS & GROCERY INC/HAPPY LIQUORS",,"7901 S. COTTAGE GROVE AVE",,"CHICAGO","IL","60619","1124564","Sweetened Beverage Home Rule","7901 S. COTTAGE GROVE AVE
CHICAGO, IL 60619
(41.751266, -87.605166)"
"79 FOOD BASKET INC","79 FOOD BASKET","1351 W 79TH ST",,"CHICAGO","IL","60620","1122331","Sweetened Beverage Home Rule","1351 W 79TH ST
CHICAGO, IL 60620
(41.750428, -87.658066)"
"79TH AND ASHLAND ENTERPRISES I","79TH AND ASHLAND","7902 S ASHLAND AVE",,"CHICAGO","IL","60620","1124096","Sweetened Beverage Home Rule","7902 S ASHLAND AVE
CHICAGO, IL 60620
(41.7502, -87.663538)"
