"project","company","category","description","start_date","end_date"
"118 N. Clark - chiller Replacement","CC County Building","Corporate",,"2013-01-08T08:00:00.000Z","2013-06-04T07:00:00.000Z"
"ACHN Clinic Renovation","CC ACHN CLINICS","Health & Hospital Systems",,"2012-02-20T08:00:00.000Z","2013-06-25T07:00:00.000Z"
"Boiler Upgrade at DOC Powerhouse and Stein Forensic","CC Sheriff","Court System & Corrections","Replacement of Boilers 1 & 2 and some additional Chiller / HVAC Mechanical Upgrades","2011-08-13T07:00:00.000Z","2012-09-28T07:00:00.000Z"
"Brick Retaining Wall Project at the DOC","CC DOC (Dept. of Corrections)","Court System & Corrections","Repair to DOC Div X retaining wall on Califirnia Ave. Scope of work includes masonry tuckpointing, face brick replacement, control joint restoration, removal of brick coping with new metal coping.","2011-09-08T07:00:00.000Z","2012-02-15T08:00:00.000Z"
"Cicero Health Center Relocation","CC ACHN CLINICS","Health & Hospital Systems",,"2012-02-20T08:00:00.000Z","2013-06-20T07:00:00.000Z"
"Clean Steam Piping Replacement","CC Health & Hospitals System","Health & Hospital Systems","DESCRIPTION

This project will repair and replace corroded piping and components on the clean steam system at the John H. Stroger Jr. Hospital of Cook County (JSH). 

The Hospital has two separate steam producing systems, heating and clean steam. The central boiler plant, used to generate steam for heat, is a closed system. Condensate is pumped back to the central boiler plant, treated and reused. The central boiler plant feeds the clean steam system. Clean steam is then generated by six independent generators. 

The clean steam condensate lines, components and fittings have been subject to severe corrosion and leaks. Continuous problems and damage include but are not limited to:
* Deterioration of the supply and condensate piping, threaded joints, elbows, steam traps, jacketed kettles, etc.
* Staining and corrosion in Autoclaves and kitchen equipment and staining of sterilized medical equipment and utensil
* Humidifiers leaking into the ductwork and hospital spaces and improperly sized humidifiers
* Clogged steam generator tube bundles

ENGINEERING CONSULTANT:
WMA Consultant Engineers, Ltd.","2011-08-09T07:00:00.000Z","2013-10-28T07:00:00.000Z"
"Cook County Recorder of Deeds - Counter Modification Project","CC Recorder of Deeds","Corporate","The Recorder of Deeds Office located in the Cook County Building at 118 North Clark St., Chicago, Il., room 120; the existing cashier's counter that serves the general public is to be demolished and reconstructed for more efficient use and to meet current ADA guidelines and also the aging public.","2011-08-19T07:00:00.000Z","2012-05-16T07:00:00.000Z"
"CORE Center, Roof - Replace Air Cooled System","CC Ruth Rothstein Core Center","Health & Hospital Systems","The existing Chiller at the Core Center has reached the end of its useful life. The Chiller has been in place since the building was constructed in 1998. The chilling capacity on the unit is approximately 400 Tons. 

While the Chiller is still in operation, it is not operating as efficiently and effectively to meet the designed cooling loads. With the Core Center primarily handling of infectious diseases, the unit needs to be replaced in order to ensure that the Core Center can maintain a temperature controlled environment. 

The scope of this project includes: 

Design of a new Chiller System
Calculating mechanical, electrical, and structural loads
Removal of the existing Chiller System
Patching wall penetrations 
Repair / Replace existing pipe supports and hangers
Cleaning & patching abandoned pipes in the walls & ceilings
Replacement of existing pipe valves, conduits, and panels","2011-01-07T08:00:00.000Z","2012-01-10T08:00:00.000Z"
"Cottage Grove Health Center Expansion/Renovation","CC ACHN CLINICS","Health & Hospital Systems",,"2012-02-20T08:00:00.000Z","2013-08-26T07:00:00.000Z"
"Countywide Building Exterior inspection and stabilization, Package 2","CC Countywide","Countywide","Inspection and design for JHS Hospital & Domestic Violence Courthouse to bring both into compliance per the City of Chicago Facade Inspection Ordinance","2011-12-12T08:00:00.000Z","2012-12-10T08:00:00.000Z"
