Department Number,Department Name,Title,Job Code,Position ID,Job Description
2," Human Rights, Ethics and Commission on Women's Issues",Director ,81,9500001,
2," Human Rights, Ethics and Commission on Women's Issues",Deputy Director  ,5204,900201,
2," Human Rights, Ethics and Commission on Women's Issues",Legal Counsel ,5368,9526930,
2," Human Rights, Ethics and Commission on Women's Issues",Public Information Officer  ,854,1000972,
2," Human Rights, Ethics and Commission on Women's Issues",Legislative Coordinator I,620,1000973,
7, Revenue,Director ,263,9200001,
7, Revenue,Deputy Director  ,5205,9500012,
7, Revenue,Administrative Analyst V   ,295,9500266,
7, Revenue,Business Manager III ,253,9500029,
7, Revenue,Director of Financial Control I  ,110,9500026,
7, Revenue,Special Assistant for Legal Affairs ,5531,1000977,
8, Risk Management  ,Director  ,263,9500052,
8, Risk Management  ,Deputy Director of Risk Management  ,4619,9500064,
8, Risk Management  ,"Claims Manager, Workers Compensation  ",83,9500074,
8, Risk Management  ,"Claims Manager, General Liability  ",64,9500058,
8, Risk Management  ,Safety Manager,84,9500055,
8, Risk Management  ,Employee Benefits Manager,769,1000975,
8, Risk Management  ,Special Assistant for Legal Affairs  ,5531,1000976,
9, Technology Policy & Planning,Chief Information Officer   ,1133,9500081,
9, Technology Policy & Planning,Deputy Chief Information Officer   ,5208,9500529,
9, Technology Policy & Planning,Deputy Chief Information Officer,5208,1100001,
9, Technology Policy & Planning,Special Assistant for Legal Affairs,5531,1000974,
9, Technology Policy & Planning,Legislative Coordinator I,620,1100002,
9, Technology Policy & Planning,Public Information Officer,854,1100003,
9, Technology Policy & Planning,Program Manager,28,9518477,
9, Technology Policy & Planning,Director (Application Management & Development),5589,9500127,
9, Technology Policy & Planning,Deputy Director (Application Management & Development),5590,9500167,
10, Office of the President ,Chief of Staff   ,4770,9500085,
10, Office of the President ,Deputy Chief of Staff  ,4771,9500086,
10, Office of the President ,Special Legal Counsel,4702,9518485,
10, Office of the President ,Assistant Special Legal Counsel  ,5213,9500087,
10, Office of the President ,Special Assistant Governmental and Legislative Affairs   ,5234,9517532,
10, Office of the President ,Special Assistant Governmental and Legislative Affairs ,5234,9500093,
10, Office of the President ,Legislative Coordinator I ,620,9500090,
10, Office of the President ,Community Outreach Liaison ,4424,9500114,
10, Office of the President ,Administrative Analyst V  ,295,9500110,
10, Office of the President ,Administrative Analyst IV  ,294,9500512,
10, Office of the President ,Administrative Analyst IV ,294,9500103,
10, Office of the President ,Administrative Analyst II  ,292,9500101,
10, Office of the President ,Administrative Analyst II  ,292,9517536,
10, Office of the President ,Administrative Assistant IV ,50,9500089,
10, Office of the President ,Administrative Assistant IV   ,50,9500096,
10, Office of the President ,Administrative Assistant IV ,50,9500104,
10, Office of the President ,Administrative Assistant III  ,48,9500455,
10, Office of the President ,Administrative Assistant III ,48,9500091,
