Facility,Municipality,County,Tons in 2008,Type of Waste Accepted,Recycling?,C&D?,LW?,Owner,Operator,Truck Tip Fee,Location 1,Zip Codes,Commissioner's Districts,Municipality 2
 Riverdale Recycling Inc. a,Riverdale,Cook,183261,"MSW, recyclables, C&D, tires",yes,yes,,Tri State Disposal,Tri State Disposal,$55/ton,"Riverdale, Illinois
(41.6335399995715, -87.62629999984495)",4460,5,743
C & L LSW Trans. Stn. ,Chicago Heights,Cook,0,LW,,,yes,C&L LLC,Skyline Disposal,NA,"Chicago Heights, Illinois
(41.50196999991573, -87.64051999999788)",26902,5,764
 Waste Management/Rockdale ,Rockdale,Will,53479,"MSW, LW, recyclables",yes,,yes,Waste Management,Waste Management,NA,"Rockdale, Illinois
(41.50603000008459, -88.11531999971805)",9703,,
 Glenview Transfer Station ,Glenview,Cook,296022,"MSW, LW",,,yes,SWANCC,Groot,NA,"Glenview, Illinois
(42.07745000021748, -87.79857000040505)",13428,14,727
 Planet Recovery Transfer Station ,Chicago,Cook,374902,"MSW, recyclables, commercial",yes,,,Allied,Allied,NA,"Chicago, Illinois
(41.88415000022252, -87.63241000012124)",14310,2,788
Veolia ES SW MW LLC/N ,Northbrook,Cook,119466,"MSW, recyclables",yes,,,Veolia,Veolia,NA,"Northbrook, Illinois
(42.12971999957847, -87.83156000009376)",18090,14,779
United Disposal of Bradley Transfer Station,Bradley,Kankakee,0,"MSW, recyclables",yes,,,Municipal Trust and Savings,United Disposal of Bradley,NA,"Bradley, Illinois
(41.14219000016851, -87.86284999962766)",4467,,
 SRS North Lot ,Chicago,Cook,47337,C&D,,yes,,ELK Corporation,"Shred All, Allied subsidiary",NA,"Chicago, Illinois
(41.88415000022252, -87.63241000012124)",14310,2,788
 Best Lawns TS Streamwood ,Streamwood,Cook,0,LW,,,yes,Best Lawns,Best Lawns,NA,"Streamwood, Illinois
(42.011619999663424, -88.173299999795)",10506,15,705
Cloverleaf Farms Transfer ,Elgin,Cook,0,LW,,,yes,Midwest Compost,Midwest Compost,NA,"Elgin, Illinois
(42.03956000029393, -88.2832400002257)",15593,,
Wilmette Village Yard,Wilmette,Cook,0,LW,,,yes,Village of Wilmette,Village of Wilmette,NA,"Wilmette, Illinois
(42.0756200003629, -87.70771000031613)",9857,13,731
Ravenswood Disposal Service Transfer Station,Chicago,Cook,0,C&D,,yes,,Ravenswood Disposal,Ravenswood Disposal,NA,"Chicago, Illinois
(41.88415000022252, -87.63241000012124)",14310,2,788
 Citiwaste Transfer Station,Joliet,Will,28202,"CCDD, LW, recyclables",yes,CCDD,,Citiwaste,Citiwaste,NA,"Joliet, Illinois
(41.52493000021951, -88.08458999992843)",9695,,
Perricone Nursery LSW TS 1 ,Volo ,McHenry,,LW,,,yes,Albany Bank and Trust,Perricone Brothers Landscaping,NA,"Volo, Illinois
(42.325229999864746, -88.16457000010524)",9453,,
34th Street Mat'l. Rec. & Recy.,Chicago,Cook,131332,"MSW, recyclables",yes,,,City of Chicago,Allied,NA,"Chicago, Illinois
(41.88415000022252, -87.63241000012124)",14310,2,788
Midtown Transfer ,Chicago,Cook,89100,"MSW, commercial",,,,"BFI, Allied Subsidiary","BFI, Allied Subsidiary",NA,"Chicago, Illinois
(41.88415000022252, -87.63241000012124)",14310,2,788
