"division","total_cells","plumbing","electrical","carpentry","elec_tech","tin","enginering","brick","iron","misc","glaz","open_cells"
"I","608","0","0","0","0","0","0","0","0","0","0","0"
"II","0","0","0","0","0","0","0","0","0","0","0","0"
"III","180","0","0","0","0","0","0","0","0","0","0","0"
"IV","320","0","0","0","0","0","0","0","0","0","0","0"
"V","480","1","0","0","0","0","0","0","0","0","0","1"
"VI","496","1","0","0","0","0","1","0","0","0","0","2"
"VIII","0","0","0","0","0","0","0","0","0","0","0","0"
"IX","540","0","0","0","0","0","0","0","0","0","0","0"
"X","384","0","0","0","0","0","0","0","0","0","0","0"
"XI","768","0","0","0","0","0","0","0","0","0","0","0"
"XVII","0","0","0","0","0","0","0","0","0","0","0","0"
"Total Closed Cells",,"2",,,,,,,,,,
,,,"0","0","0","0","1","0","0","0","0","3"
,"3776",,,,,,,,,,,
,,,,,,,,,,,,"0.08"
