"year","sentencing_result","offense_type","gender","defendant_count"
"2016","Jail","Aggravated Assault Police Officer","Male","1"
"2016","Prison","Aggravated Assault Police Officer","Male","19"
"2016","Prison","Aggravated Assault Police Officer","Female","1"
"2016","Probation","Aggravated Assault Police Officer","Female","3"
"2016","Probation","Aggravated Assault Police Officer","Male","10"
"2016","Supervision","Aggravated Assault Police Officer","Male","2"
"2016","Prison","Aggravated Assault Police Officer Firearm","Male","11"
"2016","2nd Chance Probation","Aggravated Battery","Female","2"
"2016","Conditional Discharge","Aggravated Battery","Male","10"
"2016","Conditional Discharge","Aggravated Battery","Female","4"
"2016","Death","Aggravated Battery","Female","1"
"2016","Jail","Aggravated Battery","Male","8"
"2016","Jail","Aggravated Battery","Female","5"
"2016","Prison","Aggravated Battery","Female","22"
"2016","Prison","Aggravated Battery","Male","144"
"2016","Probation","Aggravated Battery","Female","61"
"2016","Probation","Aggravated Battery","Male","158"
"2016","Probation Terminated Unsatisfactorily","Aggravated Battery","Female","1"
"2016","Supervision","Aggravated Battery","Male","11"
"2016","Supervision","Aggravated Battery","Female","4"
"2016",,"Aggravated Battery","Female","2"
"2016",,"Aggravated Battery","Male","4"
"2016","2nd Chance Probation","Aggravated Battery Police Officer","Male","2"
"2016","Conditional Discharge","Aggravated Battery Police Officer","Male","9"
"2016","Conditional Discharge","Aggravated Battery Police Officer","Female","14"
"2016","Conditional Discharge","Aggravated Battery Police Officer",,"1"
"2016","Cook County Boot Camp","Aggravated Battery Police Officer","Male","2"
"2016","Inpatient Mental Health Services","Aggravated Battery Police Officer","Male","1"
"2016","Jail","Aggravated Battery Police Officer","Female","13"
"2016","Jail","Aggravated Battery Police Officer","Male","28"
"2016","Prison","Aggravated Battery Police Officer","Female","22"
"2016","Prison","Aggravated Battery Police Officer","Male","215"
"2016","Probation","Aggravated Battery Police Officer","Male","136"
"2016","Probation","Aggravated Battery Police Officer","Female","83"
"2016","Supervision","Aggravated Battery Police Officer","Male","16"
"2016","Supervision","Aggravated Battery Police Officer","Female","9"
"2016","Supervision","Aggravated Battery Police Officer",,"1"
"2016",,"Aggravated Battery Police Officer","Male","1"
"2016",,"Aggravated Battery Police Officer","Female","2"
"2016","Prison","Aggravated Battery Police Officer Firearm","Male","2"
"2016","Prison","Aggravated Battery With A Firearm","Female","3"
"2016","Prison","Aggravated Battery With A Firearm","Male","112"
"2016","Probation","Aggravated Battery With A Firearm","Female","1"
"2016","Probation","Aggravated Battery With A Firearm","Male","3"
"2016","Jail","Aggravated Discharge Firearm","Male","3"
"2016","Prison","Aggravated Discharge Firearm","Male","56"
"2016","Prison","Aggravated Discharge Firearm","Female","1"
"2016","Prison","Aggravated Discharge Firearm",,"1"
"2016","Probation","Aggravated Discharge Firearm","Male","8"
"2016","Probation","Aggravated Discharge Firearm","Female","2"
"2016","Conditional Discharge","Aggravated DUI","Male","35"
"2016","Conditional Discharge","Aggravated DUI","Female","4"
"2016","Conditional Discharge","Aggravated DUI",,"1"
"2016","Cook County Boot Camp","Aggravated DUI","Male","5"
"2016","Jail","Aggravated DUI","Male","14"
"2016","Jail","Aggravated DUI","Female","1"
"2016","Prison","Aggravated DUI","Male","438"
"2016","Prison","Aggravated DUI",,"4"
"2016","Prison","Aggravated DUI","Unknown","1"
"2016","Prison","Aggravated DUI","Female","34"
"2016","Probation","Aggravated DUI","Male","802"
"2016","Probation","Aggravated DUI",,"1"
"2016","Probation","Aggravated DUI","Female","120"
"2016","Probation Terminated Instanter","Aggravated DUI","Male","3"
"2016","Probation Terminated Unsatisfactorily","Aggravated DUI","Male","2"
