"office","control_officer","general_fund_type","fund_type","fund","department_number","department_name","business_unit_number","business_unit_name","job_code","job_title","grade","_2016_adopted_fte","_2016_adopted_salary","_2017_dept_req_fte","_2017_dept_req_salary","_2017_pres_rec_fte","_2017_pres_rec_salary"
"Cook County Health & Hospital Systems Board","Cook County Health & Hospital System","Health Fund","Enterprise","Health Fund","240","Cermak Health Services of Cook County","2400101","Administration and Clerical","51","Administrative Assistant V","20","1.0","77413","1.0","74467","1.0","74467"
"Cook County Health & Hospital Systems Board","Cook County Health & Hospital System","Health Fund","Enterprise","Health Fund","240","Cermak Health Services of Cook County","2400101","Administration and Clerical","4828","Ward Clerk","CF","0.0","0.0","1.0","35892","1.0","35892"
"Cook County Health & Hospital Systems Board","Cook County Health & Hospital System","Health Fund","Enterprise","Health Fund","240","Cermak Health Services of Cook County","2400101","Administration and Clerical","6329","Site Administrator-Cermak","24","1.0","173285","1.0","184801","1.0","184801"
"Cook County Health & Hospital Systems Board","Cook County Health & Hospital System","Health Fund","Enterprise","Health Fund","240","Cermak Health Services of Cook County","2400101","Administration and Clerical","6774","Operations Officer-Cermak","24","0.0","0.0","1.0","104000","1.0","104000"
"Cook County Health & Hospital Systems Board","Cook County Health & Hospital System","Health Fund","Enterprise","Health Fund","240","Cermak Health Services of Cook County","2400102","Storerooms","927","Administrative Aide (CCU)","CE","1.0","38618","1.0","40420","1.0","40420"
"Cook County Health & Hospital Systems Board","Cook County Health & Hospital System","Health Fund","Enterprise","Health Fund","240","Cermak Health Services of Cook County","2400102","Storerooms","1234","Storekeeper IV","12","1.0","50580","1.0","55941","1.0","55941"
"Cook County Health & Hospital Systems Board","Cook County Health & Hospital System","Health Fund","Enterprise","Health Fund","240","Cermak Health Services of Cook County","2400102","Storerooms","1242","Storekeeper/Supply Clerk","CC","3.0","106506","3.0","111209","3.0","111209"
"Cook County Health & Hospital Systems Board","Cook County Health & Hospital System","Health Fund","Enterprise","Health Fund","240","Cermak Health Services of Cook County","2400103","Finance","112","Director of Financial Control III","23","1.0","112260","1.0","115250","1.0","115250"
"Cook County Health & Hospital Systems Board","Cook County Health & Hospital System","Health Fund","Enterprise","Health Fund","240","Cermak Health Services of Cook County","2400103","Finance","145","Accountant V","19","1.0","59584","1.0","61928","1.0","61928"
"Cook County Health & Hospital Systems Board","Cook County Health & Hospital System","Health Fund","Enterprise","Health Fund","240","Cermak Health Services of Cook County","2400103","Finance","907","Clerk V","11","1.0","46492","1.0","51210","1.0","51210"
"Cook County Health & Hospital Systems Board","Cook County Health & Hospital System","Health Fund","Enterprise","Health Fund","240","Cermak Health Services of Cook County","2400104","Human Resources","5376","Senior Human Resources Coordinator-CCHHS","22","1.0","69620","0.0","0.0","0.0","0.0"
"Cook County Health & Hospital Systems Board","Cook County Health & Hospital System","Health Fund","Enterprise","Health Fund","240","Cermak Health Services of Cook County","2400104","Human Resources","5827","Human Resources Assistant","14","1.0","36914","0.0","0.0","0.0","0.0"
"Cook County Health & Hospital Systems Board","Cook County Health & Hospital System","Health Fund","Enterprise","Health Fund","240","Cermak Health Services of Cook County","2400104","Human Resources","5840","Recruitment and Selections Analyst","20","1.0","60183","0.0","0.0","0.0","0.0"
"Cook County Health & Hospital Systems Board","Cook County Health & Hospital System","Health Fund","Enterprise","Health Fund","240","Cermak Health Services of Cook County","2400105","Quality Assurance","50","Administrative Assistant IV","18","1.0","74770","1.0","76127","1.0","76127"
"Cook County Health & Hospital Systems Board","Cook County Health & Hospital System","Health Fund","Enterprise","Health Fund","240","Cermak Health Services of Cook County","2400105","Quality Assurance","1135","Project Leader- Data Systems","22","1.0","106798","1.0","107477","1.0","107477"
"Cook County Health & Hospital Systems Board","Cook County Health & Hospital System","Health Fund","Enterprise","Health Fund","240","Cermak Health Services of Cook County","2400105","Quality Assurance","5339","Certified CCL Programmer-CHS","21","3.0","226744","3.0","238984","3.0","238984"
"Cook County Health & Hospital Systems Board","Cook County Health & Hospital System","Health Fund","Enterprise","Health Fund","240","Cermak Health Services of Cook County","2400105","Quality Assurance","5341","Director of Quality Improvement","24","1.0","94651","1.0","99000","1.0","99000"
"Cook County Health & Hospital Systems Board","Cook County Health & Hospital System","Health Fund","Enterprise","Health Fund","240","Cermak Health Services of Cook County","2400105","Quality Assurance","5722","Clinical Performance Improvement Analyst - Cermak","22","0.0","0.0","1.0","108389","1.0","108389"
"Cook County Health & Hospital Systems Board","Cook County Health & Hospital System","Health Fund","Enterprise","Health Fund","240","Cermak Health Services of Cook County","2400105","Quality Assurance","5904","Process Analyst","21","1.0","69547","1.0","73964","1.0","73964"
"Cook County Health & Hospital Systems Board","Cook County Health & Hospital System","Health Fund","Enterprise","Health Fund","240","Cermak Health Services of Cook County","2400106","Human Resources","5827","Human Resources Assistant","14","0.0","0.0","1.0","38103","1.0","38103"
"Cook County Health & Hospital Systems Board","Cook County Health & Hospital System","Health Fund","Enterprise","Health Fund","240","Cermak Health Services of Cook County","2400106","Human Resources","5840","Recruitment and Selections Analyst","20","0.0","0.0","1.0","62261","1.0","62261"
"Cook County Health & Hospital Systems Board","Cook County Health & Hospital System","Health Fund","Enterprise","Health Fund","240","Cermak Health Services of Cook County","2400107","Information Technology Department","1111","Systems Analyst II","18","1.0","62413","1.0","66972","1.0","66972"
"Cook County Health & Hospital Systems Board","Cook County Health & Hospital System","Health Fund","Enterprise","Health Fund","240","Cermak Health Services of Cook County","2400107","Information Technology Department","1122","Data Entry Manager","14","1.0","59898","1.0","61858","1.0","61858"
"Cook County Health & Hospital Systems Board","Cook County Health & Hospital System","Health Fund","Enterprise","Health Fund","240","Cermak Health Services of Cook County","2400108","Patient Scheduling & Administrative Support","48","Administrative Assistant III","16","1.0","49958","1.0","56071","1.0","56071"
"Cook County Health & Hospital Systems Board","Cook County Health & Hospital System","Health Fund","Enterprise","Health Fund","240","Cermak Health Services of Cook County","2400108","Patient Scheduling & Administrative Support","907","Clerk V","11","3.0","146405","3.0","151942","3.0","151942"
"Cook County Health & Hospital Systems Board","Cook County Health & Hospital System","Health Fund","Enterprise","Health Fund","240","Cermak Health Services of Cook County","2400108","Patient Scheduling & Administrative Support","941","Clerk Typist Senior","09","1.0","40180","0.0","0.0","0.0","0.0"
"Cook County Health & Hospital Systems Board","Cook County Health & Hospital System","Health Fund","Enterprise","Health Fund","240","Cermak Health Services of Cook County","2400201","Medical Records","907","Clerk V","11","6.0","278428","5.0","254870","5.0","254870"
"Cook County Health & Hospital Systems Board","Cook County Health & Hospital System","Health Fund","Enterprise","Health Fund","240","Cermak Health Services of Cook County","2400201","Medical Records","1687","Assistant Administrator","23","1.0","107867","1.0","114893","1.0","114893"
"Cook County Health & Hospital Systems Board","Cook County Health & Hospital System","Health Fund","Enterprise","Health Fund","240","Cermak Health Services of Cook County","2400201","Medical Records","2007","Medical Records Unit Manager","18","1.0","75700","1.0","77837","1.0","77837"
"Cook County Health & Hospital Systems Board","Cook County Health & Hospital System","Health Fund","Enterprise","Health Fund","240","Cermak Health Services of Cook County","2400301","Pharmacy","47","Administrative Assistant II","14","1.0","61067","0.0","0.0","0.0","0.0"
"Cook County Health & Hospital Systems Board","Cook County Health & Hospital System","Health Fund","Enterprise","Health Fund","240","Cermak Health Services of Cook County","2400301","Pharmacy","1242","Storekeeper/Supply Clerk","CC","1.0","36962","1.0","38172","1.0","38172"
"Cook County Health & Hospital Systems Board","Cook County Health & Hospital System","Health Fund","Enterprise","Health Fund","240","Cermak Health Services of Cook County","2400301","Pharmacy","1680","Supervisor of Pharmacy","15","1.0","49296","1.0","52189","1.0","52189"
"Cook County Health & Hospital Systems Board","Cook County Health & Hospital System","Health Fund","Enterprise","Health Fund","240","Cermak Health Services of Cook County","2400301","Pharmacy","1874","Director Of Pharmacy II","24","1.0","156658","1.0","160581","1.0","160581"
"Cook County Health & Hospital Systems Board","Cook County Health & Hospital System","Health Fund","Enterprise","Health Fund","240","Cermak Health Services of Cook County","2400301","Pharmacy","1876","Assistant Director Of Pharmacy","24","1.0","134911","1.0","141048","1.0","141048"
"Cook County Health & Hospital Systems Board","Cook County Health & Hospital System","Health Fund","Enterprise","Health Fund","240","Cermak Health Services of Cook County","2400301","Pharmacy","1878","Pharmacist","RX1","9.0","1046151","10.0","1279092","10.0","1279092"
