"link","report_date","fiscal_year","quarter"
"OCA FY22 1st Quarter Open Recommendations (http://opendocs.cookcountyil.gov/auditor/quarterly-open-findings/FY22-1stQuarter-OpenRecommendationStatusReport.pdf)","2022-02-17T00:00:00.000","2022-01-01T00:00:00.000","1"
"OCA – FPD FY21 4th Quarter Open Recommendations (http://opendocs.cookcountyil.gov/auditor/quarterly-open-findings/Forest_Preserve_District_December_2021_Open_Recommendations.pdf)","2021-12-06T00:00:00.000","2021-01-01T00:00:00.000","4"
"OCA FY21 3rd Quarter Open Recommendations (http://opendocs.cookcountyil.gov/auditor/quarterly-open-findings/FY21-3rdQuarter-OpenRecommendationStatusReport.pdf)","2021-09-17T00:00:00.000","2021-01-01T00:00:00.000","3"
"OCA – FPD FY21 3rd Quarter Open Recommendations (http://opendocs.cookcountyil.gov/auditor/quarterly-open-findings/FPD-FY21-3rdQuarter-OpenRecommendationStatusReport.pdf)","2021-09-09T00:00:00.000","2021-01-01T00:00:00.000","3"
"OCA FY21 2nd Quarter Open Recommendations (http://opendocs.cookcountyil.gov/auditor/quarterly-open-findings/FY21-2ndQuarter-OpenRecommendationStatusReport.pdf)","2021-05-10T00:00:00.000","2021-01-01T00:00:00.000","2"
"OCA – FPD FY21 2nd Quarter Open Recommendation (http://opendocs.cookcountyil.gov/auditor/quarterly-open-findings/Forest_Preserve_District_May_2021_Open_Recommendations.pdf)","2021-04-30T00:00:00.000","2021-01-01T00:00:00.000","2"
"OCA – FPD FY21 1st Quarter Open Recommendation (http://opendocs.cookcountyil.gov/auditor/quarterly-open-findings/Final_Forest_Preserve_District_February_2021_Open_Recommendations.pdf)","2021-02-03T00:00:00.000","2021-01-01T00:00:00.000","1"
"OCA – FPD FY20 4th Quarter Open Recommendation (http://opendocs.cookcountyil.gov/auditor/quarterly-open-findings/Final_Forest_Preserve_District_November_2020_Open_Recommendations.pdf)","2020-11-13T00:00:00.000","2020-01-01T00:00:00.000","4"
"OCA FY20 4th Quarter Open Recommendation (http://opendocs.cookcountyil.gov/auditor/quarterly-open-findings/November_2020_-_Open_Recommendations.pdf)","2020-11-10T00:00:00.000","2020-01-01T00:00:00.000","4"
"OCA FY20 3rd Quarter Open Recommendation (http://opendocs.cookcountyil.gov/auditor/quarterly-open-findings/August_2020_-_Open_Recommendations.pdf)","2020-08-27T00:00:00.000","2020-01-01T00:00:00.000","3"
"OCA – FPD FY20 3rd Quarter Open Recommendation (http://opendocs.cookcountyil.gov/auditor/quarterly-open-findings/July_FPD_Final_Report_-_Open_Recommedations.pdf)","2020-07-31T00:00:00.000","2020-01-01T00:00:00.000","3"
"OCA FY18 2nd Quarter Open Recommendations (http://opendocs.cookcountyil.gov/auditor/quarterly-open-findings/FY18-2ndQuarter-OpenRecommendationStatusReport.pdf)","2018-06-19T00:00:00.000","2018-01-01T00:00:00.000","2"
