"year","section","sub_section","district_or_place_of_residence","age_group_of_mother","race_ethnicity","number","population","rate"
"2000","Birth and Fertility","Crude Birth Rate","Worth","a) All Ages","All Race/Ethn","143","11047","12.9"
"2000","Birth and Fertility","Crude Birth Rate","Winnetka","a) All Ages","All Race/Ethn","144","12419","11.6"
"2000","Birth and Fertility","Crude Birth Rate","Wilmette","a) All Ages","All Race/Ethn","292","27651","10.6"
"2000","Birth and Fertility","Crude Birth Rate","Willow Springs","a) All Ages","All Race/Ethn","52","5027","10.3"
"2000","Birth and Fertility","Crude Birth Rate","Wheeling","a) All Ages","All Race/Ethn","562","34496","16.3"
"2000","Birth and Fertility","Crude Birth Rate","Western Springs","a) All Ages","All Race/Ethn","157","12493","12.6"
"2000","Birth and Fertility","Crude Birth Rate","Westchester","a) All Ages","All Race/Ethn","211","16824","12.5"
"2000","Birth and Fertility","Crude Birth Rate","Tinley Park","a) All Ages","All Race/Ethn","572","45887","12.5"
"2000","Birth and Fertility","Crude Birth Rate","Thornton","a) All Ages","All Race/Ethn","19","2582",
"2000","Birth and Fertility","Crude Birth Rate","Summit","a) All Ages","All Race/Ethn","166","10637","15.6"
"2000","Birth and Fertility","Crude Birth Rate","Streamwood","a) All Ages","All Race/Ethn","688","36407","18.899999999999999"
"2000","Birth and Fertility","Crude Birth Rate","Stone Park","a) All Ages","All Race/Ethn","111","5127","21.7"
"2000","Birth and Fertility","Crude Birth Rate","Stickney","a) All Ages","All Race/Ethn","60","6148","9.8000000000000007"
"2000","Birth and Fertility","Crude Birth Rate","Steger","a) All Ages","All Race/Ethn","58","4046","14.3"
"2000","Birth and Fertility","Crude Birth Rate","South Holland","a) All Ages","All Race/Ethn","235","22147","10.6"
"2000","Birth and Fertility","Crude Birth Rate","South Barrington","a) All Ages","All Race/Ethn","17","3760",
"2000","Birth and Fertility","Crude Birth Rate","Skokie","a) All Ages","All Race/Ethn","588","63348","9.3000000000000007"
"2000","Birth and Fertility","Crude Birth Rate","Schiller Park","a) All Ages","All Race/Ethn","163","11850","13.8"
"2000","Birth and Fertility","Crude Birth Rate","S Chicago Heights","a) All Ages","All Race/Ethn","39","3970","9.8000000000000007"
"2000","Birth and Fertility","Crude Birth Rate","Schaumburg","a) All Ages","All Race/Ethn","1007","75386","13.4"
"2000","Birth and Fertility","Crude Birth Rate","Sauk Village","a) All Ages","All Race/Ethn","181","10411","17.399999999999999"
"2000","Birth and Fertility","Crude Birth Rate","Rosemont","a) All Ages","All Race/Ethn","74","4224","17.5"
"2000","Birth and Fertility","Crude Birth Rate","Roselle","a) All Ages","All Race/Ethn","54","3460","15.6"
"2000","Birth and Fertility","Crude Birth Rate","Rolling Meadows","a) All Ages","All Race/Ethn","361","24604","14.7"
"2000","Birth and Fertility","Crude Birth Rate","Robbins","a) All Ages","All Race/Ethn","137","6635","20.6"
"2000","Birth and Fertility","Crude Birth Rate","Riverside","a) All Ages","All Race/Ethn","109","8895","12.3"
"2000","Birth and Fertility","Crude Birth Rate","River Grove","a) All Ages","All Race/Ethn","128","10668","12"
"2000","Birth and Fertility","Crude Birth Rate","River Forest","a) All Ages","All Race/Ethn","116","11635","10"
"2000","Birth and Fertility","Crude Birth Rate","Riverdale","a) All Ages","All Race/Ethn","311","15055","20.7"
"2000","Birth and Fertility","Crude Birth Rate","Richton Park","a) All Ages","All Race/Ethn","220","12533","17.600000000000001"
"2000","Birth and Fertility","Crude Birth Rate","Prospect Heights","a) All Ages","All Race/Ethn","288","17081","16.899999999999999"
"2000","Birth and Fertility","Crude Birth Rate","Posen","a) All Ages","All Race/Ethn","71","4730","15"
"2000","Birth and Fertility","Crude Birth Rate","Phoenix","a) All Ages","All Race/Ethn","48","2157","22.3"
"2000","Birth and Fertility","Crude Birth Rate","Park Ridge","a) All Ages","All Race/Ethn","383","37775","10.1"
"2000","Birth and Fertility","Crude Birth Rate","Park Forest","a) All Ages","All Race/Ethn","281","20248","13.9"
"2000","Birth and Fertility","Crude Birth Rate","Palos Park","a) All Ages","All Race/Ethn","64","4689","13.6"
"2000","Birth and Fertility","Crude Birth Rate","Palos Hills","a) All Ages","All Race/Ethn","195","17665","11"
"2000","Birth and Fertility","Crude Birth Rate","Palos Heights","a) All Ages","All Race/Ethn","105","11260","9.3000000000000007"
"2000","Birth and Fertility","Crude Birth Rate","Palatine","a) All Ages","All Race/Ethn","1141","65479","17.399999999999999"
"2000","Birth and Fertility","Crude Birth Rate","Orland Park","a) All Ages","All Race/Ethn","0","51071",
"2000","Birth and Fertility","Crude Birth Rate","Orland Hills","a) All Ages","All Race/Ethn","646","6779","95.3"
"2000","Birth and Fertility","Crude Birth Rate","Olympia Fields","a) All Ages","All Race/Ethn","22","4732","4.5999999999999996"
"2000","Birth and Fertility","Crude Birth Rate","Oak Park","a) All Ages","All Race/Ethn","746","52524","14.2"
"2000","Birth and Fertility","Crude Birth Rate","Oak Lawn","a) All Ages","All Race/Ethn","570","55245","10.3"
"2000","Birth and Fertility","Crude Birth Rate","Oak Forest","a) All Ages","All Race/Ethn","399","28051","14.2"
