"company_name","project","milestone","status","due_date","overdue_by_days_","date_completed"
"CC Health & Hospitals System","Clean Steam Piping Replacement","95% CDs (contingent on IDPH review being complete)","new","2011-11-04T07:00:00.000Z",,
"CC Health & Hospitals System","Clean Steam Piping Replacement","95% County CD Review","new","2011-11-16T08:00:00.000Z",,
"CC Health & Hospitals System","Clean Steam Piping Replacement","Advertise for Bid (contingent on Purchasing Approval)","new","2011-11-22T08:00:00.000Z",,
"CC Health & Hospitals System","Clean Steam Piping Replacement","PreBid Conference & Site Inspection","new","2011-12-15T08:00:00.000Z",,
"CC Health & Hospitals System","Clean Steam Piping Replacement","Bid Opening (contingent on 2012 Bid Opening Dates being confirmed)","new","2012-01-11T08:00:00.000Z",,
"CC Health & Hospitals System","Clean Steam Piping Replacement","Bid Review, Award & Execution of Contract for Work","new","2012-02-07T08:00:00.000Z",,
"CC Health & Hospitals System","Clean Steam Piping Replacement","Start Project: GC obtain Hosp IDs and Permits","new","2012-04-06T07:00:00.000Z",,
"CC Health & Hospitals System","Clean Steam Piping Replacement","Issue Notice to Proceed","new","2012-04-10T07:00:00.000Z",,
"CC Health & Hospitals System","Clean Steam Piping Replacement","Project Substantial Completion (Contingent on JSH ability to conform to phasing plan)","new","2013-04-10T07:00:00.000Z",,
"CC Health & Hospitals System","Clean Steam Piping Replacement","Punch list, Final Completion & Closeout","reopened","2013-06-29T07:00:00.000Z",,
