"month_number","month","closing_date","posting_number","job_code","job_title","number_of_applicants"
"2","February","2010-02-16T08:00:00.000Z","101686","144","Accountant IV-INTERNAL","1"
"2","February","2010-02-16T08:00:00.000Z","101687","144","Accountant IV- EXTERNAL","19"
"2","February","2010-02-16T08:00:00.000Z","101688","835","Law Librarian I - INTERNAL","1"
"2","February","2010-02-16T08:00:00.000Z","101689","835","LAW LIBRARIAN I - EXTERNAL","12"
"2","February","2010-02-16T08:00:00.000Z","101690","907","CLERK V-INTERNAL","7"
"2","February","2010-02-16T08:00:00.000Z","101691","907","CLERK V -EXTERNAL","112"
"2","February","2010-02-16T08:00:00.000Z","101692","50","ADMINISTRATIVE ASSISTANT IV-INTERNAL","0"
"2","February","2010-02-16T08:00:00.000Z","101693","50","ADMINISTRATIVE ASSISTANT IV -EXTERNAL","21"
"2","February","2010-02-16T08:00:00.000Z","101694","906","CLERK IV-INTERNAL","2"
"2","February","2010-02-16T08:00:00.000Z","101695","906","CLERK IV-EXTERNAL","116"
"3","March","2010-03-25T07:00:00.000Z","101732","906","CLERK-IV","99"
"3","March","2010-03-25T07:00:00.000Z","101733","679","Assistant Public Defender (Supervisor)    ","30"
"3","March","2010-03-25T07:00:00.000Z","101734","681","Assistant Public Defender (Supervisor) ","13"
"4","April","2010-04-01T07:00:00.000Z","101736","132","FIELD AUDITOR III","28"
"4","April","2010-04-01T07:00:00.000Z","101738","1513","CASEWORKER III","40"
"4","April","2010-04-01T07:00:00.000Z","101739","77","HUMAN RIGHTS INVESTIGATOR I","69"
"4","April","2010-04-01T07:00:00.000Z","101740","2310","BOILERMAKER WELDER","22"
"4","April","2010-04-01T07:00:00.000Z","101741","2207","HIGHWAY ENGINEER V","6"
"4","April","2010-04-22T07:00:00.000Z","101766","51","ADMINISTRATIVE ASSISTANT V","67"
"4","April","2010-04-22T07:00:00.000Z","101767","47","ADMINISTRATIVE ASSISTANT II","43"
"4","April","2010-04-29T07:00:00.000Z","101768","5364","GRANT WRITTER","8"
"5","May","2010-05-10T07:00:00.000Z","101801","145","ACCOUNTANT V","4"
"5","May","2010-05-10T07:00:00.000Z","101802","170","PLANNER IV","17"
"5","May","2010-05-10T07:00:00.000Z","101804","47","ADMINISTRATIVE ASSISTANT II","33"
"5","May","2010-05-10T07:00:00.000Z","101805","133","ACCOUNTANT III","11"
"5","May","2010-05-20T07:00:00.000Z","101814","293","ADMINISTRATIVE ANALYST III","31"
"5","May","2010-05-24T07:00:00.000Z","101819","1135","PROJECT LEADER-DATA SYSTEMS","5"
"6","June","2010-06-24T07:00:00.000Z","101852","1857","TOXICOLOGIST I","6"
"6","June","2010-06-24T07:00:00.000Z","101853","1839","TOXICOLOGISTII -PROMO","3"
"6","June","2010-06-24T07:00:00.000Z","101855","4874","PHOTO TECHNICIAN III -EXT","9"
"7","July","2010-07-22T07:00:00.000Z","101915","1111","SYSTEM ANALYST II","16"
"7","July","2010-07-22T07:00:00.000Z","101918","5364","GRANT PROPOSAL WRITER","29"
"7","July","2010-07-26T07:00:00.000Z","101919","2331","MACHINIST","14"
"7","July","2010-07-26T07:00:00.000Z","101921","2372","ROAD EQUIPMENT OPERATOR","25"
"8","August","2010-08-31T07:00:00.000Z","27118","1217","Purchasing Systems Coordinator  ","28"
"9","September","2010-09-09T07:00:00.000Z","37643","679","Assistant Public Defender (Supervisor)  ","27"
"10","October","2010-10-04T07:00:00.000Z","40830","48","Administrative Assistant III        ","107"
"10","October","2010-10-15T07:00:00.000Z","51192","170","Planner IV","25"
"10","October","2010-10-18T07:00:00.000Z","51405","137","Auditor V","2"
"10","October","2010-10-15T07:00:00.000Z","51838","144","Accountant IV","7"
"10","October","2010-10-15T07:00:00.000Z","61448","170","Planner IV","25"
"10","October","2010-10-22T07:00:00.000Z","64328","857","Employment Training Specialist II ","8"
"10","October","2010-10-22T07:00:00.000Z","64568","857","Employment Training Specialist II ","9"
"10","October","2010-10-26T07:00:00.000Z","64808","802","Assistant Grants Coordinator ","42"
"12","December","2010-12-03T08:00:00.000Z","65048","802","Assistant Grants Coordinator ","30"
"10","October","2010-10-28T07:00:00.000Z","65528","143","Accountant III","1"
"10","October","2010-10-29T07:00:00.000Z","67208","176","Planner III","18"
"10","October","2010-10-29T07:00:00.000Z","75848","176","Planner III","17"
"11","November","2010-11-04T07:00:00.000Z","86168","5462","EMA Pre-Disaster Mitigation Project Manager      ","16"
"11","November","2010-11-08T08:00:00.000Z","86408","2375","Road Maintenance Supervisor","9"
"11","November","2010-11-16T08:00:00.000Z","90968","2371","Motor Vehicle Driver","162"
"11","November","2010-11-01T07:00:00.000Z","91448","1850","Research Associate","134"
"11","November","2010-11-30T08:00:00.000Z","101288","5502","Web Developer II","1"
"11","November","2010-11-29T08:00:00.000Z","101528","4717","Emergency Management Assistance Resource & Preparation Manager ","7"
"12","December","2010-12-03T08:00:00.000Z","103688","47","Administrative Assistant II   ","24"
"12","December","2010-12-03T08:00:00.000Z","103928","47","Administrative Assistant II   ","23"
