"registration_account","company","tax_type","address_line_1","address_line_2","city","state","zip_code","location"
"21003878","BASS PRO OUTDOOR WORLD, LLC","FIREARM AND AMMUNITION TAX / FIREARMS RETAILER","5225 PRAIRIE STONE PKWY",,"HOFFMAN ESTATES","IL","60192 - 3709","POINT (-88.207949 42.072802)"
"10818702","CABELA'S RETAIL IL, INC.","FIREARM AND AMMUNITION TAX / FIREARMS RETAILER","5225 PRAIRE STONE PARKWAY",,"HOFFMAN ESTATES","IL","60192",
"11114523","CHECK YOUR 6 INC.","FIREARM AND AMMUNITION TAX / FIREARMS RETAILER","1204 E CENTRAL RD LOWR LEVEL",,"ARLINGTON HEIGHTS","IL","60005 - 2890","POINT (-87.968268 42.066464)"
"10845028","CHUCK'S GUN SHOP","FIREARM AND AMMUNITION TAX / FIREARMS RETAILER","14310 S. INDIANA AVE",,"RIVERDALE","IL","60827","POINT (-87.617218 41.634856)"
"11107245","CONDITION YELLOW ACADEMY INC","FIREARM AND AMMUNITION TAX / FIREARMS RETAILER","601 CAMPUS DR, UNIT C1",,"ARLINGTON HEIGHTS","IL","60004","POINT (-87.991298 42.13467)"
"10843688","DANIELS FINER FIREARMS","FIREARM AND AMMUNITION TAX / FIREARMS RETAILER","16800 CHICAGO AVE., UNIT D",,"LANSING","IL","60438","POINT (-87.544271 41.590034)"
"10843691","DICK'S SPORTING GOODS","FIREARM AND AMMUNITION TAX / FIREARMS RETAILER","601 N. MARTINGDALE, STE. 195",,"SCHAUMBURG","IL","60173",
"10843690","DICK'S SPORTING GOODS","FIREARM AND AMMUNITION TAX / FIREARMS RETAILER","401 E. PALATINE ROAD",,"ARLINGTON HEIGHTS","IL","60004","POINT (-87.977122 42.109729)"
"11125641","DICK'S SPORTING GOODS INC","FIREARM AND AMMUNITION TAX / FIREARMS RETAILER","275 SKOKIE BLVD",,"NORTHBROOK","IL","60062","POINT (-87.798109 42.147537)"
"10843692","DICK'S SPORTIN GOODS","FIREARM AND AMMUNITION TAX / FIREARMS RETAILER","5601 TOUHY AVE",,"NILES","IL","60714","POINT (-87.76857 42.011887)"
"11115710","EAGLE GUN CLUB LLC","FIREARM AND AMMUNITION TAX / FIREARMS RETAILER","5900 W. 159TH STREET",,"OAK FOREST","IL","60452","POINT (-87.761599 41.60286)"
"11127889","ERNIE'S ARMS ACCESSORIES","FIREARM AND AMMUNITION TAX / FIREARMS RETAILER","9045 S. 51ST AVE",,"OAK LAWN","IL","60453","POINT (-87.748257 41.727315)"
"11118468","EVANSTON GOLF CLUB","FIREARM AND AMMUNITION TAX / FIREARMS RETAILER","4401 DEMPSTER ST",,"SKOKIE","IL","60076","POINT (-87.735617 42.04069)"
"10843684","FRANK'S FIREARM & ASSCESSORIES INC.","FIREARM AND AMMUNITION TAX / FIREARMS RETAILER","3038 ATLANTIC",,"FRANKLIN PARK","IL","60131","POINT (-87.869067 41.934313)"
"10843675","FREDDIE BEAR SPORTS LLC","FIREARM AND AMMUNITION TAX / FIREARMS RETAILER","17250 OAK PARK AVE",,"TINLEY PARK","IL","60477 - 3402","POINT (-87.784441 41.577408)"
"21003860","FULL METAL ARMS, LLC","FIREARM AND AMMUNITION TAX / FIREARMS RETAILER","1978 RIDGEMORE DR",,"BARTLETT","IL","60103 - 1319","POINT (-88.250603 41.991415)"
"10843970","GLENWOOD GUN & PISTOL RANGE","FIREARM AND AMMUNITION TAX / FIREARMS RETAILER","135 E. MAIN ST",,"GLENWOOD","IL","60425","POINT (-87.608263 41.542899)"
"10844758","GREGORY D. CARRIGLIO","FIREARM AND AMMUNITION TAX / FIREARMS RETAILER","10753 COOK AVE",,"OAK LAWN","IL","60453","POINT (-87.751503 41.695866)"
