"year","sentencing_result","offense_type","race","defendant_count"
"2016","Jail","Aggravated Assault Police Officer","Black","1"
"2016","Prison","Aggravated Assault Police Officer","White","2"
"2016","Prison","Aggravated Assault Police Officer","White [Hispanic or Latino]","1"
"2016","Prison","Aggravated Assault Police Officer","Black","17"
"2016","Probation","Aggravated Assault Police Officer","Black","7"
"2016","Probation","Aggravated Assault Police Officer","White [Hispanic or Latino]","1"
"2016","Probation","Aggravated Assault Police Officer","Asian","1"
"2016","Probation","Aggravated Assault Police Officer","White","4"
"2016","Supervision","Aggravated Assault Police Officer","White","2"
"2016","Prison","Aggravated Assault Police Officer Firearm","Black","9"
"2016","Prison","Aggravated Assault Police Officer Firearm","White [Hispanic or Latino]","2"
"2016","2nd Chance Probation","Aggravated Battery","Black","2"
"2016","Conditional Discharge","Aggravated Battery","White","6"
"2016","Conditional Discharge","Aggravated Battery","White [Hispanic or Latino]","2"
"2016","Conditional Discharge","Aggravated Battery","Black","6"
"2016","Death","Aggravated Battery","Black","1"
"2016","Jail","Aggravated Battery","White [Hispanic or Latino]","1"
"2016","Jail","Aggravated Battery","White","4"
"2016","Jail","Aggravated Battery","Black","8"
"2016","Prison","Aggravated Battery","HISPANIC","1"
"2016","Prison","Aggravated Battery","White/Black [Hispanic or Latino]","2"
"2016","Prison","Aggravated Battery","Black","99"
"2016","Prison","Aggravated Battery","White [Hispanic or Latino]","29"
"2016","Prison","Aggravated Battery","Asian","3"
"2016","Prison","Aggravated Battery","White","32"
"2016","Probation","Aggravated Battery","White [Hispanic or Latino]","52"
"2016","Probation","Aggravated Battery","Black","105"
"2016","Probation","Aggravated Battery","HISPANIC","5"
"2016","Probation","Aggravated Battery","White","56"
"2016","Probation","Aggravated Battery","Asian","1"
"2016","Probation Terminated Unsatisfactorily","Aggravated Battery","Black","1"
"2016","Supervision","Aggravated Battery","HISPANIC","2"
"2016","Supervision","Aggravated Battery","Black","4"
"2016","Supervision","Aggravated Battery","White","8"
"2016","Supervision","Aggravated Battery","White [Hispanic or Latino]","1"
"2016",,"Aggravated Battery","White","1"
"2016",,"Aggravated Battery","Asian","1"
"2016",,"Aggravated Battery","Black","4"
"2016","2nd Chance Probation","Aggravated Battery Police Officer","Black","1"
