"precinct","polling_place_id","polling_place_location_name","accessible","address","city","zip","location"
"7000001","1","COMMUNITY CHURCH OF BARRINGTON","YES","301 E LINCOLN AVE ","BARRINGTON","60010","301 E LINCOLN AVE
BARRINGTON, IL 60010
(42.15143158100045, -88.13263087399969)"
"7000002","3366","BARRINGTON VILLAGE HALL","YES","200 S HOUGH ST ","BARRINGTON","60010","200 S HOUGH ST
BARRINGTON, IL 60010
(42.155739963000485, -88.13615800899964)"
"7000003","3","GROVE AVENUE ELEMENTARY SCHOOL","YES","900 S GROVE AVE ","BARRINGTON","60010","900 S GROVE AVE
BARRINGTON, IL 60010
(42.14281436900046, -88.13295609899967)"
"7000004","10","WILLOW CREEK COMMUNITY CHURCH","YES","67 E ALGONQUIN RD ","SOUTH BARRINGTON","60010","67 E ALGONQUIN RD
SOUTH BARRINGTON, IL 60010
(42.09575565500046, -88.13508716099966)"
"7000005","3636","THE PRESBYTERIAN CHURCH","YES","6  BRINKER RD ","BARRINGTON","60010","6 BRINKER RD
BARRINGTON, IL 60010
(42.153074097000456, -88.17524954599969)"
"7000006","3691","ST MICHAELS EPISCOPAL CHURCH","YES","647  DUNDEE AVE ","BARRINGTON","60010","647 DUNDEE AVE
BARRINGTON, IL 60010
(42.14722306400046, -88.14087513499965)"
"7000007","7","BARRINGTON HILLS VILLAGE HALL","YES","112  ALGONQUIN RD ","BARRINGTON","60010","112 ALGONQUIN RD
BARRINGTON, IL 60010
(42.114282655000466, -88.18251307799966)"
"7000008","10","WILLOW CREEK COMMUNITY CHURCH","YES","67 E ALGONQUIN RD ","SOUTH BARRINGTON","60010","67 E ALGONQUIN RD
SOUTH BARRINGTON, IL 60010
(42.09575565500046, -88.13508716099966)"
"7000009","3691","ST MICHAELS EPISCOPAL CHURCH","YES","647  DUNDEE AVE ","BARRINGTON","60010","647 DUNDEE AVE
BARRINGTON, IL 60010
(42.14722306400046, -88.14087513499965)"
"7000010","10","WILLOW CREEK COMMUNITY CHURCH","YES","67 E ALGONQUIN RD ","SOUTH BARRINGTON","60010","67 E ALGONQUIN RD
SOUTH BARRINGTON, IL 60010
(42.09575565500046, -88.13508716099966)"
"7000011","10","WILLOW CREEK COMMUNITY CHURCH","YES","67 E ALGONQUIN RD ","SOUTH BARRINGTON","60010","67 E ALGONQUIN RD
SOUTH BARRINGTON, IL 60010
(42.09575565500046, -88.13508716099966)"
"7000012","10","WILLOW CREEK COMMUNITY CHURCH","YES","67 E ALGONQUIN RD ","SOUTH BARRINGTON","60010","67 E ALGONQUIN RD
SOUTH BARRINGTON, IL 60010
(42.09575565500046, -88.13508716099966)"
"7100001","129","FLOSSMOOR COMMUNITY CHURCH","YES","847  HUTCHISON RD ","FLOSSMOOR","60422","847 HUTCHISON RD
FLOSSMOOR, IL 60422
(41.54684076100045, -87.67047029699967)"
"7100002","2616","FAITH EVANGELICAL LUTHERAN CHURCH","YES","18645  DIXIE HWY ","HOMEWOOD","60430","18645 DIXIE HWY
HOMEWOOD, IL 60430
(41.551031615000454, -87.66513839999965)"
