"fiscal_year","department","program","expense_category","expense_type","adopted_budget_amount","revised_budget_amount","encumbrances_amount","actuals_amount","total_obligations_amount","fund_code","org_code","department_code"
"2019","Public Works","Recycling","OPEB PreFund","Personnel Cost","0","0","0","-6267","-6267","202","20260430","60"
"2019","Transportation","Equipment Maintenance","Retiree Medical P","Personnel Cost","153630","153630","0","179914.99","179914.99","308","30870400","70"
"2021","Administration","City Council","Public Notices/Ad","Operations/Maintenance","0","0","0","1099.75","1099.75","101","10110000","10"
"2021","Community Development","Neighborhood Preservation","Public Notices/Ad","Operations/Maintenance","0","0","0","294.43","294.43","101","10150500","50"
"2019","Police","Operating Bureaus","Sal/Spc Comp/OT","Personnel Cost","19033248","19416397","0","18750756.17","18750756.17","101","10140200","40"
"2020","Public Works","Electrical Maintenance","Retiree Medical P","Personnel Cost","53590","53590","0","43694.42","43694.42","101","10160240","60"
"2023","Projects","Projects","Contract Services","Operations/Maintenance","0","0","15000","0","15000","434","43480000","CP"
"2020","Police","SelectiveTrafficEnforc:OTSFY20","Sal/Spc Comp/OT","Personnel Cost","0","0","0","29306.2","29306.2","414","41440931","40"
"2021","Administrative Services","Premium/Claims","Claims/Settlemnts","Operations/Maintenance","2900000","3120000","0","2824560.82","2824560.82","309","30922220","22"
"2020","Non-Departmental","Non-Departmental","Other O&M","Operations/Maintenance","65000","65000","0","10779.73","10779.73","310","31016100","16"
"2020","City Clerk","City Clerk","Repair-Maint","Operations/Maintenance","0","0","0","0","0","101","10111100","11"
"2020","Parks Recreation & Comm Svs","Senior Nutrition - CI","Contract Services","Operations/Maintenance","116584","161367.7","0","158710.8","158710.8","414","41430410","30"
"2023","Administration","City Manager","Workers Comp","Personnel Cost","0","0","0","-3657.17","-3657.17","101","10110100","10"
"2019","Administrative Services","Risk Management","Pension Expenses","Personnel Cost","49495","49495","0","196977.33","196977.33","309","30922200","22"
"2019","Transportation","Equipment Maintenance","Pension Expenses","Personnel Cost","722676","722676","0","1062775.07","1062775.07","308","30870400","70"
"2019","Parks Recreation & Comm Svs","Veteran's Memorial Complex","Sal/Spc Comp/OT","Personnel Cost","318333","318333","0","332252.58","332252.58","101","10130110","30"
"2020","Fire","Emergency Preparedness","Office Supp&Exp","Operations/Maintenance","16188","16188","0","1318.99","1318.99","101","10145400","45"
"2021","Non-Departmental","Non-Departmental","Other","Capital/Other","-1640000","-2664975","0","26892","26892","101","10116100","16"
"2020","Police","Operating Bureaus","Public Notices/Ad","Operations/Maintenance","2500","5500","0","4430.53","4430.53","101","10140200","40"
"2022","Community Development","Building Safety","Contract Services","Operations/Maintenance","305964","1819034.81","10125","1708350.06","1718475.06","101","10150150","50"
"2020","Transportation","Transportation Admin","Contract Services","Operations/Maintenance","417464","3179694.61","0","632503.95","632503.95","203","20370100","70"
"2023","Parks Recreation & Comm Svs","Community Events & Excursions","Workers Comp","Personnel Cost","0","0","0","-34.58","-34.58","101","10130280","30"
"2020","Public Works","Electrical Maintenance","Contract Services","Operations/Maintenance","238250","297118.01","0","139921.49","139921.49","101","10160240","60"
"2019","Transportation","Transportation Admin","OPEB PreFund","Personnel Cost","29207","29207","0","-7350","-7350","203","20370100","70"
"2020","Community Development","Current Planning","Office Supp&Exp","Operations/Maintenance","18910","18910","0","9841.41","9841.41","101","10150200","50"
"2017","Transportation","Para Transit Services","Travel/Trng/Dues","Operations/Maintenance","3000","3000","0","0","0","414","41470420","70"
"2022","Public Works","Transfer Station - Admin","Contract Services","Operations/Maintenance","124946","113449","0","66232.38","66232.38","202","20260410","60"
"2019","Public Works","Engineering","Retiree Medical P","Personnel Cost","83010","83010","0","74278.67","74278.67","101","10160150","60"
"2023","Finance","General Accounting","Workers Comp","Personnel Cost","0","0","0","-3016.83","-3016.83","101","10114200","14"
"2020","Community Development","Homeless Program","Contract Services","Operations/Maintenance","0","140794.07","0","20183.87","20183.87","476","47650910","50"
"2023","Transportation","Transportation Operations","Repair-Maint","Operations/Maintenance","0","0","49753.48","28491.97","78245.45","203","20370200","70"
"2023","Public Works","Electrical Maintenance","Workers Comp","Personnel Cost","0","0","0","-5002.5","-5002.5","101","10160240","60"
"2020","Parks Recreation & Comm Svs","Pool and Aquatics Programs","Capital","Capital/Other","0","50750.92","0","39365.17","39365.17","101","10130220","30"
"2020","Finance","Purchasing","Repair-Maint","Operations/Maintenance","2500","6425","0","4029.19","4029.19","101","10114500","14"
"2020","Community Development","Mortgage Assistance Program","Contract Services","Operations/Maintenance","0","1250","0","0","0","476","47650730","50"
"2020","Comm Improve Programs","Cardiff Prkg Structure","Repair-Maint","Operations/Maintenance","130000","173126","0","2000","2000","475","47555310","55"
"2019","Public Works","Electrical Maintenance","Retiree Medical P","Personnel Cost","54180","54180","0","49450.3","49450.3","101","10160240","60"
"2019","Public Works","Transfer Station - Admin","Retiree Medical P","Personnel Cost","20880","20880","0","12527.63","12527.63","202","20260410","60"
"2019","Public Works","Parking Meters","Retiree Medical P","Personnel Cost","18120","18120","0","18653.13","18653.13","101","10160260","60"
"2019","City Attorney","City Attorney","Retiree Medical P","Personnel Cost","51490","51490","0","27126.92","27126.92","101","10113100","13"
"2019","Community Development","Neighborhood Preservation","Retiree Medical P","Personnel Cost","29140","29140","0","29108.32","29108.32","101","10150500","50"
"2019","Public Works","Refuse Collection - Admin","OPEB PreFund","Personnel Cost","218442","218442","0","-60442","-60442","202","20260400","60"
"2017","Parks Recreation & Comm Svs","Recreation Division","Public Notices/Ad","Operations/Maintenance","1250","1250","0","0","0","101","10130200","30"
"2022","Finance","Treasury","Travel/Trng/Dues","Operations/Maintenance","600","600","0","150","150","101","10114400","14"
"2020","Police","Animal Control","Office Supp&Exp","Operations/Maintenance","0","0","0","241.76","241.76","101","10140400","40"
"2020","Public Works","Refuse Collection - Admin","Capital","Capital/Other","343525","385600.29","0","92951.74","92951.74","202","20260400","60"
"2019","Finance","General Accounting","Contract Services","Operations/Maintenance","2650","2650","0","2945.23","2945.23","101","10114200","14"
"2019","Public Works","Transfer Station - Admin","OPEB PreFund","Personnel Cost","44393","44393","0","16191","16191","202","20260410","60"
"2020","Public Works","Streets","Repair-Maint","Operations/Maintenance","0","0","0","110.18","110.18","101","10160210","60"
"2023","Projects","Projects","Capital","Capital/Other","0","0","14520.18","39661","54181.18","205","20580000","CP"
"2018","Administration","Art Fund","Sal/Spc Comp/OT","Personnel Cost","0","0","0","0","0","413","41310400","10"
"2019","Public Works","Wastewater Maintenance","Retiree Medical P","Personnel Cost","10830","10830","0","18489.02","18489.02","204","20460300","60"
"2023","Fire","Fire Suppression","Capital","Capital/Other","0","14179.49","5033.5","1000","6033.5","101","10145200","45"
"2020","Public Works","Refuse Collection - Admin","Other O&M","Operations/Maintenance","80580","80799.71","0","106306.36","106306.36","202","20260400","60"
"2020","Projects","Projects","Capital","Capital/Other","503000","3433971.86","0","249973.92","249973.92","475","47580000","CP"
"2020","Parks Recreation & Comm Svs","Rec and Enrichment Programs","Office Supp&Exp","Operations/Maintenance","6500","6500","0","2505.05","2505.05","101","10130250","30"
"2017","Parks Recreation & Comm Svs","Prop A (Parks Div)","Sal/Spc Comp/OT","Personnel Cost","15049","15049","0","0","0","414","41430906","30"
"2022","Community Development","Building Safety","Public Notices/Ad","Operations/Maintenance","0","0","618.76","0","618.76","101","10150150","50"
"2019","Community Development","Enforcement Services","Office Supp&Exp","Operations/Maintenance","6270","6270","0","2098.14","2098.14","101","10150250","50"
"2019","Police","Police - Misc DOJ Grants","Other O&M","Operations/Maintenance","0","0","0","3075.77","3075.77","414","41440913","40"
"2021","Non-Departmental","Non-Departmental","Transfers","Transfers","1200000","1200000","0","1200000","1200000","475","47516100","16"
"2021","Finance","BSCC - Youth Reinvestment Prog","Contract Services","Operations/Maintenance","200186","200186","0","178866.94","178866.94","436","43614100","14"
"2022","Projects","Projects","Contract Services","Operations/Maintenance","1183866","1183866","0","248950.69","248950.69","423","42380000","CP"
"2022","Public Works","Graffiti Abatement","Pension Expenses","Personnel Cost","35143","35143","0","31454.57","31454.57","101","10160250","60"
"2019","Transportation","Transportation Operations","OPEB PreFund","Personnel Cost","443876","443876","0","-41805","-41805","203","20370200","70"
"2020","Transportation","Bus Tire Lease (P)","Capital","Capital/Other","136500","171995.37","0","76257.7","76257.7","203","20370303","70"
"2019","Fire","Office of the Chief","Retiree Medical P","Personnel Cost","44200","44200","0","59766.62","59766.62","101","10145100","45"
"2020","Parks Recreation & Comm Svs","Veteran's Memorial Complex","Office Supp&Exp","Operations/Maintenance","17629","17629","0","8540.27","8540.27","101","10130110","30"
"2020","Parks Recreation & Comm Svs","Senior and Social Services","Office Supp&Exp","Operations/Maintenance","10196","10196","0","7526.81","7526.81","101","10130400","30"
"2020","Community Development","Enforcement Services","Office Supp&Exp","Operations/Maintenance","7103","7103","0","3630.46","3630.46","101","10150250","50"
"2019","Administrative Services","City Clerk","Retiree Medical P","Personnel Cost","26820","26820","0","26316.44","26316.44","101","10122300","22"
"2021","Fire","Community Risk Reduction","Public Notices/Ad","Operations/Maintenance","6000","6000","0","198.45","198.45","101","10145600","45"
"2019","Community Development","Community Development Admin","Retiree Medical P","Personnel Cost","16070","16070","0","13219.74","13219.74","101","10150100","50"
"2019","Public Works","Wastewater Maintenance","Pension Expenses","Personnel Cost","231338","231338","0","321465","321465","204","20460300","60"
"2019","Parks Recreation & Comm Svs","Recreation Division","Retiree Medical P","Personnel Cost","35000","35000","0","25997.01","25997.01","101","10130200","30"
"2019","Administrative Services","City Clerk","Sal/Spc Comp/OT","Personnel Cost","336247","348768","0","380223.95","380223.95","101","10122300","22"
"2019","Fire","Communications","Contract Services","Operations/Maintenance","23000","23000","0","21552.96","21552.96","101","10145700","45"
"2020","Parks Recreation & Comm Svs","PR&CS Administrative Division","Contract Services","Operations/Maintenance","19620","19620","0","13600","13600","101","10130100","30"
"2022","Public Works","Refuse Collection - Admin","Repair-Maint","Operations/Maintenance","11000","24100","162.67","10349.34","10512.01","202","20260400","60"
"2019","Parks Recreation & Comm Svs","Youth Center","Pension Expenses","Personnel Cost","2912","2912","0","2380.66","2380.66","101","10130260","30"
"2017","Fire","Communications","Equip Maint Chgs","Operations/Maintenance","9225","9225","0","0","0","101","10145700","45"
"2019","Information Technology","Information Technology","Retiree Medical P","Personnel Cost","34040","34040","0","37817.52","37817.52","101","10124100","24"
"2020","Projects","Projects","Other","Capital/Other","0","0","0","286070.36","286070.36","205","20580000","CP"
"2020","Administrative Services","Human Resources","Contract Services","Operations/Maintenance","177500","184500","0","91906.25","91906.25","101","10122100","22"
"2020","Police","Operating Bureaus","Travel/Trng/Dues","Operations/Maintenance","535241","492820.58","0","365747.64","365747.64","101","10140200","40"
"2021","Fire","Assistance to Firefighters Grt","Capital","Capital/Other","0","71906.36","0","64633.64","64633.64","414","41445911","45"
"2022","Non-Departmental","Non-Departmental","Transfers","Transfers","530326","530326","0","390317.59","390317.59","424","42416100","16"
"2023","Community Development","Enforcement Services","Office Supp&Exp","Operations/Maintenance","0","0","262.65","60.14","322.79","101","10150250","50"
"2019","Public Works","Wastewater Maintenance","OPEB PreFund","Personnel Cost","26282","26282","0","-3195","-3195","204","20460300","60"
"2019","Transportation","Transportation Admin","Pension Expenses","Personnel Cost","213432","213432","0","1201195.75","1201195.75","203","20370100","70"
"2021","Parks Recreation & Comm Svs","RSVP","Travel/Trng/Dues","Operations/Maintenance","985","2000","0","1280","1280","101","10130430","30"
"2020","Public Works","Maintenance Operations","Office Supp&Exp","Operations/Maintenance","7140","7140","0","4177.45","4177.45","101","10160200","60"
"2015","Community Development","Current Planning","Cap-Rolling Stock","Capital/Other","28000","28000","0","0","0","101","10150200","50"
"2020","Community Development","Rental Assistance","Office Supp&Exp","Operations/Maintenance","6156","6211.6","0","776.78","776.78","426","42650510","50"
"2021","Non-Departmental","Non-Departmental","Transfers","Transfers","300000","300000","0","300000","300000","203","20316100","16"
"2020","Parks Recreation & Comm Svs","PR&CS Administrative Division","Office Supp&Exp","Operations/Maintenance","2010","2010","0","2702.86","2702.86","101","10130100","30"
"2019","Parks Recreation & Comm Svs","Community Events & Excursions","Contract Services","Operations/Maintenance","2100","9600","0","8189.72","8189.72","101","10130280","30"
"2019","Public Works","Refuse Collection - Admin","Pension Expenses","Personnel Cost","613918","613918","0","938452.05","938452.05","202","20260400","60"
"2020","Community Development","Homeless Rental Assistance Pro","Other O&M","Operations/Maintenance","0","30000","0","0","0","476","47650725","50"
"2020","Public Works","Streets","Other O&M","Operations/Maintenance","8500","8500","0","5667.61","5667.61","101","10160210","60"
"2019","Finance","Finance Administration","Retiree Medical P","Personnel Cost","44270","44270","0","36131.59","36131.59","101","10114100","14"
"2023","Public Works","Mobility & Traffic Engineering","Office Supp&Exp","Operations/Maintenance","0","0","1451.54","107.49","1559.03","101","10160170","60"
"2017","City Attorney","City Attorney","Other O&M","Operations/Maintenance","210","210","0","0","0","101","10113100","13"
"2017","Transportation","6-Bus Purchase 2014","Cap-Rolling Stock","Capital/Other","0","0","0","0","0","203","20370302","70"
"2020","Fire","Community Risk Reduction","Office Supp&Exp","Operations/Maintenance","8779","8779","0","5573.64","5573.64","101","10145600","45"
"2020","Community Development","Community Development Admin","Contract Services","Operations/Maintenance","114786","28374.13","0","256","256","101","10150100","50"
"2020","Fire","Office of the Chief","Office Supp&Exp","Operations/Maintenance","27832","27832","0","22121.72","22121.72","101","10145100","45"
"2019","Administration","Art Fund","Payroll Taxes","Personnel Cost","0","0","0","4.06","4.06","413","41310400","10"
"2019","Parks Recreation & Comm Svs","Recreation Division","Sal/Spc Comp/OT","Personnel Cost","484171","442417","0","439101.11","439101.11","101","10130200","30"
"2020","Fire","Fire Suppression","Repair-Maint","Operations/Maintenance","31500","32250","0","29649.82","29649.82","101","10145200","45"
"2020","Community Development","Admin Supply and Services","Capital","Capital/Other","0","2200","0","0","0","476","47650710","50"
"2020","Administrative Services","Risk Management","Contract Services","Operations/Maintenance","449005","468027.06","0","302840.95","302840.95","309","30922200","22"
"2020","Administration","City Council","Contract Services","Operations/Maintenance","100000","109067.23","0","86266.7","86266.7","101","10110000","10"
"2019","Parks Recreation & Comm Svs","Senior and Social Services","Retiree Medical P","Personnel Cost","130730","130730","0","123818.67","123818.67","101","10130400","30"
"2019","Public Works","Engineering","Sal/Spc Comp/OT","Personnel Cost","1352972","1370412","0","1522078.33","1522078.33","101","10160150","60"
"2021","Parks Recreation & Comm Svs","Youth Center","Office Supp&Exp","Operations/Maintenance","4300","4300","0","67.65","67.65","101","10130260","30"
"2021","Public Works","HouseholdHazardous-CalCycleHHW","Contract Services","Operations/Maintenance","0","44121.5","0","6490.5","6490.5","414","41460906","60"
"2020","Information Technology","Information Technology","Office Supp&Exp","Operations/Maintenance","32680","45837.52","0","49889.48","49889.48","101","10124100","24"
"2020","Community Development","Economic Development","Repair-Maint","Operations/Maintenance","0","23073","0","0","0","101","10150120","50"
"2020","Public Works","Refuse Collection - Admin","Contract Services","Operations/Maintenance","680700","681580.16","0","450066.07","450066.07","202","20260400","60"
"2021","Parks Recreation & Comm Svs","Veteran's Memorial Complex","Travel/Trng/Dues","Operations/Maintenance","228","228","0","160","160","101","10130110","30"
"2020","Finance","Finance Administration","Travel/Trng/Dues","Operations/Maintenance","9250","9250","0","2847.56","2847.56","101","10114100","14"
"2020","Parks Recreation & Comm Svs","PR&CS Administrative Division","Other O&M","Operations/Maintenance","153822","153822","0","112027.24","112027.24","101","10130100","30"
"2022","Projects","Projects","Capital","Capital/Other","2120000","6632896.45","16138","2016050.95","2032188.95","204","20480000","CP"
"2019","Transportation","Equipment Maintenance","OPEB PreFund","Personnel Cost","157694","157694","0","-44848","-44848","308","30870400","70"
"2019","Administrative Services","Risk Management","OPEB PreFund","Personnel Cost","7304","7304","0","-32962","-32962","309","30922200","22"
"2020","Parks Recreation & Comm Svs","Recreation Division","Office Supp&Exp","Operations/Maintenance","7029","7029","0","5687.18","5687.18","101","10130200","30"
"2020","Parks Recreation & Comm Svs","Culver City After School Progr","Office Supp&Exp","Operations/Maintenance","17179","17179","0","8901.55","8901.55","101","10130233","30"
"2023","Projects","Projects","Capital","Capital/Other","2320000","4804643","1159887.98","59121.68","1219009.66","420","42080000","CP"
"2022","Police","Fed Justice Asset Seizure Fund","Capital","Capital/Other","0","244682.43","7057.3","77612.81","84670.11","416","41640454","40"
"2023","Public Works","Transfer Station - Admin","Other O&M","Operations/Maintenance","0","0","3840011.87","510369.78","4350381.65","202","20260410","60"
"2023","Parks Recreation & Comm Svs","Camp Programs","Capital","Capital/Other","0","1404","1404","0","1404","101","10130212","30"
"2020","Community Development","Neighborhood Preservation","Office Supp&Exp","Operations/Maintenance","810","810","0","962.91","962.91","101","10150500","50"
"2020","Information Technology","Municipal Fiber Network Ops","Contract Services","Operations/Maintenance","2192906","2054602.57","0","2047003.38","2047003.38","205","20524500","24"
"2020","Non-Departmental","Non-Departmental","Contract Services","Operations/Maintenance","0","174.48","0","13077.85","13077.85","434","43416100","16"
"2020","Public Works","Wastewater Maintenance","Capital","Capital/Other","0","0","0","0","0","204","20460300","60"
"2022","Public Works","Engineering","Contract Services","Operations/Maintenance","600000","869197","0","470259.65","470259.65","101","10160150","60"
"2019","Parks Recreation & Comm Svs","Youth Center","Sal/Spc Comp/OT","Personnel Cost","83161","85161","0","68017.97","68017.97","101","10130260","30"
"2019","Finance","Treasury","Retiree Medical P","Personnel Cost","89250","89250","0","94231.77","94231.77","101","10114400","14"
"2020","Administration","City Council","Office Supp&Exp","Operations/Maintenance","6350","6375","0","4291.71","4291.71","101","10110000","10"
"2023","Projects","Projects","Capital","Capital/Other","0","272085.8","10165.72","0","10165.72","202","20280000","CP"
"2019","Administrative Services","Risk Management","Retiree Medical P","Personnel Cost","29270","29270","0","24789.48","24789.48","309","30922200","22"
"2023","Public Works","Transfer Station - Admin","Repair-Maint","Operations/Maintenance","0","0","93635.29","1000","94635.29","202","20260410","60"
"2020","Comm Improve Programs","Watseka Prkg Structure","Repair-Maint","Operations/Maintenance","159000","214234.25","0","3345.28","3345.28","475","47555580","55"
"2019","Parks Recreation & Comm Svs","Veteran's Memorial Complex","Repair-Maint","Operations/Maintenance","2000","0","0","0","0","101","10130110","30"
"2018","Community Development","Building Safety","Public Notices/Ad","Operations/Maintenance","0","0","0","0","0","101","10150150","50"
"2019","Community Development","Enforcement Services","Retiree Medical P","Personnel Cost","25600","25600","0","18552.88","18552.88","101","10150250","50"
"2019","Comm Improve Programs","Ince Prkg Structure","Capital","Capital/Other","0","75000","0","0","0","475","47555380","55"
"2020","Public Works","Streets","Contract Services","Operations/Maintenance","51300","53934","0","19677.43","19677.43","101","10160210","60"
"2021","Transportation","Transportation Admin","Office Supp&Exp","Operations/Maintenance","3830","5367.88","0","19156.87","19156.87","203","20370100","70"
"2019","Transportation","Transportation Admin","Retiree Medical P","Personnel Cost","24850","24850","0","21840.12","21840.12","203","20370100","70"
"2020","Community Development","Advance Planning","Office Supp&Exp","Operations/Maintenance","5000","5000","0","4156.86","4156.86","101","10150400","50"
"2020","Public Works","Refuse Collection - Admin","Retiree Medical P","Personnel Cost","206380","206380","0","230814.17","230814.17","202","20260400","60"
"2020","Transportation","Para Transit Services","Contract Services","Operations/Maintenance","45200","56092","0","8895","8895","411","41170420","70"
"2019","Public Works","Public Works Admin","Retiree Medical P","Personnel Cost","23630","23630","0","19440.84","19440.84","101","10160100","60"
"2023","Community Development","Enforcement Services","Workers Comp","Personnel Cost","0","0","0","-2467.08","-2467.08","101","10150250","50"
"2021","Community Development","Community Development Admin","Other O&M","Operations/Maintenance","1367","1367","0","40.54","40.54","101","10150100","50"
"2020","Parks Recreation & Comm Svs","PR&CS Administrative Division","Travel/Trng/Dues","Operations/Maintenance","4670","4670","0","1483.22","1483.22","101","10130100","30"
"2020","Administrative Services","City Clerk","Contract Services","Operations/Maintenance","55235","130235","0","112779.57","112779.57","101","10122300","22"
"2020","Transportation","Transportation Operations","Contract Services","Operations/Maintenance","462000","576811.21","0","302079.28","302079.28","203","20370200","70"
"2019","Fire","Community Risk Reduction","Sal/Spc Comp/OT","Personnel Cost","855045","977528","0","977787.54","977787.54","101","10145600","45"
"2020","Community Development","Homeless Services","Contract Services","Operations/Maintenance","247763","273513","0","209599.42","209599.42","414","41450541","50"
"2019","Community Development","Rental Assistance Payments","Other O&M","Operations/Maintenance","0","203000","0","192540","192540","476","47650720","50"
"2022","Transportation","AQMD - AB2766","Capital","Capital/Other","50000","50000","10666.22","14934.11","25600.33","410","41070620","70"
"2019","Public Works","Graffiti Abatement","Retiree Medical P","Personnel Cost","7220","7220","0","7330.52","7330.52","101","10160250","60"
"2022","Public Works","Used Oil Block Grant","Office Supp&Exp","Operations/Maintenance","0","2589","0","28.24","28.24","414","41460904","60"
"2023","Parks Recreation & Comm Svs","Culver City After School Progr","Office Supp&Exp","Operations/Maintenance","0","0","976.1","0","976.1","101","10130233","30"
"2019","Police","Office of the Chief","Other O&M","Operations/Maintenance","4617","4617","0","632.38","632.38","101","10140100","40"
"2019","Public Works","Electrical Maintenance","Sal/Spc Comp/OT","Personnel Cost","699241","673776","0","566060.96","566060.96","101","10160240","60"
"2020","Transportation","Para Transit Services","Contract Services","Operations/Maintenance","0","170","0","0","0","414","41470420","70"
"2023","Transportation","Equipment Maintenance","Other O&M","Operations/Maintenance","0","0","1591721.3","366886.29","1958607.59","308","30870400","70"
"2021","Community Development","Neighborhood Preservation","Office Supp&Exp","Operations/Maintenance","810","810","0","1455.21","1455.21","101","10150500","50"
"2020","Parks Recreation & Comm Svs","Senior and Social Services","Travel/Trng/Dues","Operations/Maintenance","4960","4960","0","3791.5","3791.5","101","10130400","30"
"2019","Police","Animal Control","Office Supp&Exp","Operations/Maintenance","0","0","0","238.3","238.3","101","10140400","40"
"2019","Parks Recreation & Comm Svs","Youth Center","Payroll Taxes","Personnel Cost","6363","6363","0","986.25","986.25","101","10130260","30"
"2019","Parks Recreation & Comm Svs","Sports Programs","Retiree Medical P","Personnel Cost","7610","7610","0","7715.26","7715.26","101","10130240","30"
"2019","Public Works","Refuse Collection - Admin","Retiree Medical P","Personnel Cost","216650","216650","0","217978.91","217978.91","202","20260400","60"
"2020","Parks Recreation & Comm Svs","Community Events & Excursions","Contract Services","Operations/Maintenance","19500","28310","0","26305","26305","101","10130280","30"
"2022","Transportation","Rideshare","Other O&M","Operations/Maintenance","0","0","0","2730.48","2730.48","414","41470600","70"
"2019","Finance","Budget & Accounting Operations","Retiree Medical P","Personnel Cost","40000","40000","0","41375.96","41375.96","101","10114300","14"
