"recordid","name","url","ispublic","u_id","date","visits","visit_changes_since_previous","downloads","download_changes_since","derived_view","parent_uid","domain","type","description","creation_date","last_update_date_data","category","keywords","owner","owner_uid","contact_email","license","publication_stage","published_version_name","published_version_uid","data_provided_by","source_link","api_endpoint","provenance","data_steward_name","dataset_sensitivity","how_often_are_data_values","department","public_dataset_contact","results_area","data_steward_email"
"2n8h-wbvy_20190531","2017 Population by Tract","https://chattanooga-internal.data.socrata.com/d/2n8h-wbvy","No","2n8h-wbvy","2019-05-31T00:00:00.000","5","0","0","0","true","8n32-gy8t","chattanooga-internal.data.socrata.com","map",,"2019-04-29T14:55:00.000","2019-04-16T11:40:00.000",,,"Ryan Wedell","76k4-ifet",,,"published",,,,,"https://chattanooga-internal.data.socrata.com/resource/2n8h-wbvy.json","official",,,"As Needed","Other","opendata@chattanooga.gov","High Performing Government",
"245g-4vmg_20190531","Permits Report","https://chattanooga-internal.data.socrata.com/d/245g-4vmg","No","245g-4vmg","2019-05-31T00:00:00.000","15","0","0","0","false",,"chattanooga-internal.data.socrata.com","story",,"2019-02-13T09:57:00.000","2019-02-13T09:57:00.000",,,"Joshua Calhoun","kvkg-3tjz",,,"published",,,,,"https://chattanooga-internal.data.socrata.com/resource/245g-4vmg.json","official",,,,,,,
"2nve-3bq9_20190531","View based on Code Violation - Letters","https://chattanooga-internal.data.socrata.com/d/2nve-3bq9","No","2nve-3bq9","2019-05-31T00:00:00.000","2","0","0","0","true","i2eu-fh3b","chattanooga-internal.data.socrata.com","filter",,"2019-04-23T08:42:00.000","2019-05-30T23:02:00.000","Economy",,"Ed Graham","6ixz-67u8",,,"unpublished",,,,,"https://chattanooga-internal.data.socrata.com/resource/2nve-3bq9.json","official",,,,,,,
"2s5x-sr9i_20190531","Streets 30 Day Requests","https://chattanooga-internal.data.socrata.com/d/2s5x-sr9i","No","2s5x-sr9i","2019-05-31T00:00:00.000","5","0","0","0","true","vfem-a47f","chattanooga-internal.data.socrata.com","chart","311 service request for the city of Chattanooga. Data is from 2017 to the present date. For service requests prior to 2017 please see the following dataset. https://data.chattlibrary.org/Government/Service-Requests/e968-fnk9","2019-05-16T11:03:00.000","2019-05-31T00:30:00.000",,,"David Collins","fsgf-5kvb",,,"published",,,,,"https://chattanooga-internal.data.socrata.com/resource/2s5x-sr9i.json","official",,,"Daily","Mayor's Office","opendata@chattanooga.gov","High Performing Government",
"2tqh-4exw_20190531","Zip Codes","https://chattanooga-internal.data.socrata.com/d/2tqh-4exw","No","2tqh-4exw","2019-05-31T00:00:00.000","3","0","0","0","false",,"chattanooga-internal.data.socrata.com","dataset","Chattanooga zip codes","2019-03-28T13:49:00.000","2019-03-28T13:55:00.000",,"zip,code,gis","ODEXTRACT","nfms-ud8q",,,"published",,,,,"https://chattanooga-internal.data.socrata.com/resource/2tqh-4exw.json","official","Ryan Wedell","Internal - Shared with all city employees","As Needed","Other","opendata@chattanooga.gov","High Performing Government","rwedell@chattanooga.gov"
"2xq6-23tu_20190531","View based on Fire Training","https://chattanooga-internal.data.socrata.com/d/2xq6-23tu","No","2xq6-23tu","2019-05-31T00:00:00.000","9","0","0","0","true","wm4u-fg6t","chattanooga-internal.data.socrata.com","filter",,"2019-04-22T14:12:00.000","2019-05-30T22:31:00.000",,,"Andrew Sevigny","t226-dtne",,,"published",,,,,"https://chattanooga-internal.data.socrata.com/resource/2xq6-23tu.json","official",,,,,,,
"2y62-7eui_20190531","ALL WRD Pump Station Work Orders","https://chattanooga-internal.data.socrata.com/d/2y62-7eui","No","2y62-7eui","2019-05-31T00:00:00.000","4","0","0","0","true","rs4d-hkb8","chattanooga-internal.data.socrata.com","filter",,"2019-05-07T15:01:00.000","2019-05-30T21:21:00.000",,,"Amy Famiglietta","p2qh-8npg",,,"unpublished",,,,,"https://chattanooga-internal.data.socrata.com/resource/2y62-7eui.json","official","Amy Famiglietta","Private Only - Shared with specific teams and individuals","Daily","Public Works","opendata@chattanooga.gov","High Performing Government","afamiglietta@chattanooga.gov"
"33pc-byq6_20190531","Issued Permit Counts by Class","https://chattanooga-internal.data.socrata.com/d/33pc-byq6","No","33pc-byq6","2019-05-31T00:00:00.000","18","0","0","0","true","3uq3-wdfx","chattanooga-internal.data.socrata.com","chart","All permits within the City of Chattanooga.","2019-05-21T16:44:00.000","2019-05-30T22:17:00.000",,,"Andrew Sevigny","t226-dtne",,,"published",,,,,"https://chattanooga-internal.data.socrata.com/resource/33pc-byq6.json","official",,,"Daily","Economic and Community Development","opendata@chattanooga.gov","Growing Economy",
"35qd-8edz_20190531","Building Fire Locations","https://chattanooga-internal.data.socrata.com/d/35qd-8edz","No","35qd-8edz","2019-05-31T00:00:00.000","4","0","0","0","true","ndjw-zxwd","chattanooga-internal.data.socrata.com","map","This dataset contains fire incident data from 2001 to the current date. For a more detailed view of the data containing information on all responding units check out this dataset https://data.chattlibrary.org/Public-Safety/Fire-Incidents-Detailed/6bf4-knwk.","2019-05-13T14:16:00.000","2019-05-30T21:14:00.000","Fire",,"Andrew Sevigny","t226-dtne",,,"published",,,,,"https://chattanooga-internal.data.socrata.com/resource/35qd-8edz.json","official",,,,,,,
"36ri-3mig_20190531","Fire Training","https://chattanooga-internal.data.socrata.com/d/36ri-3mig","No","36ri-3mig","2019-05-31T00:00:00.000","1","0","0","0","false",,"chattanooga-internal.data.socrata.com","story",,"2019-04-22T14:28:00.000","2019-04-22T14:28:00.000",,,"Andrew Sevigny","t226-dtne",,,"published",,,,,"https://chattanooga-internal.data.socrata.com/resource/36ri-3mig.json","official",,,,,,,
