"incident_number","incident_date","shift_color","specific_incident_code_and","generic_incident_code","generic_incident_description","incident_category","streetnumber","streetprefix","streetname","streettype","city","civilian_casualty","firefighter_casualty","property_loss","property_value","responding_unit","responding_unit_in_or_out","responding_unit_district","responding_unit_district_1","turnout_time","travel_time","response_time_minutes","first_arriving","latitude","longitude","location","lastarrivingfirstalarm","onscndate","dispdate","citydst"
"01-000001","2001-01-01T00:18:25.000",,"900 Special type of incident  other","900","Special","Non-Fire Call","526",,"FOREST","AVE","Chattanooga","0","0","0","0","QUINT 14","OUT","1202","Station 12","4.65","4.1","8.75","Y","35.06776156152908","-85.30524409713054","POINT (-85.305244097131 35.067761561529)","Y","2009-10-13T02:01:46.000","2009-10-13T01:53:01.000","2"
"01-000007","2001-01-01T03:25:44.000",,"320 Emergency medical service  other (conversion o","300","Rescue & Emergency Medical Service (EMS)","Non-Fire Call","7400",,"OLD LEE","HWY","Chattanooga","0","0","0","0","ENGINE8","IN","802","Station 8","2.38","5.38","7.77","Y","35.059203302334346","-85.12782675781078","POINT (-85.127826757811 35.059203302334)","Y","2001-01-01T03:34:38.000","2001-01-01T03:26:52.000","4"
"01-000010","2001-01-01T06:32:18.000",,"110 Structure fire  other (conversion only)","100","Fire","Fire Call","899","W","ELMWOOD","DR","Chattanooga",,,,,"ENGINE17","IN","1701","Station 17","2.1","6.7","8.8","Y",,,,"N","2001-01-01T06:41:14.000","2001-01-01T06:32:26.000",
"01-000012","2001-01-01T09:12:44.000",,"740 Unintentional transmission of alarm  other","700","False Alarm & False Call","Non-Fire Call","700",,"INTERSTATE 24",,"Chattanooga","0","0","0","0","ENGINE 20","OUT","701","Station 7","2.22","8.3","10.52","Y",,,,"Y","2001-01-01T09:24:26.000","2001-01-01T09:13:55.000",
"01-000024","2001-01-01T17:56:39.000",,"320 Emergency medical service  other (conversion o","300","Rescue & Emergency Medical Service (EMS)","Non-Fire Call","2626",,"WALKER","RD","Chattanooga","0","0","0","0","ENGINE8","IN","802","Station 8","1.5","6.93","8.43","Y","35.05502979486216","-85.13803963980594","POINT (-85.138039639806 35.055029794862)","Y","2001-01-01T18:06:17.000","2001-01-01T17:57:51.000","6"
"01-000035","2001-01-01T22:30:40.000",,"320 Emergency medical service  other (conversion o","300","Rescue & Emergency Medical Service (EMS)","Non-Fire Call","104",,"WILCOX","RD","Chattanooga","0","0","0","0","ENGINE 20","IN","2001","Station 20","2.23","9.67","11.9","Y","35.03539336913612","-85.40834596891317","POINT (-85.408345968913 35.035393369136)","Y","2001-01-01T23:06:12.000","2001-01-01T22:54:18.000","1"
"01-000049","2001-01-02T10:25:22.000",,"320 Emergency medical service  other (conversion o","300","Rescue & Emergency Medical Service (EMS)","Non-Fire Call","118",,"MANNING COLE","RD","Hamilton County","0","0","0","0","ENGINE 20","IN","2002","Station 20","2.55","6.9","9.45","Y","34.98731740482087","-85.391918204516","POINT (-85.391918204516 34.987317404821)","Y","2001-01-02T10:37:53.000","2001-01-02T10:28:26.000",
"01-000060","2001-01-02T16:02:05.000",,"320 Emergency medical service  other (conversion o","300","Rescue & Emergency Medical Service (EMS)","Non-Fire Call","7000",,"INTERSTATE 75",,"Chattanooga","0","0","0","0","ENGINE13","OUT","802","Station 8","1.3","6.85","8.15","Y",,,,"Y","2001-01-02T16:15:17.000","2001-01-02T16:07:08.000",
"01-000061","2001-01-02T16:14:07.000",,"130 Mobile property (vehicle) fire  other","100","Fire","Fire Call","1000",,"SIGNAL MOUNTAIN","RD","Chattanooga","0","0","0","0","ENGINE17","IN","1701","Station 17","1.47","7.18","8.65","Y","35.10579934575229","-85.33347967562928","POINT (-85.333479675629 35.105799345752)","Y","2001-01-02T16:23:04.000","2001-01-02T16:14:25.000","1"
"01-000067","2001-01-03T00:54:39.000",,"730 System malfunction  other","700","False Alarm & False Call","Non-Fire Call","105","W","45TH","ST","Chattanooga","0","0","0","0","ENGINE 9","OUT","1402","Station 14","2.03","7.33","9.37","Y","35.00006952003337","-85.31378312146893","POINT (-85.313783121469 35.000069520033)","Y","2001-01-03T01:04:28.000","2001-01-03T00:55:06.000","7"
