"incident_number","incident_date","shift_color","specific_incident_code_and","generic_incident_code","generic_incident_description","incident_category","streetnumber","streetprefix","streetname","streettype","city","civilian_casualty","firefighter_casualty","property_loss","property_value","responding_unit","responding_unit_in_or_out","responding_unit_district","responding_unit_district_1","turnout_time","travel_time","response_time_minutes","first_arriving","latitude","longitude","location","lastarrivingfirstalarm","onscndate","dispdate","citydst"
"20-016188","2020-11-28T22:34:23.000","Green","743 Smoke detector activation  no fire - unintenti","700","False Alarm & False Call","Non-Fire Call","975","E","3RD","ST","Chattanooga",,,,,"SQUAD 1","OUT","204","Station 1",,"0.8","0.8","N","35.04836763866474","-85.2905912512651","POINT (-85.2905912512651 35.04836763866474)","N","2020-11-28T22:42:45.000","2020-11-28T22:41:57.000","8"
"21-011468","2021-07-09T08:28:12.000","Red","744 Detector activation  no fire - unintentional","700","False Alarm & False Call","Non-Fire Call","975","E","3RD","ST","Chattanooga",,,,,"SQUAD 1","OUT","204","Station 1","0.7","6.5","7.2","N","35.04836763866474","-85.2905912512651","POINT (-85.2905912512651 35.04836763866474)","N","2021-07-09T08:35:24.000","2021-07-09T08:28:12.000","8"
"20-001869","2020-02-05T14:54:12.000","Green","622  No incident found on arrival at dispatch addr","600","Good Intent Call","Non-Fire Call","0",,"HAMM","RD","Chattanooga",,,,,"SQUAD 1","OUT","1204 A","Station 1204","1.22",,,"N",,,,"N","1800-01-01T00:00:00.000","2020-02-05T14:54:12.000",
"21-018071","2021-10-12T12:04:25.000","Red","444 Power line down","400","Hazardous Condition (no fire)","Non-Fire Call","0",,"OLD HIXSON","PIKE","Chattanooga","0","0","0","0","SQUAD 19","OUT","1902","Station 19","0.9","3.57","4.47","Y",,,,"Y","2021-10-12T12:08:53.000","2021-10-12T12:04:25.000",
"22-003912","2022-03-04T16:52:54.000","Green","551 Assist police or other governmental agency","500","Service Call","Non-Fire Call","0",,"WILCOX","BLVD","Chattanooga",,,,,"ENGINE 4","IN","407","Station 4",,"4.75","4.75","Y",,,,"N","2022-03-04T16:59:42.000","2022-03-04T16:54:57.000",
"22-007056","2022-04-23T11:47:00.000","Red","600 Good intent call  other","600","Good Intent Call","Non-Fire Call","0",,"BRAINERD","RD","Chattanooga","0","0","0","0","SQUAD 13","OUT","1508","Station 15","0.4","5.72","6.12","Y",,,,"Y","2022-04-23T11:53:07.000","2022-04-23T11:47:00.000",
"20-006566","2020-05-19T07:59:31.000","Red","745 Alarm system activation no fire unintentional","700","False Alarm & False Call","Non-Fire Call","10",,"BLUFF","VW","Chattanooga",,,,,"LADDER 1","OUT","101 B","Station 101",,"4.13","4.13","Y","35.05576179939389","-85.30612687099485","POINT (-85.30612687099485 35.05576179939389)","N","2020-05-19T08:05:41.000","2020-05-19T08:01:33.000","7"
"21-019784","2021-11-08T09:24:33.000","Red","463 Vehicle accident  general cleanup","400","Hazardous Condition (no fire)","Non-Fire Call","0",,"IGOU GAP","RD","Chattanooga",,,,,"QUINT 21","IN","2101","Station 21","1.3","4.77","6.07","Y",,,,"Y","2021-11-08T09:30:37.000","2021-11-08T09:24:33.000",
"22-009324","2022-05-28T14:54:03.000","Blue","744 Detector activation  no fire - unintentional","700","False Alarm & False Call","Non-Fire Call","1321",,"MARIMONT","DR","Chattanooga",,,,,"SQUAD 13","OUT","802 C","Station 802","2.6","5.53","8.13","N","35.02177063980141","-85.18369868422273","POINT (-85.18369868422273 35.02177063980141)","N","2022-05-28T15:02:11.000","2022-05-28T14:54:03.000","6"
"22-001372","2022-01-24T08:33:15.000","Blue","611 Dispatched & canceled en route","600","Good Intent Call","Non-Fire Call","1200",,"BAILEY","AVE","Chattanooga","0","0","0","0","ENGINE 5","OUT","202","Station 1","1.25",,,"N","35.03730888149311","-85.2863892226971","POINT (-85.2863892226971 35.03730888149311)","N","1800-01-01T00:00:00.000","2022-01-24T08:33:15.000","8"
"20-000776","2020-01-16T17:00:47.000","Red","321 EMS call  excluding vehicle accident with inju","300","Rescue & Emergency Medical Service (EMS)","Non-Fire Call","3929",,"HAMILL","RD","Chattanooga",,,,,"SQUAD 1","OUT","1101","Station 11","0.87",,,"N","35.1280878402131","-85.1968555215269","POINT (-85.1968555215269 35.1280878402131)","N","1800-01-01T00:00:00.000","2020-01-16T17:07:46.000","3"
"20-009541","2020-07-21T17:09:06.000","Red","324 Motor vehicle accident with no injuries","300","Rescue & Emergency Medical Service (EMS)","Non-Fire Call","1503",,"GUNBARREL","RD","Chattanooga","0","0","0","0","QUINT 21","IN","2101","Station 21","0.37","3.42","3.78","Y","35.017274864876136","-85.16296723370978","POINT (-85.16296723370978 35.017274864876136)","Y","2020-07-21T17:12:53.000","2020-07-21T17:09:06.000","4"
"21-001540","2021-02-01T17:10:22.000","Green","552 Police matter","500","Service Call","Non-Fire Call","355",,"ISBILL","RD","Chattanooga","0","0","0","0","SQUAD 20","OUT","301","Station 3","0.25","4.85","5.1","Y",,,,"Y","2021-02-01T17:15:28.000","2021-02-01T17:10:22.000",
"20-016473","2020-12-04T16:58:27.000","Blue","324 Motor vehicle accident with no injuries","300","Rescue & Emergency Medical Service (EMS)","Non-Fire Call","18200",,"INTERSTATE 24 WB",,"Chattanooga",,,,,"LADDER 5","IN","505","Station 5",,,,"N","35.02118377795086","-85.26322198824536","POINT (-85.26322198824536 35.02118377795086)","N","1800-01-01T00:00:00.000","2020-12-04T17:00:33.000","9"
"20-014840","2020-11-03T18:42:04.000","Green","745 Alarm system activation no fire unintentional","700","False Alarm & False Call","Non-Fire Call","1224",,"CRANBROOK","DR","Chattanooga",,,,,"QUINT 16","OUT","1903","Station 19","1.98",,,"N","35.12378501764176","-85.25199425351289","POINT (-85.25199425351289 35.12378501764176)","N","1800-01-01T00:00:00.000","2020-11-03T18:42:04.000","2"
