"supplier_name","supplier_number","payment_number","payment_date","invoice_number","invoice_date","payment_total","po_number","receipt_number","department","account_description","fund_description","cost_center_description","minority_owned","small_business","women_owned","city","state","zip","country","vendor_id","days_to_pay","compliant_indicator"
"Tempest Telcom Solutions LLC","753507","2175536","2018-04-19T00:00:00.000","123204","2018-04-12T00:00:00.000","1995","548218","201405","Fire","Electronic Parts","TVRCS Operations","TN Valley Regional Communications","No","No","Yes","Santa Barbara,","CA,","93101","US","7558","7","Yes"
"Ram Tool & Supply Co","296980","2115145","2015-01-07T00:00:00.000","92236320","2014-10-31T00:00:00.000","172.68","525868","102518","Public Works","Hardware, Nails, Small Tools","General Fund","CWS Street Cleaning","No","No","No","Birmingham,","AL,","35232-0979","US","547","68","No"
"OutSource Staffing LLC","744900","2174138","2018-03-23T00:00:00.000","37534","2018-02-27T00:00:00.000","3620.74","545788","198037","Youth & Family Development","Employment Agencies","General Fund","Recreation Admin","No","No","No","Chattanooga,","TN,","37424","US","4198","24","Yes"
"Unum Life Insurance Co of America","754639","2126670","2015-08-06T00:00:00.000","3rdM-06-AUG-15-211646-326520","2015-08-06T00:00:00.000","58.8",,,"Undefined","AP Long Term Care","General Fund","Not Required","No","No","No","Atlanta,","GA,","30384-6990","US","8581","0","Yes"
"Canon Solutions America","866161","2176309","2018-05-07T00:00:00.000","18559368","2018-04-30T00:00:00.000","175.22","526878","203424","Public Works","Office Machine Rental","Interceptor Sewer Operations","ISS Engineering","No","No","No","Chicago,","IL,","60693-0149","US","190422","7","Yes"
"Axis Security Inc","864418","5001766","2013-12-19T00:00:00.000","12153-TIV","2013-12-15T00:00:00.000","4636.5","521778","77691","Non-Reporting Funds","Ushers","Civic Facilities Promoter Fund","Tivoli Theatre Shows","No","No","No","Johnson City,","TN,","37601","US","109881","4","Yes"
"Institute Of Internal Auditors","339858","2155282","2017-02-17T00:00:00.000","2/1/17","2017-01-27T00:00:00.000","125",,,"General Gov't & Agencies","Meeting Expense","General Fund","Internal Audit","No","No","No","Chattanooga,","TN,","37401","US","643","21","Yes"
"Tenn American Water Co","068508","2121065","2015-04-29T00:00:00.000","16634304  0415","2015-04-23T00:00:00.000","227.45",,,"Public Works","Water","General Fund","Shared Maint - TN Riverpark Downtown","No","No","No","Pittsburgh,","PA,","15250-7880","US","217","6","Yes"
"Constangy, Brooks, Smith & Prophete","869449","2163863","2017-08-09T00:00:00.000","475571","2017-07-13T00:00:00.000","1839.3","541161","173947","General Gov't & Agencies","Legal Services","Liability Insurance","Special Counsel","No","No","No","Atlanta,","GA,","30368-0476","US","533705","27","Yes"
"Angel & Associates","588541","2139586","2016-04-14T00:00:00.000","DRA8680","2016-04-05T00:00:00.000","1888.35","537432","136845","General Gov't & Agencies","Court Reporter & Transcriber Fees","Liability Insurance","Judgments & Cost","No","No","Yes","Hixson,","TN,","37343","US","1430","9","Yes"
"Nichols Fleet Equipment Inc","522034","2067958","2012-09-20T00:00:00.000","35961","2012-08-23T00:00:00.000","3316.17","517399","51430","General Services","Vehicle Parts","Municipal Garage","Rep & Maint - 12th & Park Garage","No","No","No","Chattanooga,","TN,","37407","US","1182","28","Yes"
"Envelopes & Printed Products Inc","868303","2205317","2020-04-02T00:00:00.000","21752","2020-03-24T00:00:00.000","39","546018","280001","Public Works","Forms & Printed Material","General Fund","Municipal Forestry","No","Yes","No","Prospect Park,","NJ,","07508","US","390669","9","Yes"
"AIM Housing Inc","863629","2078631","2013-03-14T00:00:00.000","157H-H-002(11)","2013-03-05T00:00:00.000","943.2",,,"Finance & Admin","Prop Tax Pen & Int PY (on Delinquent 17+ months)","General Fund","City General Tax Revenue","No","No","No","Chattanoog,","TN,","37401","US","70685","9","Yes"
"Tenn American Water Co","068508","2175608","2018-04-20T00:00:00.000","08594181 0418","2018-04-09T00:00:00.000","126.88",,,"Public Works","Water","General Fund","Park Mgmt - Admin","No","No","No","St. Louis,","MO,","63179-0247","US","217","11","Yes"
"Evoqua Water Technologies LLC","867584","2181540","2018-08-31T00:00:00.000","903669964","2018-08-22T00:00:00.000","6077.43","544978","216642","Public Works","Odor Control Chemicals","Interceptor Sewer Operations","Pump Stat - Odor Control Stations","No","No","No","Chicago,","IL,","60673-1285","US","314650","9","Yes"
