"name","description","street","direction","type","estimated_closure","estimated_open","time","day_of_week","geometry"
"5310 sidewalk upgrade 6th st","5310 ramp repaires","6th St","One","Construction","2020-04-26T00:00:00.000","2020-05-09T00:00:00.000","8:30-4",,"LINESTRING (-85.3087871 35.0496572, -85.3064268 35.0497099)"
"Patten Parkway","Phase 1 EB closure between Georgia Ave and Lindsay St 8/12/2019 - 12/31/2019","Patten Pkwy","one","construction","2019-08-12T00:00:00.000","2020-04-01T00:00:00.000",,,"LINESTRING (-85.307923 35.04629, -85.306657 35.045796)"
"Tunnel Blvd - large tree removal","crane lifting large tree from house","Tunnel Blvd","both","Hazard","2020-04-24T00:00:00.000","2020-04-24T00:00:00.000",,,"LINESTRING (-85.2463202 35.0304401, -85.2456765 35.0315997, -85.2450328 35.032654)"
"McCallie sidewalk repairs","sidewalk and ramp repairs and upgrade","McCallie","one","Construction","2020-04-05T00:00:00.000","2020-04-15T00:00:00.000","8:30-4",,"LINESTRING (-85.2960745 35.0438072, -85.2949587 35.0433857)"
"Signal Mountain Blvd","Slope failures","Signal Mountain Blvd","one","one lane closed (Hazard)","2020-04-13T00:00:00.000",,,,"LINESTRING (-85.341633 35.1047281, -85.340434 35.10493, -85.3400076 35.1049914, -85.3398533 35.1049519, -85.3392485 35.1047369, -85.3390044 35.104693, -85.3388703 35.104772, -85.3387791 35.1049037, -85.3387254 35.1051407, -85.3386503 35.1053075, -85.3385484 35.1054391, -85.3383822 35.1055005, -85.3381247 35.1055093, -85.3378672 35.1054654, -85.3373522 35.1053074, -85.3370739 35.1053223, -85.3369455 35.1053648, -85.3368171 35.1053897, -85.3366468 35.1053316, -85.3363477 35.1051681, -85.3360272 35.1051275, -85.3353647 35.1051516, -85.3347451 35.105246)"
"Resurfacing - Isbill Rd","resurfacing ","Isbill Rd","one","construction","2020-04-27T00:00:00.000","2020-05-08T00:00:00.000","8:30-4",,"LINESTRING (-85.3676857 35.0446687, -85.3683294 35.0437903, -85.3681577 35.0429822, -85.3684152 35.0421741, -85.3677715 35.0418227, -85.3663982 35.0413659, -85.3661836 35.0409092, -85.3682436 35.0404173, -85.3689731 35.0399605, -85.3700889 35.0384144, -85.3703035 35.0372549, -85.3723205 35.0352871, -85.3724922 35.0345492, -85.3721059 35.0336356, -85.3714193 35.0328274, -85.3713335 35.0323705, -85.3716768 35.031492, -85.3714341 35.0299952, -85.3719272 35.028793, -85.3721203 35.0280374, -85.3733434 35.0274224, -85.3743734 35.026948, -85.3756179 35.0253666)"
"W 26th Street","Maintaining two way traffic with lane shifts and/or flagging between 8:30AM-4PM to minimize disruption to Howard","W 26th Street","Maintain two way traffic","Construction","2020-01-27T00:00:00.000","2020-07-30T00:00:00.000","8:30AM-4PM","Mon-Fri","LINESTRING (-85.3162944 35.0274601, -85.3117024 35.0257381)"
"Resurfacing - Elder Mtn","resurfacing ","Elder Mtn","one","Construction","2020-04-27T00:00:00.000","2020-05-08T00:00:00.000","8:30-4",,"LINESTRING (-85.3681723 35.0654686, -85.3689877 35.0639933, -85.369803 35.0620613)"
"1103-1115 E 23rd","Add or replace existing sewer manhole","Fagan,& Polk St","full closure","Construction","2020-04-16T00:00:00.000","2020-04-29T00:00:00.000","8:30AM-4PM",,"LINESTRING (-85.2976174 35.024991, -85.2977461 35.0247626, -85.2965445 35.0243233, -85.296523 35.0244463)"
"Shallowford Road and Sidewalk","The south sidewalk between Airport Road and N Moore Road will be closed from 1/27 until 9/22/2020; Northbound turn lane on N Moore will be closed. The eastbound right turn lane from Shallowford to Moore Road will be closed. ","Shallowford Road","Eastbound right lane","Construction","2020-01-27T00:00:00.000","2020-09-22T00:00:00.000","8AM-4PM Weekday, Saturday 7AM-7PM","Monday-Saturday","LINESTRING (-85.2193409 35.0433934, -85.2205931 35.0430521, -85.2196512 35.0432904, -85.2193874 35.0427878, -85.2191925 35.0425642, -85.2189207 35.0423499)"
