"objectid","oirid","oddside","leftfrom","leftto","rightfrom","rightto","minaddress","maxaddress","typeprefix","dirprefix","name","typesuffix","dirsuffix","fullname","streetstatus","ownership","functclass","featuretype","city_l","city_r","blockid","streetid","facility_id","lastaccess","geometry"
"45","HAMILTON_24391","R","1900","1998","1901","1999","1900","1999",,,"Cowart","St",,"Cowart St","Open Public","Chattanooga","Local Street","Road","Chattanooga","Chattanooga","3048","4973","FID3048","20151110083535","MULTILINESTRING ((-85.312096 35.033886, -85.3125 35.033146, -85.31256 35.03305, -85.31259 35.032986))"
"67","HAMILTON_25243","L","2013","2199","2012","2198","2012","2199",,,"Dogwood","Dr",,"Dogwood Dr","Open Public","Chattanooga","Local Street","Road","Chattanooga","Chattanooga","4707","4669","FID4707","20151110083535","MULTILINESTRING ((-85.228355 35.05304, -85.22835 35.05308, -85.228294 35.053417, -85.22823 35.053726, -85.228226 35.05378, -85.2282 35.053894, -85.22819 35.05398, -85.22817 35.054024, -85.228165 35.054035))"
"46","HAMILTON_25066","L","4401","4499","4400","4498","4400","4499",,,"18th","Ave",,"18th Ave","Open Public","Chattanooga","Local Street","Road","Chattanooga","Chattanooga","7545","1050","FID7545","20151110083535","MULTILINESTRING ((-85.28128 34.988228, -85.281265 34.98824, -85.281235 34.98825, -85.28121 34.988266, -85.28118 34.98828, -85.28116 34.988297, -85.28113 34.98831, -85.281105 34.988327, -85.28108 34.988342, -85.28106 34.98836, -85.28103 34.98838, -85.28075 34.988586, -85.28072 34.9886, -85.28071 34.988617, -85.28069 34.98863, -85.28065 34.988674, -85.28063 34.988697, -85.280624 34.988724, -85.28061 34.988773, -85.280594 34.988842, -85.28059 34.988884, -85.28058 34.988926, -85.28056 34.988956, -85.28055 34.988987, -85.28051 34.98903))"
"47","HAMILTON_13626","R","3312","3328","3313","3329","3312","3329",,,"Boydston","Rd",,"Boydston Rd","Open Public","Chattanooga","Local Street","Road","Chattanooga","Chattanooga","2485","2898","FID2485","20151110083535","MULTILINESTRING ((-85.35101 35.053104, -85.35108 35.05313, -85.35116 35.053158, -85.35123 35.05319, -85.3513 35.053215, -85.35138 35.05324, -85.35145 35.053272, -85.351524 35.0533, -85.3516 35.053326, -85.35167 35.053356, -85.351746 35.053383, -85.351814 35.053413, -85.3519 35.053444, -85.35198 35.05348, -85.35206 35.053513, -85.35214 35.053543, -85.35222 35.053577, -85.3523 35.053608, -85.35239 35.05364))"
"48","HAMILTON_14297","L","2507","2599","2508","2598","2507","2599",,"E","19th","St",,"E 19th St","Open Public","Chattanooga","Local Street","Road","Chattanooga","Chattanooga","6085","5015","FID6085","20151110083535","MULTILINESTRING ((-85.27312 35.01835, -85.27294 35.018284, -85.27263 35.018166, -85.272285 35.01804, -85.27222 35.018013))"
"49","HAMILTON_14972","L","1311","1399","1310","1398","1310","1399",,,"Highland","Way",,"Highland Way","Open Public","Chattanooga","Local Street","Road","Chattanooga","Chattanooga","11142","3901","FID11142","20151110083535","MULTILINESTRING ((-85.26075 35.121002, -85.26075 35.12099, -85.26075 35.120968, -85.26075 35.12094, -85.26074 35.12092, -85.260735 35.12089, -85.26072 35.12087, -85.260704 35.120846, -85.26069 35.120827, -85.26067 35.120804, -85.26067 35.120804, -85.260666 35.1208, -85.26065 35.120785, -85.26065 35.120785, -85.26063 35.12077, -85.26048 35.12067, -85.26041 35.120625, -85.26033 35.12059, -85.26025 35.12056, -85.26017 35.120544, -85.2601 35.120533, -85.26001 35.120525, -85.25987 35.12052, -85.25967 35.12052, -85.25941 35.120525, -85.2593 35.120525, -85.2592 35.120525, -85.25912 35.120518, -85.25901 35.12051, -85.25893 35.120502, -85.258865 35.120495, -85.258766 35.120472, -85.25868 35.120453, -85.25859 35.12042, -85.2585 35.120377))"
"50","HAMILTON_15577","R","1832","1898","1833","1899","1832","1899",,,"Old Ringgold","Rd",,"Old Ringgold Rd","Open Public","Chattanooga","Local Street","Road","Chattanooga","Chattanooga","6143","5537","FID6143","20151110083535","MULTILINESTRING ((-85.26871 35.01525, -85.26869 35.015213, -85.26868 35.015167, -85.26866 35.015125, -85.26865 35.01508, -85.26862 35.015034, -85.2686 35.01499, -85.26858 35.01495, -85.26856 35.014915, -85.268555 35.014885, -85.26854 35.01485, -85.26854 35.014816, -85.26853 35.014782, -85.26853 35.014748))"
"51","HAMILTON_15654","L","6801","6989","6800","6988","6800","6989",,,"Tyner","Rd",,"Tyner Rd","Open Public","Chattanooga","Urban Major Collector","Major Road","Chattanooga","Chattanooga","15376","3160","FID15376","20151110083535","MULTILINESTRING ((-85.15725 35.06284, -85.1572 35.062828, -85.15717 35.062817, -85.15711 35.062798, -85.15702 35.062763, -85.1569 35.062717, -85.156784 35.062675, -85.15667 35.062634, -85.15655 35.062588, -85.15646 35.06256, -85.15643 35.06255, -85.156364 35.062523, -85.15622 35.062466, -85.156075 35.062416, -85.15595 35.062374, -85.15583 35.062325, -85.155716 35.062283, -85.15558 35.062233, -85.15547 35.062195, -85.15536 35.062157, -85.155235 35.06211, -85.155136 35.062073, -85.15502 35.06203, -85.15491 35.06199, -85.15476 35.061935, -85.154625 35.06189, -85.154526 35.061848, -85.15439 35.061802, -85.154205 35.061737, -85.154106 35.061695, -85.15399 35.061653, -85.153885 35.061615, -85.15384 35.0616, -85.15378 35.061577, -85.15373 35.061558, -85.15366 35.06153, -85.15357 35.0615, -85.15346 35.06146, -85.15334 35.061417, -85.15327 35.06139, -85.153145 35.061348, -85.15302 35.061302, -85.15292 35.061264, -85.15278 35.06121, -85.15269 35.06118, -85.152565 35.06114, -85.15256 35.061134))"
"52","HAMILTON_16930","L","901","1099","900","1098","900","1099",,,"Latta","St",,"Latta St","Open Public","Chattanooga","Local Street","Road","Chattanooga","Chattanooga","13460","6344","FID13460","20151110083535","MULTILINESTRING ((-85.26977 35.071167, -85.26965 35.071114, -85.26954 35.071064, -85.26927 35.07097, -85.269035 35.07088, -85.269005 35.070873, -85.26898 35.07086, -85.26897 35.070858, -85.2688 35.0708, -85.26853 35.0707, -85.268295 35.07061, -85.26802 35.0705, -85.26777 35.070404))"
"53","HAMILTON_27328","L","1613","1627","1612","1628","1612","1628",,,"Miriam","Ln",,"Miriam Ln","Open Public","Chattanooga","Local Street","Road","Chattanooga","Chattanooga","8915","3535","FID8915","20151110083535","MULTILINESTRING ((-85.16949 35.02353, -85.16947 35.023552, -85.16944 35.023605, -85.169426 35.02364, -85.16942 35.023663, -85.169334 35.0238, -85.169266 35.023926, -85.16912 35.024204, -85.16899 35.02442, -85.16897 35.024464, -85.168945 35.024506, -85.16888 35.024654, -85.16885 35.024704, -85.1689 35.024876))"
"54","HAMILTON_12262","B","281","309","280","308","280","309",,,"Highway 153",,"SB","Highway 153 SB","Open Public","State","Other Freeways and Expressways","Highway","Chattanooga","Chattanooga","21588","9937","FID21588","20140630080705","MULTILINESTRING ((-85.1926 35.05863, -85.19276 35.059055, -85.19312 35.060028, -85.19328 35.06046, -85.193405 35.06077, -85.19377 35.061733, -85.19402 35.062397, -85.194115 35.06263))"
"55","HAMILTON_17599","L","1801","1899","1800","1898","1800","1899",,,"Mara","Dr",,"Mara Dr","Open Public","Chattanooga","Local Street","Road","Chattanooga","Chattanooga","9147","1230","FID9147","20151110083535","MULTILINESTRING ((-85.139496 35.01886, -85.1392 35.01941, -85.13887 35.020027))"
"56","HAMILTON_17942","R","100","198","101","199","100","199",,,"Viston","Ave",,"Viston Ave","Open Public","Chattanooga","Local Street","Road","Chattanooga","Chattanooga","6803","3374","FID6803","20151110083535","MULTILINESTRING ((-85.22129 35.00827, -85.221436 35.00807, -85.22157 35.00789, -85.22168 35.007725, -85.22182 35.007545, -85.22193 35.007393, -85.22203 35.007236, -85.22207 35.007164, -85.22212 35.007076))"
"68","HAMILTON_15018","L","415","499","416","498","415","499",,,"Booth","Rd",,"Booth Rd","Open Public","Chattanooga","Local Street","Road","Chattanooga","Chattanooga","22070","3087","FID22070","20151110083535","MULTILINESTRING ((-85.24442 35.031044, -85.244385 35.031116, -85.24426 35.031345, -85.24415 35.031532, -85.24402 35.03179, -85.2439 35.032043, -85.24383 35.03216, -85.24378 35.032265))"
"69","HAMILTON_16376","L","1101","1199","1100","1198","1100","1199",,,"Elaine","Trl",,"Elaine Trl","Open Public","Chattanooga","Local Street","Road","Chattanooga","Chattanooga","9581","6466","FID9581","20151110083535","MULTILINESTRING ((-85.168495 35.010933, -85.16848 35.010963, -85.16838 35.011143, -85.16825 35.011395, -85.16813 35.011623, -85.16804 35.0118, -85.16797 35.011925, -85.16785 35.012165, -85.16773 35.012383, -85.167656 35.01252, -85.16759 35.01264))"
"70","HAMILTON_16552","L","2301","2399","2300","2398","2300","2399",,,"Napier","Dr",,"Napier Dr","Open Public","Chattanooga","Local Street","Road","Chattanooga","Chattanooga","5706","944","FID5706","20151110083535","MULTILINESTRING ((-85.15404 35.041836, -85.15402 35.041855, -85.15401 35.041874, -85.154 35.041893, -85.15395 35.041977, -85.15381 35.042244, -85.153694 35.042465, -85.15362 35.042637, -85.15348 35.042896, -85.153366 35.043114))"
"71","HAMILTON_17224","L","2401","2499","2400","2498","2400","2499",,,"Wilhoit","St",,"Wilhoit St","Open Public","Chattanooga","Local Street","Road","Chattanooga","Chattanooga","14416","2215","FID14416","20151110083535","MULTILINESTRING ((-85.24402 35.065773, -85.24402 35.065773, -85.244064 35.0659, -85.24415 35.06609, -85.24428 35.06637, -85.24441 35.06662, -85.24452 35.066856))"
"57","HAMILTON_26658","L","3381","3651","3380","3650","3380","3651",,,"Crompton","St",,"Crompton St","Open Public","Chattanooga","Local Street","Road","Chattanooga","Chattanooga","13321","4282","FID13321","20151110083535","MULTILINESTRING ((-85.26646 35.102463, -85.26646 35.10247, -85.26646 35.10248, -85.26646 35.102493, -85.26646 35.102505, -85.26646 35.102516, -85.26646 35.10253, -85.26646 35.102543, -85.26646 35.10256, -85.266464 35.10257, -85.266464 35.102585, -85.266464 35.102596, -85.266464 35.10261, -85.266464 35.102623, -85.266464 35.10264, -85.266464 35.10265, -85.26646 35.102703, -85.26645 35.102783, -85.26643 35.102867, -85.26642 35.102966, -85.2664 35.103073, -85.266396 35.103115, -85.26639 35.103157, -85.26638 35.1032, -85.26637 35.10324, -85.266365 35.103283, -85.266365 35.103294, -85.266365 35.103306, -85.266365 35.103313, -85.26636 35.103325, -85.26636 35.103336, -85.26635 35.103344, -85.26635 35.103355, -85.26634 35.103363, -85.266335 35.103374, -85.26633 35.103382, -85.26632 35.103394, -85.26631 35.1034, -85.266304 35.103413, -85.2663 35.103424, -85.26629 35.10343, -85.26628 35.103443, -85.26627 35.103455, -85.26626 35.103462, -85.26625 35.103474, -85.26624 35.103485, -85.26617 35.10357, -85.26609 35.103645, -85.266045 35.1037, -85.26601 35.103733, -85.265976 35.103767, -85.26592 35.10382, -85.26591 35.10384, -85.26589 35.103855, -85.26587 35.103874, -85.265854 35.10389, -85.26584 35.10391, -85.265816 35.103924, -85.2658 35.103943, -85.265785 35.103962, -85.26577 35.103977, -85.265755 35.103996, -85.26573 35.104015, -85.26572 35.104034, -85.26569 35.104053, -85.26569 35.104057, -85.26568 35.104073, -85.26566 35.10409, -85.26565 35.10411, -85.26563 35.104134, -85.26562 35.104153, -85.2656 35.10417, -85.26559 35.104195, -85.26557 35.104214, -85.26556 35.104237, -85.26554 35.10426, -85.265526 35.10428, -85.26552 35.1043, -85.2655 35.104324, -85.265495 35.104347, -85.26549 35.10437, -85.26547 35.104393, -85.265465 35.104416, -85.26545 35.104454, -85.26544 35.10449, -85.26543 35.104527, -85.26542 35.10456, -85.2654 35.1046, -85.265396 35.104633, -85.26539 35.10467, -85.26537 35.104706, -85.265366 35.104744, -85.26536 35.10478, -85.26535 35.104797, -85.26534 35.104813, -85.265335 35.104828, -85.26532 35.104843, -85.26531 35.10486, -85.2653 35.10487, -85.26528 35.10488, -85.26527 35.104893, -85.26525 35.104904, -85.265236 35.104916, -85.26521 35.104923, -85.2652 35.10493, -85.265175 35.10494, -85.26516 35.104946, -85.26514 35.104954, -85.265114 35.10496, -85.2651 35.104965, -85.265076 35.104973, -85.26505 35.104977, -85.26503 35.104984, -85.265 35.104992, -85.26496 35.104996, -85.26492 35.105003, -85.264885 35.105007, -85.26485 35.10501, -85.26482 35.105015, -85.26478 35.10502, -85.26474 35.10502, -85.2647 35.105022, -85.26466 35.105022, -85.264626 35.105026, -85.26459 35.10503, -85.26455 35.105038, -85.26451 35.10505, -85.26448 35.10506, -85.26444 35.105072, -85.26441 35.105087, -85.26437 35.105106, -85.26434 35.10512, -85.26431 35.105145, -85.26416 35.105232, -85.26403 35.10529, -85.26396 35.105316, -85.26393 35.105335, -85.26391 35.105354))"
"58","HAMILTON_14320","L","2311","2399","2310","2398","2310","2399",,"E","18th","St",,"E 18th St","Open Public","Chattanooga","Local Street","Road","Chattanooga","Chattanooga","6052","5045","FID6052","20151110083535","MULTILINESTRING ((-85.2754 35.020588, -85.27537 35.020576, -85.2753 35.020554, -85.27504 35.020462, -85.27475 35.020363, -85.27448 35.020267, -85.27434 35.020214))"
"59","HAMILTON_14869","L","1301","1399","1300","1398","1300","1399",,,"Dorchester","Rd",,"Dorchester Rd","Open Public","Chattanooga","Local Street","Road","Chattanooga","Chattanooga","14301","4384","FID14301","20151110083535","MULTILINESTRING ((-85.28933 35.069183, -85.28928 35.06914, -85.28923 35.0691, -85.289185 35.06906, -85.28913 35.06902, -85.28911 35.069, -85.28908 35.06898, -85.28903 35.068947, -85.28898 35.06891, -85.28893 35.06887, -85.28889 35.068832, -85.28884 35.068794, -85.2888 35.068764, -85.28876 35.068733, -85.28872 35.0687, -85.28868 35.06867, -85.28864 35.068634, -85.288605 35.0686, -85.28857 35.068565, -85.288536 35.06853, -85.2885 35.068497, -85.28846 35.068462, -85.28843 35.068428, -85.28839 35.06839, -85.28836 35.068356, -85.28832 35.068317, -85.28829 35.06828, -85.28826 35.06824, -85.28823 35.068203, -85.2882 35.068165, -85.28818 35.068123, -85.28815 35.068085, -85.288124 35.068054, -85.28811 35.068024, -85.288086 35.067997, -85.28807 35.067966, -85.28805 35.067936, -85.28803 35.067905, -85.28802 35.067875, -85.287994 35.067844, -85.28798 35.067814, -85.287964 35.067783, -85.28796 35.067753, -85.28794 35.067726, -85.28793 35.067696, -85.28792 35.067665, -85.28791 35.06764, -85.2879 35.067608, -85.287895 35.067577, -85.28788 35.06755, -85.28787 35.06752, -85.28787 35.06749))"
"60","HAMILTON_14995","L","2001","2099","2000","2098","2000","2099",,,"Windsor","St",,"Windsor St","Open Public","Chattanooga","Local Street","Road","Chattanooga","Chattanooga","16699","3008","FID16699","20151110083535","MULTILINESTRING ((-85.266525 35.04884, -85.26612 35.048695, -85.26599 35.048645, -85.265854 35.048595, -85.26572 35.048546, -85.26558 35.048492, -85.26544 35.048443, -85.26531 35.048393, -85.265175 35.04834, -85.26504 35.04829, -85.2649 35.048237, -85.26487 35.048225))"
"61","HAMILTON_15677","L","6811","6899","6810","6898","6810","6899",,,"Granda","Dr",,"Granda Dr","Open Public","Chattanooga","Local Street","Road","Chattanooga","Chattanooga","5125","3147","FID5125","20151110083535","MULTILINESTRING ((-85.15702 35.05934, -85.15695 35.059338, -85.15688 35.059334, -85.156815 35.059334, -85.156746 35.059334, -85.156685 35.05934, -85.1566 35.059353, -85.15651 35.059372, -85.15649 35.05938, -85.15647 35.059387, -85.15644 35.0594, -85.15641 35.05941, -85.15639 35.05942, -85.15636 35.059437, -85.1563 35.059467, -85.15627 35.05949, -85.156235 35.059517, -85.1562 35.05954, -85.15619 35.059547, -85.156166 35.059563, -85.15615 35.059574, -85.156136 35.05959, -85.15612 35.059605, -85.15611 35.05962, -85.1561 35.059635, -85.156075 35.059666, -85.15606 35.05969, -85.15604 35.05971, -85.15602 35.05974, -85.15601 35.059765, -85.15597 35.059834, -85.15592 35.059933, -85.15588 35.059998, -85.155846 35.060074, -85.15581 35.06014, -85.155785 35.06017, -85.15578 35.06019, -85.155754 35.060226))"
"62","HAMILTON_16353","L","1701","1799","1700","1798","1700","1799",,,"Raymond","Ct",,"Raymond Ct","Open Public","Chattanooga","Local Street","Road","Chattanooga","Chattanooga","8903","1183","FID8903","20151110083535","MULTILINESTRING ((-85.16826 35.026333, -85.16808 35.026352, -85.16794 35.02637, -85.16777 35.026394))"
"63","HAMILTON_26634","L","3831","3899","3830","3898","3830","3899",,,"Birmingham","Dr",,"Birmingham Dr","Open Public","Chattanooga","Local Street","Road","Chattanooga","Chattanooga","12680","4156","FID12680","20151110083535","MULTILINESTRING ((-85.25637 35.109055, -85.25636 35.109154, -85.25634 35.109386, -85.256325 35.109497, -85.25632 35.109577, -85.2563 35.109787, -85.25627 35.11, -85.25627 35.110027))"
"64","HAMILTON_30637","R","2810","2812","2811","2813","2800","2827",,,"Military","Rd",,"Military Rd","Open Public","Chattanooga","Local Street","Road","Chattanooga","Hamilton County","8075","5484","FID8075","20191028091950","MULTILINESTRING ((-85.33777 35.013206, -85.33778 35.013184, -85.33783 35.013126, -85.337944 35.012985, -85.3381 35.012814, -85.338165 35.01274, -85.33829 35.012608, -85.338295 35.0126, -85.338326 35.012558, -85.33833 35.01254, -85.33836 35.012497, -85.3384 35.012455, -85.3384 35.012455, -85.3384 35.01245, -85.33842 35.012447, -85.338425 35.012444, -85.33843 35.01244, -85.33845 35.01244, -85.338455 35.01244, -85.33846 35.012444, -85.33848 35.012447, -85.338486 35.01245, -85.33849 35.01246, -85.33849 35.012466, -85.3385 35.012474, -85.3385 35.01248, -85.3385 35.012486, -85.33855 35.012688, -85.33855 35.012714, -85.338554 35.012714, -85.33857 35.0128, -85.3386 35.01288, -85.338615 35.012913, -85.33862 35.012924, -85.33865 35.012962, -85.33869 35.012997, -85.338715 35.013016, -85.33879 35.01306, -85.338905 35.01313))"
"65","HAMILTON_16907","L","1501","1599","1500","1598","1500","1599",,,"Wheeler","Ave",,"Wheeler Ave","Open Public","Chattanooga","Local Street","Road","Chattanooga","Chattanooga","3250","5058","FID3250","20151110083535","MULTILINESTRING ((-85.25749 35.05209, -85.2574 35.052258, -85.257286 35.05247, -85.25716 35.0527, -85.25702 35.05295, -85.2569 35.053185, -85.25687 35.05323))"
"66","HAMILTON_17248","L","2835","2899","2834","2898","2834","2899",,,"Lightfoot Mill","Rd",,"Lightfoot Mill Rd","Open Public","Chattanooga","Local Street","Major Road","Chattanooga","Chattanooga","14417","4295","FID14417","20151110083535","MULTILINESTRING ((-85.24063 35.065666, -85.240616 35.06567, -85.24048 35.065712, -85.24039 35.065746, -85.24008 35.06588, -85.24 35.065914, -85.23988 35.065956, -85.23981 35.06599, -85.23976 35.06601, -85.23967 35.066048, -85.23956 35.066086, -85.23946 35.066128, -85.23936 35.066174, -85.23927 35.066204, -85.23919 35.06623, -85.23909 35.06627, -85.239006 35.066296, -85.23899 35.0663))"
"72","HAMILTON_17648","L","2221","2299","2220","2298","2220","2299",,,"Peterson","Dr",,"Peterson Dr","Open Public","Chattanooga","Local Street","Road","Chattanooga","Chattanooga","5338","3199","FID5338","20151110083535","MULTILINESTRING ((-85.14129 35.032085, -85.14122 35.032227, -85.140976 35.032673, -85.1406 35.03335, -85.140495 35.033543, -85.14048 35.033592, -85.14045 35.033638, -85.14042 35.03368, -85.14039 35.033722, -85.14035 35.03376, -85.140305 35.0338, -85.14026 35.03383, -85.140205 35.03386, -85.14015 35.033882, -85.1401 35.033905, -85.140045 35.033924, -85.139984 35.033936, -85.13992 35.033943, -85.13986 35.03395, -85.1398 35.03395, -85.13974 35.033947, -85.13968 35.033936, -85.1394 35.033886, -85.13936 35.033882, -85.13933 35.033875, -85.13923 35.033855, -85.1392 35.033844, -85.13913 35.03382))"
"73","HAMILTON_29996","B","721","769","720","768","720","919",,,"Highway 27",,"SB","Highway 27 SB","Open Public","State","Other Freeways and Expressways","Highway","Red Bank","Red Bank","21657","590","FID21657","20161108115710","MULTILINESTRING ((-85.293274 35.130527, -85.29329 35.13068, -85.293304 35.13092, -85.293335 35.131157, -85.29337 35.131393, -85.29343 35.13163, -85.29348 35.131866, -85.293526 35.132053))"
"74","HAMILTON_18575","L","1401","1419","1400","1418","1400","1419",,,"Woodmore","Ln",,"Woodmore Ln","Open Public","Chattanooga","Local Street","Road","Chattanooga","Chattanooga","4906","3071","FID4906","20151110083535","MULTILINESTRING ((-85.22374 35.03753, -85.22374 35.037544, -85.223724 35.03767, -85.223724 35.03774, -85.223724 35.037857, -85.22373 35.037884, -85.22373 35.038017, -85.223724 35.038044, -85.223724 35.038074, -85.223724 35.038097, -85.22372 35.038116, -85.22371 35.038185, -85.223694 35.038258, -85.22366 35.03834, -85.22366 35.038345, -85.223625 35.038437, -85.2236 35.038486))"
"75","HAMILTON_26533","L","3901","3999","3900","3998","3900","3999",,,"Laird","Ln",,"Laird Ln","Open Public","Chattanooga","Local Street","Road","Chattanooga","Chattanooga","12659","4149","FID12659","20151110083535","MULTILINESTRING ((-85.26176 35.110558, -85.26174 35.110584, -85.26173 35.11061, -85.26171 35.110638, -85.26168 35.110672, -85.26165 35.110706, -85.26163 35.11074, -85.2616 35.11078, -85.26157 35.110813, -85.26154 35.110847, -85.26151 35.110886, -85.26149 35.11092, -85.26147 35.11096, -85.26144 35.110992, -85.26141 35.111027, -85.26139 35.11106, -85.26137 35.111095, -85.261345 35.11113, -85.26132 35.111164, -85.2613 35.1112, -85.26127 35.111233, -85.261246 35.111267, -85.26122 35.1113, -85.26119 35.111332, -85.26108 35.11151, -85.26099 35.111652, -85.26089 35.1118, -85.26068 35.112095, -85.260666 35.11212, -85.26065 35.11215, -85.260635 35.11218, -85.26062 35.11221, -85.260605 35.112236, -85.26059 35.112267, -85.26058 35.112297, -85.260574 35.112328, -85.26057 35.112362, -85.26056 35.112392, -85.26056 35.11243, -85.26055 35.11247, -85.26055 35.112507, -85.260544 35.112545, -85.260544 35.112583, -85.26054 35.11262, -85.26054 35.11266, -85.26054 35.112698, -85.26053 35.112736, -85.26053 35.112778, -85.26052 35.112797, -85.26052 35.11282, -85.26051 35.11284, -85.260506 35.112858, -85.2605 35.11288, -85.26048 35.1129, -85.260475 35.11292, -85.26046 35.112938, -85.26045 35.112957, -85.26044 35.112972, -85.26042 35.11299, -85.2604 35.113014, -85.26038 35.11304, -85.26036 35.113064, -85.26034 35.113087, -85.26032 35.11311, -85.2603 35.113132, -85.26028 35.11315, -85.26025 35.113174, -85.26022 35.113194, -85.2602 35.113216, -85.26018 35.113235, -85.26016 35.113255, -85.26014 35.113274, -85.26012 35.113293, -85.2601 35.11331, -85.26007 35.113327, -85.26005 35.113342, -85.260025 35.113358, -85.26 35.113373, -85.259895 35.11342))"
"76","HAMILTON_28062","L","5801","5899","5800","5898","5800","5899",,,"Tyner","Ln",,"Tyner Ln","Open Public","Hamilton County","Urban Minor Collector","Road","Hamilton County","Hamilton County","12153","4060","FID12153","20151110083535","MULTILINESTRING ((-85.13995 35.11249, -85.13976 35.11283, -85.13971 35.11292, -85.13952 35.113266, -85.13951 35.113293))"
"77","HAMILTON_15848","L","6841","7099","6840","7098","6840","7099",,,"Flagstone","Dr",,"Flagstone Dr","Open Public","Hamilton County","Local Street","Road","Hamilton County","Hamilton County","13767","4320","FID13767","20151110083535","MULTILINESTRING ((-85.09416 35.10303, -85.09416 35.103027, -85.09414 35.102997, -85.09411 35.102962, -85.09406 35.102863, -85.09406 35.102863, -85.094055 35.102856, -85.094055 35.102848, -85.09401 35.102757, -85.09396 35.10266, -85.093925 35.10258, -85.093895 35.102524, -85.09387 35.102478, -85.09383 35.1024, -85.09379 35.102352, -85.09377 35.10233, -85.09376 35.102314, -85.09375 35.1023, -85.093735 35.102283, -85.09371 35.10227, -85.0937 35.102257, -85.09368 35.102245, -85.093666 35.102234, -85.09364 35.102222, -85.09363 35.102215, -85.093605 35.102207, -85.09359 35.1022, -85.09357 35.102192, -85.093544 35.10219, -85.09352 35.102184, -85.0935 35.10218, -85.093475 35.102177, -85.09345 35.102173, -85.09343 35.102173, -85.09341 35.10217, -85.09338 35.10217, -85.09335 35.102173, -85.09333 35.102173, -85.0933 35.102177, -85.09328 35.10218, -85.093254 35.102184, -85.09324 35.10219, -85.093216 35.102196, -85.0932 35.102203, -85.09318 35.10221, -85.09316 35.10222, -85.09315 35.10223, -85.09311 35.102245, -85.09308 35.102264, -85.09305 35.102283, -85.09302 35.102303, -85.09299 35.102325, -85.09291 35.10238, -85.09283 35.102444, -85.092766 35.10248, -85.092735 35.102497, -85.09271 35.10251, -85.09268 35.10252, -85.09266 35.10253, -85.09263 35.10254, -85.0926 35.102547, -85.092575 35.10255))"
"78","HAMILTON_16402","L","1201","1299","1200","1298","1200","1299",,,"Lenny","Ln",,"Lenny Ln","Open Public","Chattanooga","Local Street","Road","Chattanooga","Chattanooga","9048","3568","FID9048","20151110083535","MULTILINESTRING ((-85.162094 35.00985, -85.16199 35.01003, -85.16193 35.010155, -85.161865 35.010284, -85.16186 35.0103, -85.16186 35.010315, -85.16186 35.010334, -85.16186 35.01035, -85.16186 35.010365, -85.161865 35.01038, -85.161865 35.010395, -85.16187 35.01041, -85.16188 35.010426, -85.16189 35.01044, -85.161896 35.010456, -85.16197 35.01056, -85.16202 35.010643, -85.16203 35.010757, -85.16203 35.010845))"
"79","HAMILTON_16528","L","1891","1999","1890","1998","1890","1999",,,"Rosebrook","Dr",,"Rosebrook Dr","Open Public","Chattanooga","Local Street","Road","Chattanooga","Chattanooga","9138","1225","FID9138","20151110083535","MULTILINESTRING ((-85.15039 35.02427, -85.15038 35.02429, -85.15036 35.024334, -85.15033 35.024387, -85.1503 35.02444, -85.15023 35.024563, -85.15017 35.02467, -85.150116 35.024773, -85.15004 35.02491, -85.14997 35.025036, -85.1499 35.02516, -85.14985 35.02527, -85.14979 35.025383, -85.14973 35.025494, -85.14965 35.025627, -85.149635 35.025665, -85.1496 35.02574, -85.14956 35.02581, -85.149536 35.025867, -85.14951 35.025894, -85.14951 35.025898))"
"80","HAMILTON_17201","L","2601","2621","2600","2620","2600","2621",,,"Andrews","St",,"Andrews St","Open Public","Chattanooga","Local Street","Road","Chattanooga","Chattanooga","14402","4395","FID14402","20151110083535","MULTILINESTRING ((-85.248184 35.0665, -85.24797 35.066574, -85.24774 35.066643, -85.24771 35.066654, -85.24748 35.06673, -85.24726 35.066795, -85.24697 35.066883, -85.24674 35.06695, -85.24655 35.06702, -85.24634 35.067085, -85.246254 35.067112))"
"81","HAMILTON_28470","B","111","119","110","118","110","119",,,"Highway 27",,"SB","Highway 27 SB","Open Public","Federal","Urban Interstate","Highway","Chattanooga","Chattanooga","21643","590","FID21643","20140630081249","MULTILINESTRING ((-85.31425 35.046272, -85.31426 35.04705))"
"82","HAMILTON_17624","L","2401","2499","2400","2498","2400","2499",,,"Queens Lace","Trl",,"Queens Lace Trl","Open Public","Chattanooga","Local Street","Road","Chattanooga","Chattanooga","5245","839","FID5245","20151110083535","MULTILINESTRING ((-85.14218 35.04184, -85.14168 35.042786, -85.1416 35.04294, -85.141556 35.04302, -85.14149 35.04313, -85.14146 35.043182))"
"100","HAMILTON_10584","L","2201","2205","2200","2204","2200","2205",,,"Hamilton Place","Blvd",,"Hamilton Place Blvd","Open Public","Chattanooga","Urban Major Collector","Major Road","Chattanooga","Chattanooga","5578","5439","FID5578","20151110083535","MULTILINESTRING ((-85.156746 35.037712, -85.1566 35.03798, -85.156334 35.038456, -85.15625 35.038605))"
"101","HAMILTON_11735","R","4500","4500","4501","4501","4500","4501",,,"Tennessee","Ave",,"Tennessee Ave","Open Public","Chattanooga","Urban Minor Collector","Major Road","Chattanooga","Chattanooga","6960","5501","FID6960","20151110083535","MULTILINESTRING ((-85.32767 35.00021, -85.327675 35.00013, -85.32768 35.000027, -85.32768 35.00001))"
