"incident_number","incident_date","shift_color","specific_incident_code_and","generic_incident_code","generic_incident_description","incident_category","streetnumber","streetprefix","streetname","streettype","city","civilian_casualty","firefighter_casualty","property_loss","property_value","responding_unit","responding_unit_in_or_out","responding_unit_district","responding_unit_district_1","turnout_time","travel_time","response_time_minutes","first_arriving","latitude","longitude","location","lastarrivingfirstalarm","onscndate","dispdate","citydst"
"18-009710","2018-07-01T00:45:43.000","Blue","743 Smoke detector activation  no fire - unintenti","700","False Alarm & False Call","Non-Fire Call","3210",,"BROAD","ST","Chattanooga",,,,,"QUINT 14","IN","1404","Station 14","1.75","3.22","4.97","Y","35.018470317338306","-85.32174289153716","POINT (-85.321742891537 35.018470317338)","Y","2018-07-01T00:50:41.000","2018-07-01T00:45:43.000","7"
"18-009711","2018-07-01T01:14:21.000","Blue","321 EMS call  excluding vehicle accident with inju","300","Rescue & Emergency Medical Service (EMS)","Non-Fire Call","29",,"STATION","ST","Chattanooga","0","0","0","0","SQUAD 1","OUT",,"Station 201","2.33","1.52","3.85","Y","35.036737677105606","-85.30720374601742","POINT (-85.307203746017 35.036737677106)","Y","2018-07-01T01:18:12.000","2018-07-01T01:14:21.000","8"
"18-009712","2018-07-01T02:01:38.000","Blue","311 Medical assist  assist EMS crew","300","Rescue & Emergency Medical Service (EMS)","Non-Fire Call","0","S","GREENWOOD","AVE","Chattanooga","0","0","0","0","ENGINE 5","IN","504","Station 5","1.68","3.1","4.78","Y",,,,"Y","2018-07-01T02:06:25.000","2018-07-01T02:01:38.000",
"18-009713","2018-07-01T02:22:57.000","Blue","322 Motor vehicle accident with injuries","300","Rescue & Emergency Medical Service (EMS)","Non-Fire Call","0","W","MAIN","ST","Chattanooga","0","0","0","0","QUINT 1","OUT",,"Station 201","2.28","1.48","3.77","Y","35.036203633750915","-85.3074161487841","POINT (-85.307416148784 35.036203633751)","Y","2018-07-01T02:26:43.000","2018-07-01T02:22:57.000","7"
"18-009714","2018-07-01T03:47:39.000","Blue","321 EMS call  excluding vehicle accident with inju","300","Rescue & Emergency Medical Service (EMS)","Non-Fire Call","1428",,"GROVE","ST","Chattanooga","0","0","0","0","QUINT 2","OUT",,"Station 101","2.28","4.43","6.72","Y","35.04137397222975","-85.31893785737986","POINT (-85.31893785738 35.04137397223)","Y","2018-07-01T03:54:22.000","2018-07-01T03:47:39.000","7"
"18-009715","2018-07-01T03:49:04.000","Blue","321 EMS call  excluding vehicle accident with inju","300","Rescue & Emergency Medical Service (EMS)","Non-Fire Call","2418",,"KIRBY","AVE","Chattanooga","0","0","0","0","ENGINE 5","OUT",,"Station 502","1.78","3.02","4.8","Y","35.02894475800719","-85.26956366507619","POINT (-85.269563665076 35.028944758007)","Y","2018-07-01T03:53:52.000","2018-07-01T03:49:04.000","9"
"18-009716","2018-07-01T04:20:45.000","Blue","321 EMS call  excluding vehicle accident with inju","300","Rescue & Emergency Medical Service (EMS)","Non-Fire Call","4601",,"FLORIDA","AVE","Chattanooga","0","0","0","0","QUINT 14","IN","1402","Station 14","2.03","3.67","5.7","Y","34.997213544449636","-85.32787128509692","POINT (-85.327871285097 34.99721354445)","Y","2018-07-01T04:26:27.000","2018-07-01T04:20:45.000","7"
"18-009717","2018-07-01T04:26:57.000","Blue","745 Alarm system activation no fire unintentional","700","False Alarm & False Call","Non-Fire Call","301","W","6TH","ST","Chattanooga",,,,,"QUINT 1","OUT",,"Station 101","2.42","3.58","6","Y","35.04961898298933","-85.31280385383744","POINT (-85.31280385383701 35.049618982989)","N","2018-07-01T04:32:57.000","2018-07-01T04:26:57.000","7"
"18-009718","2018-07-01T07:40:54.000","Blue","743 Smoke detector activation  no fire - unintenti","700","False Alarm & False Call","Non-Fire Call","2429",,"ROYAL FERN","TRL","Chattanooga",,,,,"QUINT 8","OUT",,"Station 802","0.92","5.25","6.17","Y","35.04272214758117","-85.14317476203078","POINT (-85.143174762031 35.042722147581)","Y","2018-07-01T07:47:04.000","2018-07-01T07:40:54.000","4"
"18-009719","2018-07-01T07:45:21.000","Blue","321 EMS call  excluding vehicle accident with inju","300","Rescue & Emergency Medical Service (EMS)","Non-Fire Call","3210",,"BROAD","ST","Chattanooga","0","0","0","0","QUINT 14","IN","1404","Station 14","1.22","3.32","4.53","Y","35.018470317338306","-85.32174289153716","POINT (-85.321742891537 35.018470317338)","Y","2018-07-01T07:49:53.000","2018-07-01T07:45:21.000","7"
