"neighborhood_advisory_boards","last","first","appointee_or_representative","appointment_date","term_of_office","term_expiring"
"NDA 1","Quesada","Victor","BP Appointee","2019-03-13T00:00:00.000","2 Terms ending 2025","1st term 10-31-2022"
"NDA 2","Munive","Luis","BP Appointee","2019-03-13T00:00:00.000","2 Terms ending 2025","1st term 10-31-2022"
"NDA 3",,,,,,
"NDA 4","Magett","Sonya","BP Appointee","2019-03-13T00:00:00.000","2 Terms ending 2025","1st term 10-31-2022"
"NDA 7","Vargas-Soto","Alondra","BP Appointee","2019-03-13T00:00:00.000","2 Terms ending 2025","1st term 10-31-2022"
"NDA 5",,,,,,
"NDA 8","Myers","Roger","BP Appointee","2019-03-13T00:00:00.000","2 Terms ending 2025","1st term 10-31-2022"
"NDA 9",,,,,,
"NDA 10","Caggiano","Mario","BP Appointee","2019-03-13T00:00:00.000","2 Terms ending 2025","1st term 10-31-2022"
"NDA 11","Lai","Rev. Edward","BP Appointee","2019-03-13T00:00:00.000","2 Terms ending 2025","1st term 10-31-2022"
"NDA 12","Klein","Cheskey","BP Appointee","2019-03-13T00:00:00.000","2 Terms ending 2025","1st term 10-31-2022"
"NDA 13","Brumfield","Lauretta","BP Appointee","2019-06-13T00:00:00.000","2 Terms ending 2025","1st term 10-31-2022"
"NDA 14","Morris Esq.","Blake","BP Appointee","2019-03-13T00:00:00.000","2 Terms ending 2025","1st term 10-31-2022"
"NDA 15","Grigoryan","Abigail","BP Appointee","2019-06-13T00:00:00.000","2 Terms ending 2025","1st term 10-31-2022"
"NDA 16","Lorya","Sarah","BP Appointee","2019-03-13T00:00:00.000","2 Terms ending 2025","1st term 10-31-2022"
"NDA 17","Hollingsworth","Valarie","BP Appointee","2019-03-13T00:00:00.000","2 Terms ending 2025","1st term 10-31-2022"
