"organization_city_agency","street_address_mailing_address","city","state","postcode","year_surveyed","total_vounteers","youth_volunteers","adult_volunteers","older_adult_volunteers","organization_type","interest_areas","special_populations_served","boroughs_served","borough","latitude","longitude","community_board","council_district","census_tract","bin","bbl","nta"
"20/20 Vision for Schools, Inc. d/b/a Thrive Collective","8225 5th Avenue #323","Brooklyn","NY","11209","2019","500","200","260","40","Community-based organization","Arts and culture, Children and youth related, Education and literacy","Immigrants and/or refugees, Justice-involved individuals, Low-income populations, Youth (17 or under), PUBLIC SCHOOL STUDENTS","All Boroughs","BROOKLYN","40.624082","-74.024838","310","43","142","3152153","3060090001","Bay Ridge"
"826NYC","372 Fifth Ave","Brooklyn","NY","11215","2019","803","0","759","44","Community-based organization","Children and youth related, Education and literacy","Immigrants and/or refugees, Low-income populations, Women, Youth (17 or under)","All Boroughs","BROOKLYN","40.671365","-73.984492","306","39","137","3021351","3009870042","Park Slope-Gowanus"
"9/11 Memorial & Museum","200 Liberty St, 16th floor","New York","NY","10281","2019","774","38","0","0","Museum","Arts and culture, Education and literacy, Memorial","None","MN","MANHATTAN","40.711425","-74.015442","101","1","31704","1000057","1000160120","Battery Park City-Lower Manhattan"
"A Free Bird","146 Smith Street","Brooklyn","NY","11201","2019","58","0","58","0","Community-based organization, Volunteer-led group","Arts and culture, Children and youth related","Youth (17 or under)","BK","BROOKLYN","40.686827","-73.990412","302","33","43","3001229","3001930029","DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill"
"Abbott House","1775 Grandconcourse","The Bronx","NY","10453","2019","2","0","2","0","Foster care Agency","Children and youth related, Employment and workforce development, Health and medicine, Immigrants and/or refugees, LGBTQIA+, People with disabilities","Low-income populations, Youth (17 or under)","BX","BRONX","40.846089","-73.909879","205","14","22701","2007858","2028227501","Mount Hope"
"ABSW Senior Center","221 West 107 Street","New York","NY","10025","2019","6","0","1","5","Community-based organization","Advocacy and organizing, Arts and culture, Civic engagement (voting, voter registration), Education and literacy, Human services, Senior Services","Older adults (60 or older)","MN","MANHATTAN","40.801704","-73.966593","107","7","195","1075379","1018790017","Morningside Heights"
"Academy of Medical & Public Health Services","5306 Third Avenue, 2nd Floor","Brooklyn","NY","11220","2019","38","3","33","2","Community-based organization","Education and literacy, Health and medicine, Human services, Immigrants and/or refugees, Mental Health Services","Immigrants and/or refugees, Low-income populations, Uninsured immigrants","BK","BROOKLYN","40.645841","-74.016511","307","38","20","3250708","3008130042","Sunset Park West"
"ACDP Beacon @ Ms 117","1865 Morris Ave.","The Bronx","NY","10463","2019","3","3","0","0","Community-based organization","Arts and culture, Children and youth related, Civic engagement (voting, voter registration), Education and literacy, Employment and workforce development, Human services, LGBTQIA+","Immigrants and/or refugees, LGBTQIA+, Low-income populations, Youth (17 or under)","BX","BRONX","40.848547","-73.908416","205","14","23301","2007902","2028270001","Mount Hope"
"Administration for Children's Services","150 William Street","New York","NY","10038","2019","340","0","0","0","City agency","Advocacy and organizing, Children and youth related, Education and literacy, Emergency management and disaster response, Employment and workforce development, Human services, Immigrants and/or refugees, Justice-related, LGBTQIA+, Legal services, People with disabilities, Women's issues","Immigrants and/or refugees, Justice-involved individuals, LGBTQIA+, Low-income populations, People with disabilities, Women, Youth (17 or under)","All Boroughs","MANHATTAN","40.709729","-74.006255","101","1","1501","1001280","1000930001","Battery Park City-Lower Manhattan"
"Agency of International Cooperation for Development","276 5th Ave #704","New York","NY","10001","2019","10","0","10","0","Non Profit Organization","Advocacy and organizing, Children and youth related, Emergency management and disaster response, Employment and workforce development, Environment and sustainability, Homeless and shelter, Human rights, Human services, Women's issues","Low-income populations, People with disabilities, Women, Youth (17 or under)","BK, MN, BX, QN","MANHATTAN","40.745658","-73.986596","105","4","76","1015765","1008310042","Midtown-Midtown South"
