"providertype","dfta_id","programname","sponsorname","programaddress","programcity","programstate","programzipcode","borough","programphone","dfta_funded","monhouropen","monhourclose","tuehouropen","tuehourclose","wedhouropen","wedhourclose","thuhouropen","thuhourclose","frihouropen","frihourclose","sathouropen","sathourclose","sunhouropen","sunhourclose","latitude","longitude","communityboard","councildist","censustract","bin","bbl","nta","location1"
"SENIOR CENTER CONTRACTS","25W01","SCHEUER HOUSE OF CI NEIGHBORHOOD SR CTR","THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED","3601 SURF AVENUE","BROOKLYN","NY","11224","BROOKLYN","718-373-3954","Y",,,,,,,,,,,,,,,"40.573144","-74.001587","313","47","342","3321762","3070450031","Seagate-Coney Island","POINT (-74.001587 40.573144)"
"HOMECARE SERVICES CONTRACTS","5H601","RICHMOND HOME NEEDS","RICHMOND HOME NEED SERVICES INC","3155 AMBOY ROAD","STATEN ISLAND","NY","10306","STATEN ISLAND","718-313-1381","Y",,,,,,,,,,,,,,,"40.564389","-74.131879","503","51","14606","5107641","5044720001","Great Kills","POINT (-74.131879 40.564389)"
"HOMECARE SERVICES CONTRACTS","2HB01","PERSONAL TOUCH-BROOKLYN","PERSONAL-TOUCH HOME CARE OF N.Y. INC.","186-18 HILLSIDE AVENUE","JAMAICA","NY","11432","QUEENS","718-468-2500","Y",,,,,,,,,,,,,,,"40.714611","-73.775629","412","27","480","4212835","4099340026","Jamaica","POINT (-73.775629 40.714611)"
"HOMECARE SERVICES CONTRACTS","3HD01","NEW YORK FOUNDATION-MANHATTAN","NEW YORK FOUNDATION FOR SENIOR CITIZENS HOME ATTENDANT SERVI","11 PARK PLACE","NEW YORK","NY","10007","MANHATTAN","212-962-7559","Y",,,,,,,,,,,,,,,"40.712828","-74.008296","101","01","21","1001399","1001240004","SoHo-TriBeCa-Civic Center-Little Italy","POINT (-74.008296 40.712828)"
"HOMECARE SERVICES CONTRACTS","4H701","PEOPLE CARE-QUEENS","PEOPLE CARE INCORPORATED","116 WEST 32ND STREET","NEW YORK","NY","10001","MANHATTAN","212-600-9424","Y",,,,,,,,,,,,,,,"40.74882","-73.989472","105","03","101","1015181","1008070028","Midtown-Midtown South","POINT (-73.989472 40.74882)"
"CASE MANAGEMENT SERVICES CONTRACTS","2MG01","JASA CASE MANAGEMENT BK-4","THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED","2211 CHURCH AVENUE","BROOKLYN","NY","11226","BROOKLYN","718-934-4294","Y",,,,,,,,,,,,,,,"40.630999","-73.966444","314","40","460","3170238","3064980024","Flatbush","POINT (-73.966444 40.630999)"
"SENIOR CENTER CONTRACTS","31702","Carter Burden Roosevelt Island Neighborhood Senior Center","CARTER BURDEN NETWORK INC.","546 Main Street","NEW YORK","NY","10021","MANHATTAN","212-980-1888","Y",,,,,,,,,,,,,,,"40.761781","-73.949762","108","05","23801","1083202","1013730030","Lenox Hill-Roosevelt Island","POINT (-73.949762 40.761781)"
"SENIOR CENTER CONTRACTS","10W01","JAMES MONROE NEIGHBORHOOD SENIOR CENT","INSTITUTE FOR THE PUERTO RICAN HISPANIC ELDERLY INC","1776 STORY AVENUE","BRONX","NY","10472","BRONX","718-893-3484","Y",,,,,,,,,,,,,,,"40.82324","-73.86596","209","18","42","2092748","2036370001","Soundview-Castle Hill-Clason Point-Harding Park","POINT (-73.86596 40.82324)"
"SENIOR CENTER CONTRACTS","31701","Carter Burden Luncheon Club Neighborhood Senior Center","CARTER BURDEN NETWORK INC.","351 EAST 74TH STREET","NEW YORK","NY","10021","MANHATTAN","212-535-5235","Y",,,,,,,,,,,,,,,"40.76962","-73.956197","108","05","134","1044930","1014490020","Lenox Hill-Roosevelt Island","POINT (-73.956197 40.76962)"
"SENIOR CENTER CONTRACTS","43Q02","JASA CLUB 76 SENIOR CENTER","THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED","86-25 FRANCIS LEWIS BOULEVARD","JAMAICA","NY","11427","QUEENS","718-776-8500","Y",,,,,,,,,,,,,,,"40.724948","-73.765107","408","23","492","4226088","4106000019","Jamaica Estates-Holliswood","POINT (-73.765107 40.724948)"
"SENIOR CENTER CONTRACTS","27Z01","Prospect Hill Neighborhood Senior Center","ST JOHN ST MATTHEW EMANUEL LUTHERAN CHURCH","283 PROSPECT AVENUE","BROOKLYN","NY","11215","BROOKLYN","718-499-9574","Y",,,,,,,,,,,,,,,"40.663323","-73.989165","307","39","141","3337801","3010530073","Park Slope-Gowanus","POINT (-73.989165 40.663323)"
"SENIOR CENTER CONTRACTS","42001","JSPOA THEODORA JACKSON NSC","JAMAICA SERVICE PROGRAM FOR OLDER ADULTS INC","92-47 165TH STREET","JAMAICA","NY","11433","QUEENS","7186576618","Y",,,"08:30","04:30","08:30","04:30","08:30","04:30","08:30","04:30","00:00","00:00","00:00","00:00","40.704457","-73.794108","412","27","444","4216225","4101550029","Jamaica","POINT (-73.794108 40.704457)"
"SENIOR CENTER CONTRACTS","32Y01","THE CENTER AT THE RED OAK NEIGHBR SR CTR","WEST SIDE FEDERATION FOR SENIOR AND SUPPORTIVE HOUSING INC","135 WEST 106TH STREET","NEW YORK","NY","10025","MANHATTAN","212-749-7015","Y",,,,,,,,,,,,,,,"40.799919","-73.964459","107","07","193","1055957","1018610010","Morningside Heights","POINT (-73.964459 40.799919)"
"SENIOR CENTER CONTRACTS","40U01","HANAC RAVENSWOOD NSC","HANAC INC.","34-35A 12TH STREET","LONG ISLAND CITY","NY","11106","QUEENS","718-786-1550","Y",,,,,,,,,,,,,,,"40.76323","-73.937607","401","26","43","4430802","4005230002","Queensbridge-Ravenswood-Long Island City","POINT (-73.937607 40.76323)"
